Angle,, 3.28947e-09, 1.74534e-01, 3.49049e-01, 5.23602e-01, 6.98133e-01, 8.72663e-01, 1.04719e+00, 1.22175e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91985e+00, 2.09440e+00, 2.26893e+00, 2.44346e+00, 2.61799e+00, 2.79254e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49064e+00, 3.66519e+00, 3.83973e+00, 4.01426e+00, 4.18879e+00, 4.36334e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06144e+00, 5.23599e+00, 5.41052e+00, 5.58505e+00, 5.75958e+00, 5.93414e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16, 7.76239e-19,-1.43053e-08, 2.16183e-08,-2.12664e-08, 1.22575e-08, 7.08657e-10,-1.46650e-08, 2.51880e-08,-3.06240e-08, 3.01220e-08,-2.49999e-08, 1.70769e-08,-8.64415e-09, 1.43471e-09, 3.38757e-09,-5.50614e-09, 5.17333e-09,-3.04763e-09,-7.74003e-19, 3.04763e-09,-5.17333e-09, 5.50614e-09,-3.38757e-09,-1.43471e-09, 8.64415e-09,-1.70769e-08, 2.49999e-08,-3.01220e-08, 3.06240e-08,-2.51880e-08, 1.46650e-08,-7.08657e-10,-1.22575e-08, 2.12664e-08,-2.16183e-08, 1.43053e-08
U2,2.220000e-16,-8.43512e-08, 7.43526e-08,-5.55178e-08, 3.29690e-08,-1.21463e-08,-2.64023e-09, 9.54552e-09,-9.88460e-09, 5.43976e-09, 1.40035e-10,-4.98415e-09, 6.80333e-09,-5.83748e-09, 1.95322e-09, 3.15059e-09,-8.77156e-09, 1.33694e-08,-1.65510e-08, 1.75669e-08,-1.65510e-08, 1.33694e-08,-8.77156e-09, 3.15059e-09, 1.95322e-09,-5.83748e-09, 6.80333e-09,-4.98415e-09, 1.40035e-10, 5.43976e-09,-9.88460e-09, 9.54552e-09,-2.64023e-09,-1.21463e-08, 3.29690e-08,-5.55178e-08, 7.43526e-08
U3,2.220000e-16, 1.37681e-05, 1.28454e-05, 1.04343e-05, 7.13194e-06, 3.55756e-06, 2.47547e-07,-2.40604e-06,-4.18477e-06,-5.03467e-06,-5.04096e-06,-4.37953e-06,-3.27218e-06,-1.94174e-06,-5.83250e-07, 6.55495e-07, 1.67668e-06, 2.42643e-06, 2.88054e-06, 3.03237e-06, 2.88054e-06, 2.42643e-06, 1.67668e-06, 6.55495e-07,-5.83250e-07,-1.94174e-06,-3.27218e-06,-4.37953e-06,-5.04096e-06,-5.03467e-06,-4.18477e-06,-2.40604e-06, 2.47547e-07, 3.55756e-06, 7.13194e-06, 1.04343e-05, 1.28454e-05
UR1,2.220000e-16,-1.18688e-04,-1.09660e-04,-8.86283e-05,-6.31643e-05,-3.92351e-05,-2.03743e-05,-7.62509e-06,-1.14785e-07, 4.01056e-06, 6.72371e-06, 9.45316e-06, 1.28195e-05, 1.67280e-05, 2.06664e-05, 2.40721e-05, 2.65913e-05, 2.81722e-05, 2.89759e-05, 2.92136e-05, 2.89759e-05, 2.81722e-05, 2.65913e-05, 2.40721e-05, 2.06664e-05, 1.67280e-05, 1.28195e-05, 9.45316e-06, 6.72371e-06, 4.01056e-06,-1.14785e-07,-7.62509e-06,-2.03743e-05,-3.92351e-05,-6.31643e-05,-8.86283e-05,-1.09660e-04
UR2,2.220000e-16, 2.69387e-17, 1.41108e-05, 2.69007e-05, 4.02777e-05, 5.35201e-05, 6.45430e-05, 7.11576e-05, 7.20553e-05, 6.72173e-05, 5.78683e-05, 4.59820e-05, 3.36811e-05, 2.26847e-05, 1.40025e-05, 7.89711e-06, 4.05641e-06, 1.87368e-06, 7.06249e-07, 9.35944e-21,-7.06249e-07,-1.87368e-06,-4.05641e-06,-7.89711e-06,-1.40025e-05,-2.26847e-05,-3.36811e-05,-4.59820e-05,-5.78683e-05,-6.72173e-05,-7.20553e-05,-7.11576e-05,-6.45430e-05,-5.35201e-05,-4.02777e-05,-2.69007e-05,-1.41108e-05
UR3,2.220000e-16, 2.13186e-18, 5.44846e-07,-8.73025e-07, 1.02551e-06,-1.01457e-06, 8.62887e-07,-6.29178e-07, 3.59050e-07,-9.94459e-08,-1.18564e-07, 2.74563e-07,-3.65077e-07, 3.93880e-07,-3.74765e-07, 3.21399e-07,-2.49129e-07, 1.67639e-07,-8.39162e-08, 2.54198e-18, 8.39162e-08,-1.67639e-07, 2.49129e-07,-3.21399e-07, 3.74765e-07,-3.93880e-07, 3.65077e-07,-2.74563e-07, 1.18564e-07, 9.94459e-08,-3.59050e-07, 6.29178e-07,-8.62887e-07, 1.01457e-06,-1.02551e-06, 8.73025e-07,-5.44846e-07
