838.771	0.692
924.6837027	0.663
721.0387778	0.635
990.141	0.611
700.5636087	0.607
1025.757471	0.63
662.1726667	0.655
990.141	0.69
721.0387778	0.733
894.5388947	0.783
865.9399744	0.84
788.3143333	0.871
956.5032222	0.893
662.1726667	0.888
990.141	0.881
680.9597234	0.851
956.5032222	0.809
812.9273415	0.76
788.3143333	0.704
894.5388947	0.649
700.5636087	0.595
990.141	0.56
662.1726667	0.531
990.141	0.53
680.9597234	0.54
924.6837027	0.561
742.4446364	0.592
865.9399744	0.635
894.5388947	0.681
764.8461163	0.722
990.141	0.754
700.5636087	0.776
990.141	0.788
742.4446364	0.776
924.6837027	0.753
788.3143333	0.726
