Angle,, 3.33333e-09, 1.74533e-01, 3.49076e-01, 5.23595e-01, 6.98148e-01, 8.72648e-01, 1.04720e+00, 1.22172e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91987e+00, 2.09439e+00, 2.26894e+00, 2.44344e+00, 2.61800e+00, 2.79252e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49067e+00, 3.66519e+00, 3.83974e+00, 4.01424e+00, 4.18879e+00, 4.36331e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06146e+00, 5.23598e+00, 5.41054e+00, 5.58504e+00, 5.75959e+00, 5.93411e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16, 2.72381e-19,-1.15407e-08, 1.77964e-08,-2.03301e-08, 1.73728e-08,-1.17639e-08, 4.14131e-09, 2.97053e-09,-9.02345e-09, 1.26466e-08,-1.41035e-08, 1.33668e-08,-1.12444e-08, 8.37380e-09,-5.50654e-09, 3.14973e-09,-1.49740e-09, 5.52101e-10,-2.69057e-19,-5.52101e-10, 1.49740e-09,-3.14973e-09, 5.50654e-09,-8.37380e-09, 1.12444e-08,-1.33668e-08, 1.41035e-08,-1.26466e-08, 9.02345e-09,-2.97053e-09,-4.14131e-09, 1.17639e-08,-1.73728e-08, 2.03301e-08,-1.77964e-08, 1.15407e-08
U2,2.220000e-16,-6.68711e-08, 5.86234e-08,-4.58492e-08, 3.20715e-08,-1.88425e-08, 8.13668e-09,-1.44968e-09,-1.93741e-09, 1.89838e-09,-2.73490e-10,-2.61327e-09, 4.97409e-09,-6.90960e-09, 7.38791e-09,-7.15516e-09, 5.96308e-09,-4.80767e-09, 3.70968e-09,-3.43687e-09, 3.70968e-09,-4.80767e-09, 5.96308e-09,-7.15516e-09, 7.38791e-09,-6.90960e-09, 4.97409e-09,-2.61327e-09,-2.73490e-10, 1.89838e-09,-1.93741e-09,-1.44968e-09, 8.13668e-09,-1.88425e-08, 3.20715e-08,-4.58492e-08, 5.86234e-08
U3,2.220000e-16, 6.18624e-06, 6.02545e-06, 5.58395e-06, 4.92419e-06, 4.12183e-06, 3.25345e-06, 2.38665e-06, 1.57684e-06, 8.63298e-07, 2.69471e-07,-1.95781e-07,-5.36386e-07,-7.65455e-07,-9.03001e-07,-9.72119e-07,-9.96297e-07,-9.96582e-07,-9.89644e-07,-9.86113e-07,-9.89644e-07,-9.96582e-07,-9.96297e-07,-9.72119e-07,-9.03001e-07,-7.65455e-07,-5.36386e-07,-1.95781e-07, 2.69471e-07, 8.63298e-07, 1.57684e-06, 2.38665e-06, 3.25345e-06, 4.12183e-06, 4.92419e-06, 5.58395e-06, 6.02545e-06
UR1,2.220000e-16,-2.90979e-05,-2.71574e-05,-2.31121e-05,-1.86976e-05,-1.49668e-05,-1.23793e-05,-1.09377e-05,-1.03600e-05,-1.02332e-05,-1.01446e-05,-9.77312e-06,-8.93874e-06,-7.61091e-06,-5.89279e-06,-3.98662e-06,-2.13903e-06,-6.02235e-07, 4.14189e-07, 7.68780e-07, 4.14189e-07,-6.02235e-07,-2.13903e-06,-3.98662e-06,-5.89279e-06,-7.61091e-06,-8.93874e-06,-9.77312e-06,-1.01446e-05,-1.02332e-05,-1.03600e-05,-1.09377e-05,-1.23793e-05,-1.49668e-05,-1.86976e-05,-2.31121e-05,-2.71574e-05
UR2,2.220000e-16, 3.48020e-19, 1.09710e-06, 2.90467e-06, 5.50093e-06, 8.47689e-06, 1.12554e-05, 1.33226e-05, 1.43445e-05, 1.42151e-05, 1.30425e-05, 1.10884e-05, 8.70170e-06, 6.23948e-06, 4.01020e-06, 2.23216e-06, 1.00454e-06, 3.13498e-07, 4.20879e-08,-1.47792e-18,-4.20879e-08,-3.13498e-07,-1.00454e-06,-2.23216e-06,-4.01020e-06,-6.23948e-06,-8.70170e-06,-1.10884e-05,-1.30425e-05,-1.42151e-05,-1.43445e-05,-1.33226e-05,-1.12554e-05,-8.47689e-06,-5.50093e-06,-2.90467e-06,-1.09710e-06
UR3,2.220000e-16, 8.38492e-19, 4.05680e-07,-5.95092e-07, 6.72923e-07,-6.82216e-07, 6.24702e-07,-5.28341e-07, 4.09666e-07,-2.86199e-07, 1.67113e-07,-6.42821e-08,-1.88321e-08, 7.73177e-08,-1.11311e-07, 1.21163e-07,-1.10746e-07, 8.34388e-08,-4.47211e-08, 7.84995e-19, 4.47211e-08,-8.34388e-08, 1.10746e-07,-1.21163e-07, 1.11311e-07,-7.73177e-08, 1.88321e-08, 6.42821e-08,-1.67113e-07, 2.86199e-07,-4.09666e-07, 5.28341e-07,-6.24702e-07, 6.82216e-07,-6.72923e-07, 5.95092e-07,-4.05680e-07
