Angle,, 3.33333e-09, 1.74533e-01, 3.49076e-01, 5.23595e-01, 6.98148e-01, 8.72648e-01, 1.04720e+00, 1.22172e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91987e+00, 2.09439e+00, 2.26894e+00, 2.44344e+00, 2.61800e+00, 2.79252e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49067e+00, 3.66519e+00, 3.83974e+00, 4.01424e+00, 4.18879e+00, 4.36331e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06146e+00, 5.23598e+00, 5.41054e+00, 5.58504e+00, 5.75959e+00, 5.93411e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16, 8.81802e-20,-1.26490e-08, 1.92862e-08,-2.15461e-08, 1.74828e-08,-1.02591e-08, 8.48900e-10, 7.77192e-09,-1.47697e-08, 1.85424e-08,-1.93805e-08, 1.74022e-08,-1.37169e-08, 9.29568e-09,-5.20671e-09, 2.15549e-09,-4.04800e-10,-1.37774e-10,-8.78999e-20, 1.37774e-10, 4.04800e-10,-2.15549e-09, 5.20671e-09,-9.29568e-09, 1.37169e-08,-1.74022e-08, 1.93805e-08,-1.85424e-08, 1.47697e-08,-7.77192e-09,-8.48900e-10, 1.02591e-08,-1.74828e-08, 2.15461e-08,-1.92862e-08, 1.26490e-08
U2,2.220000e-16,-7.27250e-08, 6.35742e-08,-4.90696e-08, 3.34243e-08,-1.84133e-08, 6.43628e-09, 7.36315e-10,-3.86283e-09, 2.96502e-09,-2.41691e-10,-3.67609e-09, 6.63829e-09,-8.61290e-09, 8.47979e-09,-7.17009e-09, 4.64071e-09,-2.23410e-09, 2.35213e-10, 3.54021e-10, 2.35213e-10,-2.23410e-09, 4.64071e-09,-7.17009e-09, 8.47979e-09,-8.61290e-09, 6.63829e-09,-3.67609e-09,-2.41691e-10, 2.96502e-09,-3.86283e-09, 7.36315e-10, 6.43628e-09,-1.84133e-08, 3.34243e-08,-4.90696e-08, 6.35742e-08
U3,2.220000e-16, 6.24269e-06, 6.06458e-06, 5.57389e-06, 4.84031e-06, 3.94997e-06, 2.99136e-06, 2.04374e-06, 1.17261e-06, 4.24578e-07,-1.73115e-07,-6.11438e-07,-8.97754e-07,-1.05155e-06,-1.10146e-06,-1.08042e-06,-1.02178e-06,-9.55626e-07,-9.05772e-07,-8.87398e-07,-9.05772e-07,-9.55626e-07,-1.02178e-06,-1.08042e-06,-1.10146e-06,-1.05155e-06,-8.97754e-07,-6.11438e-07,-1.73115e-07, 4.24578e-07, 1.17261e-06, 2.04374e-06, 2.99136e-06, 3.94997e-06, 4.84031e-06, 5.57389e-06, 6.06458e-06
UR1,2.220000e-16,-3.25340e-05,-3.03874e-05,-2.58230e-05,-2.07235e-05,-1.62879e-05,-1.30927e-05,-1.12067e-05,-1.03574e-05,-1.00917e-05,-9.92545e-06,-9.45902e-06,-8.44799e-06,-6.82706e-06,-4.70277e-06,-2.31701e-06, 1.91390e-08, 1.97775e-06, 3.27949e-06, 3.73517e-06, 3.27949e-06, 1.97775e-06, 1.91390e-08,-2.31701e-06,-4.70277e-06,-6.82706e-06,-8.44799e-06,-9.45902e-06,-9.92545e-06,-1.00917e-05,-1.03574e-05,-1.12067e-05,-1.30927e-05,-1.62879e-05,-2.07235e-05,-2.58230e-05,-3.03874e-05
UR2,2.220000e-16, 7.67831e-18, 1.18570e-06, 3.19209e-06, 6.14808e-06, 9.63033e-06, 1.29926e-05, 1.56214e-05, 1.70807e-05, 1.71849e-05, 1.60063e-05, 1.38148e-05, 1.10113e-05, 8.02959e-06, 5.26552e-06, 3.01406e-06, 1.42454e-06, 4.99745e-07, 1.04044e-07,-2.37787e-19,-1.04044e-07,-4.99745e-07,-1.42454e-06,-3.01406e-06,-5.26552e-06,-8.02959e-06,-1.10113e-05,-1.38148e-05,-1.60063e-05,-1.71849e-05,-1.70807e-05,-1.56214e-05,-1.29926e-05,-9.63033e-06,-6.14808e-06,-3.19209e-06,-1.18570e-06
UR3,2.220000e-16,-1.63415e-19, 4.66122e-07,-6.93126e-07, 7.91172e-07,-8.07531e-07, 7.41208e-07,-6.23224e-07, 4.73906e-07,-3.15146e-07, 1.59933e-07,-2.42804e-08,-8.53008e-08, 1.61543e-07,-2.03091e-07, 2.10083e-07,-1.87209e-07, 1.39234e-07,-7.41373e-08, 2.21344e-19, 7.41373e-08,-1.39234e-07, 1.87209e-07,-2.10083e-07, 2.03091e-07,-1.61543e-07, 8.53008e-08, 2.42804e-08,-1.59933e-07, 3.15146e-07,-4.73906e-07, 6.23224e-07,-7.41208e-07, 8.07531e-07,-7.91172e-07, 6.93126e-07,-4.66122e-07
