Angle,, 3.33333e-09, 1.74533e-01, 3.49076e-01, 5.23595e-01, 6.98148e-01, 8.72648e-01, 1.04720e+00, 1.22172e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91987e+00, 2.09439e+00, 2.26894e+00, 2.44344e+00, 2.61800e+00, 2.79252e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49067e+00, 3.66519e+00, 3.83974e+00, 4.01424e+00, 4.18879e+00, 4.36331e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06146e+00, 5.23598e+00, 5.41054e+00, 5.58504e+00, 5.75959e+00, 5.93411e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16, 1.82105e-18,-4.96658e-09, 1.09255e-08,-1.58517e-08, 1.97337e-08,-2.12082e-08, 2.05506e-08,-1.75292e-08, 1.31088e-08,-7.80526e-09, 2.63622e-09, 1.84999e-09,-5.08965e-09, 6.93928e-09,-7.37583e-09, 6.62178e-09,-4.92034e-09, 2.61345e-09,-1.82187e-18,-2.61345e-09, 4.92034e-09,-6.62178e-09, 7.37583e-09,-6.93928e-09, 5.08965e-09,-1.84999e-09,-2.63622e-09, 7.80526e-09,-1.31088e-08, 1.75292e-08,-2.05506e-08, 2.12082e-08,-1.97337e-08, 1.58517e-08,-1.09255e-08, 4.96658e-09
U2,2.220000e-16,-2.78279e-08, 2.99267e-08,-3.01214e-08, 2.76821e-08,-2.32995e-08, 1.76414e-08,-1.14794e-08, 6.06116e-09,-1.85930e-09,-3.67270e-10, 9.18687e-10, 3.09350e-10,-2.51595e-09, 5.48274e-09,-8.40643e-09, 1.11480e-08,-1.31737e-08, 1.45171e-08,-1.49210e-08, 1.45171e-08,-1.31737e-08, 1.11480e-08,-8.40643e-09, 5.48274e-09,-2.51595e-09, 3.09350e-10, 9.18687e-10,-3.67270e-10,-1.85930e-09, 6.06116e-09,-1.14794e-08, 1.76414e-08,-2.32995e-08, 2.76821e-08,-3.01214e-08, 2.99267e-08
U3,2.220000e-16, 7.43692e-06, 7.15687e-06, 6.37233e-06, 5.18788e-06, 3.74505e-06, 2.20140e-06, 7.09253e-07,-5.97009e-07,-1.61570e-06,-2.28494e-06,-2.58497e-06,-2.53841e-06,-2.20294e-06,-1.66417e-06,-1.02405e-06,-3.87847e-07, 1.46728e-07, 5.01295e-07, 6.25419e-07, 5.01295e-07, 1.46728e-07,-3.87847e-07,-1.02405e-06,-1.66417e-06,-2.20294e-06,-2.53841e-06,-2.58497e-06,-2.28494e-06,-1.61570e-06,-5.97009e-07, 7.09253e-07, 2.20140e-06, 3.74505e-06, 5.18788e-06, 6.37233e-06, 7.15687e-06
UR1,2.220000e-16,-5.97613e-05,-5.65226e-05,-4.87003e-05,-3.87575e-05,-2.88316e-05,-2.04972e-05,-1.45902e-05,-1.12004e-05,-9.76588e-06,-9.30372e-06,-8.70450e-06,-7.01976e-06,-3.69144e-06, 1.31498e-06, 7.50882e-06, 1.40043e-05, 1.97181e-05, 2.36298e-05, 2.50224e-05, 2.36298e-05, 1.97181e-05, 1.40043e-05, 7.50882e-06, 1.31498e-06,-3.69144e-06,-7.01976e-06,-8.70450e-06,-9.30372e-06,-9.76588e-06,-1.12004e-05,-1.45902e-05,-2.04972e-05,-2.88316e-05,-3.87575e-05,-4.87003e-05,-5.65226e-05
UR2,2.220000e-16, 1.54117e-17, 4.79880e-07, 2.56606e-06, 6.99703e-06, 1.35436e-05, 2.12616e-05, 2.88275e-05, 3.48725e-05, 3.83133e-05, 3.85859e-05, 3.57252e-05, 3.03481e-05, 2.34754e-05, 1.62977e-05, 9.90709e-06, 5.05469e-06, 2.01796e-06, 5.56012e-07,-1.19783e-17,-5.56012e-07,-2.01796e-06,-5.05469e-06,-9.90709e-06,-1.62977e-05,-2.34754e-05,-3.03481e-05,-3.57252e-05,-3.85859e-05,-3.83133e-05,-3.48725e-05,-2.88275e-05,-2.12616e-05,-1.35436e-05,-6.99703e-06,-2.56606e-06,-4.79880e-07
UR3,2.220000e-16, 6.07213e-18,-6.79360e-08, 3.10093e-08, 4.25466e-08,-1.18007e-07, 1.91741e-07,-2.47974e-07, 2.85418e-07,-2.99834e-07, 2.95520e-07,-2.74626e-07, 2.42779e-07,-2.03975e-07, 1.63559e-07,-1.23723e-07, 8.79247e-08,-5.52749e-08, 2.68042e-08, 6.12514e-18,-2.68042e-08, 5.52749e-08,-8.79247e-08, 1.23723e-07,-1.63559e-07, 2.03975e-07,-2.42779e-07, 2.74626e-07,-2.95520e-07, 2.99834e-07,-2.85418e-07, 2.47974e-07,-1.91741e-07, 1.18007e-07,-4.25466e-08,-3.10093e-08, 6.79360e-08
