,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Klat_offset_-0.010_Tn_0.80,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.80,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1740.6848,0.8,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.80.pkl
Klat_offset_-0.010_Tn_0.85,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.85,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1849.4776,0.85,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.85.pkl
Klat_offset_-0.010_Tn_0.90,0.05,0.05,0.025,0.025,Klat_offset_-0.010_Tn_0.90,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1958.2704,0.9,0.002,beam,36.0,-0.01,0.0,2e+11,Klat_offset_-0.010_Tn_0.90.pkl
Klat_offset_0.000_Tn_0.00,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.00,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.0,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.00.pkl
Klat_offset_0.000_Tn_0.05,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.05,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,191.8355,0.05,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.05.pkl
Klat_offset_0.000_Tn_0.10,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.10,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,383.671,0.1,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.10.pkl
Klat_offset_0.000_Tn_0.15,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.15,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,575.5065,0.15,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.15.pkl
Klat_offset_0.000_Tn_0.20,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.20,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,767.342,0.2,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.20.pkl
Klat_offset_0.000_Tn_0.25,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.25,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,959.1775,0.25,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.25.pkl
Klat_offset_0.000_Tn_0.30,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.30,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1151.013,0.3,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.30.pkl
Klat_offset_0.000_Tn_0.35,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.35,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1342.8485,0.35,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.35.pkl
Klat_offset_0.000_Tn_0.40,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.40,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1534.684,0.4,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.40.pkl
Klat_offset_0.000_Tn_0.45,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.45,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1726.5195,0.45,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.45.pkl
Klat_offset_0.000_Tn_0.50,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.50,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,1918.355,0.5,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.50.pkl
Klat_offset_0.000_Tn_0.55,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.55,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2110.1905,0.55,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.55.pkl
Klat_offset_0.000_Tn_0.60,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.60,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2302.026,0.6,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.60.pkl
Klat_offset_0.000_Tn_0.65,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.65,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2493.8615,0.65,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.65.pkl
Klat_offset_0.000_Tn_0.70,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.70,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2685.697,0.7,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.70.pkl
Klat_offset_0.000_Tn_0.75,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.75,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2877.5325,0.75,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.75.pkl
Klat_offset_0.000_Tn_0.80,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.80,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3069.368,0.8,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.80.pkl
Klat_offset_0.000_Tn_0.85,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.85,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3261.2035,0.85,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.85.pkl
Klat_offset_0.000_Tn_0.90,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.90,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3453.039,0.9,0.002,beam,36.0,0.0,0.0,2e+11,Klat_offset_0.000_Tn_0.90.pkl
Klat_offset_0.010_Tn_0.00,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.00,3.76470588235e-09,1.01374166667e-07,1.03666666667e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.0,0.002,beam,36.0,0.01,0.0,2e+11,Klat_offset_0.010_Tn_0.00.pkl
