time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.479902e-08,4.876631e+00,-2.783518e+01
2.000000e-03,6.971347e-08,9.753272e+00,-5.567026e+01
3.500000e-03,1.221547e-07,1.706822e+01,-9.742294e+01
5.750000e-03,2.010691e-07,2.804065e+01,-1.600519e+02
9.125000e-03,3.200250e-07,4.449929e+01,-2.539954e+02
1.418750e-02,4.997937e-07,6.918723e+01,-3.949105e+02
2.178125e-02,7.725121e-07,1.062191e+02,-6.062828e+02
3.317187e-02,1.188657e-06,1.617669e+02,-9.233407e+02
5.025781e-02,1.829393e-06,2.450883e+02,-1.398926e+03
7.025781e-02,2.606339e-06,3.426202e+02,-1.955622e+03
9.025782e-02,3.414914e-06,4.401518e+02,-2.512315e+03
1.102578e-01,4.257723e-06,5.376832e+02,-3.069006e+03
1.302578e-01,5.137828e-06,6.352141e+02,-3.625694e+03
1.502578e-01,6.058807e-06,7.327448e+02,-4.182380e+03
1.702578e-01,7.024758e-06,8.302752e+02,-4.739063e+03
1.902578e-01,8.040399e-06,9.278052e+02,-5.295744e+03
2.102578e-01,9.111192e-06,1.025335e+03,-5.852422e+03
2.302578e-01,1.024351e-05,1.122864e+03,-6.409097e+03
2.502578e-01,1.144484e-05,1.220393e+03,-6.965770e+03
2.702578e-01,1.272404e-05,1.317922e+03,-7.522440e+03
2.902578e-01,1.409172e-05,1.415450e+03,-8.079108e+03
3.102578e-01,1.556066e-05,1.512978e+03,-8.635773e+03
3.302578e-01,1.714650e-05,1.610506e+03,-9.192435e+03
3.502578e-01,1.886850e-05,1.708034e+03,-9.749094e+03
3.702578e-01,2.075086e-05,1.805561e+03,-1.030575e+04
3.902578e-01,2.282429e-05,1.903087e+03,-1.086241e+04
4.102578e-01,2.512861e-05,2.000613e+03,-1.141906e+04
4.302578e-01,2.771634e-05,2.098139e+03,-1.197570e+04
4.502578e-01,3.065850e-05,2.195665e+03,-1.253235e+04
4.702578e-01,3.405366e-05,2.293190e+03,-1.308899e+04
4.902578e-01,3.804305e-05,2.390714e+03,-1.364563e+04
5.102578e-01,4.293456e-05,2.488238e+03,-1.420226e+04
5.302578e-01,4.892144e-05,2.585761e+03,-1.475889e+04
5.502578e-01,5.663745e-05,2.683283e+03,-1.531552e+04
5.702578e-01,6.711882e-05,2.780804e+03,-1.587213e+04
5.902578e-01,8.247123e-05,2.878321e+03,-1.642872e+04
6.102578e-01,1.077449e-04,2.975831e+03,-1.698527e+04
6.302578e-01,1.588763e-04,3.073312e+03,-1.754165e+04
6.502578e-01,3.259910e-04,3.170572e+03,-1.809676e+04
6.602578e-01,7.325445e-04,3.217867e+03,-1.836663e+04
6.752578e-01,3.618449e-03,3.246902e+03,-1.853021e+04
6.952578e-01,6.296342e-03,3.250642e+03,-1.854693e+04
7.152578e-01,8.170335e-03,3.252257e+03,-1.855155e+04
7.352578e-01,9.695947e-03,3.253303e+03,-1.855282e+04
7.552578e-01,1.101585e-02,3.254049e+03,-1.855237e+04
7.752578e-01,1.219733e-02,3.254507e+03,-1.855025e+04
7.952578e-01,1.327842e-02,3.254636e+03,-1.854623e+04
8.152578e-01,1.428427e-02,3.254297e+03,-1.853950e+04
8.352578e-01,1.523525e-02,3.253131e+03,-1.852800e+04
8.552578e-01,1.615940e-02,3.249853e+03,-1.850432e+04
8.752578e-01,1.718849e-02,3.235184e+03,-1.841490e+04
8.952578e-01,1.863330e-02,3.184616e+03,-1.811834e+04
9.152578e-01,2.021674e-02,3.118279e+03,-1.773075e+04
9.352578e-01,3.024689e-02,2.388163e+03,-1.351399e+04
9.552578e-01,3.123719e-02,2.350861e+03,-1.329611e+04
9.752578e-01,3.212162e-02,2.320519e+03,-1.311771e+04
9.952578e-01,3.293101e-02,2.294902e+03,-1.296636e+04
1.000000e+00,3.311407e-02,2.289366e+03,-1.293357e+04
