    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 5.60538e-09	 1.57077e-01	 3.14156e-01	 4.71250e-01	 6.28321e-01	 7.85398e-01	 9.42476e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35619e+00	 2.51327e+00	 2.67034e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39823e+00	 4.55531e+00	 4.71239e+00	 4.86947e+00	 5.02654e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65486e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  2	1.000023e-01	 1.11376e-05	 1.02783e-05	 7.96350e-06	 5.08039e-06	 2.17992e-06	-3.66044e-07	-2.28233e-06	-3.47311e-06	-3.96874e-06	-3.88788e-06	-3.39511e-06	-2.66668e-06	-1.86397e-06	-1.11404e-06	-4.99722e-07	-5.85187e-08	 2.13700e-07	 3.48776e-07	 3.95044e-07	 3.99808e-07	 3.97413e-07	 4.00470e-07	 3.96078e-07	 3.49665e-07	 2.14028e-07	-5.89235e-08	-5.00763e-07	-1.11540e-06	-1.86534e-06	-2.66761e-06	-3.39499e-06	-3.88622e-06	-3.96535e-06	-3.46792e-06	-2.27545e-06	-3.58331e-07	 2.18727e-06	 5.08654e-06	 7.96806e-06	 1.02808e-05
UR 0	1.000023e-01	-4.10188e-04	-3.73475e-04	-2.99022e-04	-2.25174e-04	-1.61806e-04	-1.09728e-04	-6.86053e-05	-3.64205e-05	-1.29775e-05	 3.18169e-06	 1.34981e-05	 1.93382e-05	 2.19503e-05	 2.24880e-05	 2.19459e-05	 2.10941e-05	 2.04166e-05	 2.00995e-05	 2.00921e-05	 2.02134e-05	 2.02808e-05	 2.02205e-05	 2.01078e-05	 2.01193e-05	 2.04384e-05	 2.11162e-05	 2.19641e-05	 2.25005e-05	 2.19550e-05	 1.93299e-05	 1.34700e-05	 3.13076e-06	-1.30589e-05	-3.65441e-05	-6.87843e-05	-1.09901e-04	-1.61947e-04	-2.25298e-04	-2.99129e-04	-3.73540e-04
UR 1	1.000023e-01	 2.67844e-08	-1.94148e-05	-3.49751e-05	-4.39826e-05	-4.48150e-05	-4.19763e-05	-3.81175e-05	-3.25404e-05	-2.70773e-05	-2.22493e-05	-1.82732e-05	-1.52194e-05	-1.31000e-05	-1.17903e-05	-1.10320e-05	-1.04549e-05	-9.64362e-06	-8.24998e-06	-6.09786e-06	-3.25160e-06	 7.43154e-09	 3.26468e-06	 6.10571e-06	 8.25053e-06	 9.64156e-06	 1.04552e-05	 1.10390e-05	 1.18067e-05	 1.31283e-05	 1.52662e-05	 1.83446e-05	 2.23459e-05	 2.72047e-05	 3.26995e-05	 3.83124e-05	 4.21428e-05	 4.49405e-05	 4.40785e-05	 3.50517e-05	 1.94740e-05
UR 2	1.000023e-01	 3.70348e-08	-1.67651e-02	-1.11975e-02	-3.47801e-03	 6.11213e-04	 1.66991e-03	 1.44107e-03	 1.00621e-03	 7.23383e-04	 5.94994e-04	 5.40092e-04	 5.00913e-04	 4.55538e-04	 4.02447e-04	 3.45601e-04	 2.87246e-04	 2.29039e-04	 1.71704e-04	 1.14345e-04	 5.70932e-05	 6.08791e-08	-5.69702e-05	-1.14336e-04	-1.71822e-04	-2.29149e-04	-2.87326e-04	-3.45642e-04	-4.02462e-04	-4.55544e-04	-5.00921e-04	-5.40068e-04	-5.94907e-04	-7.23245e-04	-1.00617e-03	-1.44118e-03	-1.67005e-03	-6.11271e-04	 3.47804e-03	 1.11976e-02	 1.67650e-02
U  0	2.000013e-01	 0.00000e+00	 8.24899e-05	 3.69573e-04	 5.96563e-04	 6.30276e-04	 5.36410e-04	 4.14028e-04	 3.12221e-04	 2.36396e-04	 1.76501e-04	 1.24698e-04	 7.87472e-05	 3.95589e-05	 8.50931e-06	-1.36120e-05	-2.69870e-05	-3.22884e-05	-3.06952e-05	-2.36284e-05	-1.27762e-05	 1.70127e-09	 1.27801e-05	 2.36250e-05	 3.07002e-05	 3.22914e-05	 2.69887e-05	 1.36124e-05	-8.50989e-06	-3.95600e-05	-7.87484e-05	-1.24699e-04	-1.76499e-04	-2.36388e-04	-3.12231e-04	-4.14030e-04	-5.36412e-04	-6.30278e-04	-5.96566e-04	-3.69570e-04	-8.24904e-05
U  1	2.000013e-01	 3.34735e-03	 2.17410e-03	 8.06451e-04	 1.88509e-04	 9.92878e-05	 1.86943e-04	 2.74340e-04	 3.21779e-04	 3.39299e-04	 3.40326e-04	 3.31303e-04	 3.14581e-04	 2.91743e-04	 2.64757e-04	 2.35918e-04	 2.07353e-04	 1.81095e-04	 1.58761e-04	 1.41783e-04	 1.31192e-04	 1.27580e-04	 1.31186e-04	 1.41802e-04	 1.58756e-04	 1.81093e-04	 2.07353e-04	 2.35919e-04	 2.64759e-04	 2.91745e-04	 3.14583e-04	 3.31305e-04	 3.40328e-04	 3.39302e-04	 3.21773e-04	 2.74339e-04	 1.86944e-04	 9.92853e-05	 1.88508e-04	 8.06449e-04	 2.17410e-03
U  2	2.000013e-01	 2.66534e-05	 2.47631e-05	 1.94300e-05	 1.29253e-05	 6.31337e-06	 3.28735e-07	-4.31602e-06	-7.32522e-06	-8.72072e-06	-8.74983e-06	-7.77894e-06	-6.21132e-06	-4.42201e-06	-2.71063e-06	-1.27702e-06	-2.17715e-07	 4.65623e-07	 8.35291e-07	 9.91908e-07	 1.03592e-06	 1.04108e-06	 1.03480e-06	 9.89646e-07	 8.31936e-07	 4.61473e-07	-2.22235e-07	-1.28151e-06	-2.71476e-06	-4.42559e-06	-6.21386e-06	-7.77959e-06	-8.74782e-06	-8.71567e-06	-7.31636e-06	-4.30334e-06	 3.44547e-07	 6.33040e-06	 1.29414e-05	 1.94434e-05	 2.47710e-05
UR 0	2.000013e-01	-8.92811e-04	-8.14221e-04	-6.57573e-04	-5.05037e-04	-3.70143e-04	-2.54828e-04	-1.62157e-04	-8.76778e-05	-3.32708e-05	 4.24489e-06	 2.81874e-05	 4.17645e-05	 4.79243e-05	 4.93355e-05	 4.82514e-05	 4.63824e-05	 4.48002e-05	 4.39426e-05	 4.37349e-05	 4.38427e-05	 4.39257e-05	 4.38386e-05	 4.37274e-05	 4.39327e-05	 4.47919e-05	 4.63736e-05	 4.82434e-05	 4.93266e-05	 4.79129e-05	 4.17405e-05	 2.81394e-05	 4.16807e-06	-3.33878e-05	-8.78505e-05	-1.62410e-04	-2.55082e-04	-3.70363e-04	-5.05239e-04	-6.57756e-04	-8.14396e-04
UR 1	2.000013e-01	 9.03972e-08	-3.14845e-05	-6.82571e-05	-9.69071e-05	-1.00777e-04	-9.34064e-05	-8.43310e-05	-7.01119e-05	-5.65368e-05	-4.48813e-05	-3.56398e-05	-2.89084e-05	-2.45635e-05	-2.21802e-05	-2.10650e-05	-2.03242e-05	-1.90361e-05	-1.64685e-05	-1.22634e-05	-6.57606e-06	-1.19408e-08	 6.55105e-06	 1.22357e-05	 1.64397e-05	 1.90150e-05	 2.03104e-05	 2.10607e-05	 2.21846e-05	 2.45797e-05	 2.89448e-05	 3.57045e-05	 4.49743e-05	 5.66627e-05	 7.02710e-05	 8.45406e-05	 9.35954e-05	 1.00931e-04	 9.70502e-05	 6.84050e-05	 3.16573e-05
UR 2	2.000013e-01	 2.89539e-07	-3.36003e-02	-2.24423e-02	-6.96673e-03	 1.20893e-03	 3.30703e-03	 2.83471e-03	 1.95821e-03	 1.39362e-03	 1.14190e-03	 1.03784e-03	 9.64611e-04	 8.78383e-04	 7.76245e-04	 6.66570e-04	 5.54002e-04	 4.41815e-04	 3.31206e-04	 2.20512e-04	 1.10042e-04	 6.12509e-08	-1.09912e-04	-2.20509e-04	-3.31320e-04	-4.41909e-04	-5.54074e-04	-6.66617e-04	-7.76253e-04	-8.78386e-04	-9.64616e-04	-1.03779e-03	-1.14180e-03	-1.39348e-03	-1.95816e-03	-2.83485e-03	-3.30721e-03	-1.20896e-03	 6.96671e-03	 2.24423e-02	 3.36000e-02
