,f_rim,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
fr0.2_Tn0.60,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.60,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1925.618881383603,0.6,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.60.pkl
fr0.2_Tn0.70,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.70,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2246.5553616142033,0.7,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.70.pkl
fr0.2_Tn0.80,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.80,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2567.491841844804,0.8,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.80.pkl
fr0.2_Tn0.90,0.2,0.05,0.05,0.025,0.025,fr0.2_Tn0.90,2.9865007655612346e-09,1.4932503827806173e-09,1.4932503827806173e-09,0.0,3.143801345025096e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,2888.4283220754046,0.9,0.0032010233373918917,beam,36.0,0.0,200000000000.0,fr0.2_Tn0.90.pkl
fr0.3_Tn0.00,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.00,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,0.0,0.0,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.00.pkl
fr0.3_Tn0.10,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.10,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,363.05046605311367,0.1,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.10.pkl
fr0.3_Tn0.20,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.20,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,726.1009321062273,0.2,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.20.pkl
fr0.3_Tn0.30,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.30,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1089.151398159341,0.3,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.30.pkl
fr0.3_Tn0.40,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.40,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1452.2018642124547,0.4,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.40.pkl
fr0.3_Tn0.50,0.3,0.05,0.05,0.025,0.025,fr0.3_Tn0.50,4.361775713743957e-09,2.1808878568719783e-09,2.1808878568719783e-09,0.0,4.715702017537642e-05,,0.3,26000000000.0,69000000000.0,1.0,0.01,1815.2523302655682,0.5,0.0029942831538970357,beam,36.0,0.0,200000000000.0,fr0.3_Tn0.50.pkl
