    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71
    	Angle ->    	 3.33511e-09	 1.74533e-01	 3.49076e-01	 5.23595e-01	 6.98148e-01	 8.72648e-01	 1.04720e+00	 1.22172e+00	 1.39626e+00	 1.57080e+00	 1.74533e+00	 1.91987e+00	 2.09439e+00	 2.26894e+00	 2.44344e+00	 2.61800e+00	 2.79252e+00	 2.96706e+00	 3.14159e+00	 3.31613e+00	 3.49067e+00	 3.66519e+00	 3.83974e+00	 4.01424e+00	 4.18879e+00	 4.36331e+00	 4.53786e+00	 4.71239e+00	 4.88692e+00	 5.06146e+00	 5.23598e+00	 5.41054e+00	 5.58504e+00	 5.75959e+00	 5.93411e+00	 6.10865e+00
DOF 	DOF        
U  2	1.000002e-01	-5.46772e-04	-5.19811e-04	-4.56478e-04	-3.56386e-04	-2.41443e-04	-1.37724e-04	-5.26315e-05	 7.73300e-06	 4.54832e-05	 6.23617e-05	 6.50074e-05	 5.66539e-05	 4.36382e-05	 2.77361e-05	 1.33445e-05	 2.91628e-07	-8.66066e-06	-1.48753e-05	-1.63578e-05	-1.48765e-05	-8.66294e-06	 2.89459e-07	 1.33405e-05	 2.77316e-05	 4.36341e-05	 5.66494e-05	 6.50026e-05	 6.23605e-05	 4.54840e-05	 7.73933e-06	-5.26207e-05	-1.37705e-04	-2.41418e-04	-3.56355e-04	-4.56461e-04	-5.19813e-04
UR 0	1.000002e-01	 3.79634e-03	 3.50902e-03	 3.14687e-03	 2.77277e-03	 2.25402e-03	 1.69415e-03	 1.18044e-03	 7.42044e-04	 4.04418e-04	 1.73887e-04	 3.27594e-05	-4.32667e-05	-7.54317e-05	-8.89008e-05	-9.05737e-05	-9.55065e-05	-9.61362e-05	-1.01953e-04	-1.00296e-04	-1.01952e-04	-9.61341e-05	-9.55032e-05	-9.05690e-05	-8.88969e-05	-7.54299e-05	-4.32746e-05	 3.27376e-05	 1.73844e-04	 4.04346e-04	 7.41940e-04	 1.18030e-03	 1.69397e-03	 2.25380e-03	 2.77251e-03	 3.14660e-03	 3.50871e-03
UR 1	1.000002e-01	 9.16053e-08	-3.07748e-04	-5.51938e-04	-8.60500e-04	-8.96411e-04	-8.17492e-04	-7.50792e-04	-6.91675e-04	-6.53671e-04	-6.14506e-04	-5.72427e-04	-5.10147e-04	-4.38936e-04	-3.53717e-04	-2.71312e-04	-1.90146e-04	-1.20399e-04	-5.71355e-05	-1.04845e-08	 5.71152e-05	 1.20382e-04	 1.90129e-04	 2.71299e-04	 3.53709e-04	 4.38937e-04	 5.10154e-04	 5.72447e-04	 6.14536e-04	 6.53718e-04	 6.91738e-04	 7.50870e-04	 8.17580e-04	 8.96527e-04	 8.60636e-04	 5.52122e-04	 3.07988e-04
UR 2	1.000002e-01	 2.06093e-07	-9.27120e-03	-6.10406e-03	-1.03297e-03	 8.99817e-04	 8.78796e-04	 6.44313e-04	 4.38012e-04	 3.99398e-04	 3.57653e-04	 3.24982e-04	 2.91566e-04	 2.41556e-04	 2.10369e-04	 1.59244e-04	 1.26401e-04	 7.94677e-05	 4.22375e-05	 6.40411e-09	-4.22328e-05	-7.94608e-05	-1.26390e-04	-1.59235e-04	-2.10358e-04	-2.41551e-04	-2.91551e-04	-3.24977e-04	-3.57647e-04	-3.99394e-04	-4.38005e-04	-6.44303e-04	-8.78779e-04	-8.99819e-04	 1.03293e-03	 6.10397e-03	 9.27130e-03
U  0	2.000005e-01	 0.00000e+00	 4.14236e-05	 2.33177e-04	 3.89445e-04	 3.84067e-04	 3.06430e-04	 2.22583e-04	 1.56204e-04	 1.04617e-04	 5.64392e-05	 1.97760e-05	-1.25445e-05	-3.24540e-05	-4.49770e-05	-4.77005e-05	-4.30515e-05	-3.23963e-05	-1.72022e-05	 6.93001e-09	 1.72155e-05	 3.24087e-05	 4.30628e-05	 4.77108e-05	 4.49855e-05	 3.24612e-05	 1.25490e-05	-1.97728e-05	-5.64394e-05	-1.04619e-04	-1.56209e-04	-2.22590e-04	-3.06439e-04	-3.84087e-04	-3.89463e-04	-2.33186e-04	-4.14214e-05
U  1	2.000005e-01	 1.99874e-03	 1.41576e-03	 5.95242e-04	 1.97475e-04	 1.67459e-04	 2.19107e-04	 2.56360e-04	 2.68115e-04	 2.63750e-04	 2.50330e-04	 2.29488e-04	 2.02634e-04	 1.73995e-04	 1.43770e-04	 1.16253e-04	 9.22745e-05	 7.36353e-05	 6.25322e-05	 5.80047e-05	 6.25339e-05	 7.36398e-05	 9.22821e-05	 1.16261e-04	 1.43782e-04	 1.74007e-04	 2.02647e-04	 2.29502e-04	 2.50344e-04	 2.63764e-04	 2.68128e-04	 2.56372e-04	 2.19117e-04	 1.67463e-04	 1.97480e-04	 5.95260e-04	 1.41581e-03
U  2	2.000005e-01	-8.82920e-04	-8.34479e-04	-7.11041e-04	-5.25784e-04	-3.27235e-04	-1.58442e-04	-2.57125e-05	 6.21049e-05	 1.11952e-04	 1.27420e-04	 1.21661e-04	 9.94516e-05	 7.24697e-05	 4.22849e-05	 1.68219e-05	-5.82731e-06	-2.04901e-05	-3.09468e-05	-3.30563e-05	-3.09535e-05	-2.05065e-05	-5.85910e-06	 1.67845e-05	 4.22341e-05	 7.24235e-05	 9.94047e-05	 1.21621e-04	 1.27400e-04	 1.11964e-04	 6.21631e-05	-2.55738e-05	-1.58274e-04	-3.26991e-04	-5.25514e-04	-7.10791e-04	-8.34304e-04
UR 0	2.000005e-01	 7.05850e-03	 6.62932e-03	 5.91644e-03	 5.00138e-03	 3.85813e-03	 2.75942e-03	 1.80690e-03	 1.02425e-03	 4.46227e-04	 6.96969e-05	-1.46927e-04	-2.52174e-04	-2.84069e-04	-2.89959e-04	-2.78081e-04	-2.78148e-04	-2.71321e-04	-2.79167e-04	-2.73523e-04	-2.79150e-04	-2.71289e-04	-2.78101e-04	-2.78027e-04	-2.89910e-04	-2.84063e-04	-2.52253e-04	-1.47156e-04	 6.92154e-05	 4.45390e-04	 1.02297e-03	 1.80514e-03	 2.75712e-03	 3.85533e-03	 4.99805e-03	 5.91269e-03	 6.62659e-03
UR 1	2.000005e-01	 1.89244e-06	-6.13537e-04	-1.10705e-03	-1.52322e-03	-1.43139e-03	-1.22970e-03	-1.10053e-03	-9.97777e-04	-9.44451e-04	-8.88498e-04	-8.30275e-04	-7.34317e-04	-6.27135e-04	-4.95287e-04	-3.73279e-04	-2.53882e-04	-1.57729e-04	-7.30169e-05	-7.64524e-08	 7.28606e-05	 1.57564e-04	 2.53711e-04	 3.73110e-04	 4.95143e-04	 6.27044e-04	 7.34308e-04	 8.30383e-04	 8.88749e-04	 9.44889e-04	 9.98390e-04	 1.10132e-03	 1.23069e-03	 1.43264e-03	 1.52483e-03	 1.10919e-03	 6.16483e-04
UR 2	2.000005e-01	-1.84886e-06	-1.62765e-02	-1.29192e-02	-3.72618e-03	 1.24030e-03	 1.86919e-03	 1.49399e-03	 1.05009e-03	 9.07575e-04	 8.13411e-04	 7.30959e-04	 6.58631e-04	 5.48005e-04	 4.73705e-04	 3.62797e-04	 2.84013e-04	 1.81386e-04	 9.47891e-05	-2.34421e-08	-9.48341e-05	-1.81433e-04	-2.84062e-04	-3.62833e-04	-4.73751e-04	-5.48046e-04	-6.58681e-04	-7.31003e-04	-8.13472e-04	-9.07612e-04	-1.05017e-03	-1.49403e-03	-1.86932e-03	-1.24046e-03	 3.72630e-03	 1.29200e-02	 1.62769e-02
