time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.423307e-08,8.423475e-01,-1.175167e+01
2.000000e-03,6.864932e-08,1.684697e+00,-2.350334e+01
3.500000e-03,1.203685e-07,2.948221e+00,-4.113086e+01
5.750000e-03,1.983076e-07,4.843509e+00,-6.757217e+01
9.125000e-03,3.160161e-07,7.686443e+00,-1.072342e+02
1.418750e-02,4.943699e-07,1.195085e+01,-1.667272e+02
2.178125e-02,7.659650e-07,1.834746e+01,-2.559667e+02
3.317187e-02,1.182591e-06,2.794238e+01,-3.898261e+02
5.025781e-02,1.829294e-06,4.233475e+01,-5.906150e+02
7.025781e-02,2.621734e-06,5.918179e+01,-8.256489e+02
9.025782e-02,3.455717e-06,7.602883e+01,-1.060683e+03
1.102578e-01,4.334613e-06,9.287585e+01,-1.295716e+03
1.302578e-01,5.262350e-06,1.097229e+02,-1.530749e+03
1.502578e-01,6.243501e-06,1.265698e+02,-1.765782e+03
1.702578e-01,7.283269e-06,1.434168e+02,-2.000814e+03
1.902578e-01,8.387613e-06,1.602638e+02,-2.235846e+03
2.102578e-01,9.563379e-06,1.771107e+02,-2.470878e+03
2.302578e-01,1.081849e-05,1.939577e+02,-2.705909e+03
2.502578e-01,1.216218e-05,2.108046e+02,-2.940939e+03
2.702578e-01,1.360526e-05,2.276515e+02,-3.175970e+03
2.902578e-01,1.516055e-05,2.444983e+02,-3.411000e+03
3.102578e-01,1.684329e-05,2.613451e+02,-3.646029e+03
3.302578e-01,1.867189e-05,2.781920e+02,-3.881058e+03
3.502578e-01,2.066874e-05,2.950387e+02,-4.116086e+03
3.702578e-01,2.286148e-05,3.118855e+02,-4.351113e+03
3.902578e-01,2.528466e-05,3.287321e+02,-4.586140e+03
4.102578e-01,2.798220e-05,3.455788e+02,-4.821166e+03
4.302578e-01,3.101096e-05,3.624253e+02,-5.056190e+03
4.502578e-01,3.444613e-05,3.792718e+02,-5.291213e+03
4.702578e-01,3.838971e-05,3.961181e+02,-5.526235e+03
4.902578e-01,4.298414e-05,4.129643e+02,-5.761254e+03
5.102578e-01,4.843562e-05,4.298103e+02,-5.996269e+03
5.302578e-01,5.520342e-05,4.466559e+02,-6.231280e+03
5.502578e-01,6.359033e-05,4.635009e+02,-6.466282e+03
5.702578e-01,7.459870e-05,4.803448e+02,-6.701269e+03
5.902578e-01,8.998394e-05,4.971867e+02,-6.936226e+03
6.102578e-01,1.136775e-04,5.140233e+02,-7.171111e+03
6.302578e-01,1.567958e-04,5.308433e+02,-7.405762e+03
6.502578e-01,2.679642e-04,5.475677e+02,-7.639073e+03
6.702578e-01,9.417084e-04,5.619704e+02,-7.839863e+03
6.902578e-01,2.297013e-03,5.650084e+02,-7.881451e+03
7.102578e-01,3.219644e-03,5.656555e+02,-7.889547e+03
7.302578e-01,3.941635e-03,5.659837e+02,-7.893162e+03
7.502578e-01,4.552960e-03,5.662063e+02,-7.895322e+03
7.702578e-01,5.092551e-03,5.663716e+02,-7.896667e+03
7.902578e-01,5.580843e-03,5.665013e+02,-7.897512e+03
8.102578e-01,6.030448e-03,5.666011e+02,-7.897666e+03
8.302578e-01,6.449009e-03,5.666817e+02,-7.897918e+03
8.502578e-01,6.842638e-03,5.667387e+02,-7.897805e+03
8.702578e-01,7.215624e-03,5.667695e+02,-7.897298e+03
8.902578e-01,7.571340e-03,5.667688e+02,-7.896334e+03
9.102578e-01,7.912687e-03,5.667259e+02,-7.894771e+03
9.302578e-01,8.242551e-03,5.666208e+02,-7.892324e+03
9.502578e-01,8.564793e-03,5.664107e+02,-7.888381e+03
9.702578e-01,8.893264e-03,5.658992e+02,-7.880293e+03
9.902578e-01,9.243686e-03,5.647787e+02,-7.863598e+03
1.000000e+00,9.417061e-03,5.638128e+02,-7.849571e+03
