    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 3.33385e-09	 2.61798e-01	 5.23595e-01	 7.85398e-01	 1.04720e+00	 1.30900e+00	 1.57080e+00	 1.83259e+00	 2.09439e+00	 2.35619e+00	 2.61800e+00	 2.87979e+00	 3.14159e+00	 3.40339e+00	 3.66519e+00	 3.92699e+00	 4.18879e+00	 4.45059e+00	 4.71239e+00	 4.97419e+00	 5.23598e+00	 5.49779e+00	 5.75959e+00	 6.02139e+00
DOF 	DOF        
U  0	2.000000e-01	 0.00000e+00	 9.99842e-05	 4.15159e-04	 5.47405e-04	 4.23832e-04	 2.72684e-04	 1.59588e-04	 7.83836e-05	 2.84288e-05	-5.92880e-06	-1.63783e-05	-1.24693e-05	 4.76837e-09	 1.24786e-05	 1.63865e-05	 5.93556e-06	-2.84240e-05	-7.83807e-05	-1.59588e-04	-2.72687e-04	-4.23832e-04	-5.47393e-04	-4.15162e-04	-9.99817e-05
U  1	2.000000e-01	 2.00074e-03	 1.26990e-03	 4.33418e-04	 2.15544e-04	 2.87176e-04	 3.35198e-04	 3.36453e-04	 3.12198e-04	 2.76718e-04	 2.33077e-04	 1.97171e-04	 1.70896e-04	 1.61634e-04	 1.70897e-04	 1.97176e-04	 2.33084e-04	 2.76726e-04	 3.12208e-04	 3.36463e-04	 3.35207e-04	 2.87184e-04	 2.15552e-04	 4.33434e-04	 1.26992e-03
U  2	2.000000e-01	-1.40679e-03	-1.32195e-03	-1.10346e-03	-7.83960e-04	-4.30379e-04	-1.41972e-04	 5.82790e-05	 1.52945e-04	 1.71933e-04	 1.32019e-04	 7.95475e-05	 2.99560e-05	 1.55912e-05	 2.99617e-05	 7.95584e-05	 1.32031e-04	 1.71944e-04	 1.52953e-04	 5.82803e-05	-1.41981e-04	-4.30415e-04	-7.84011e-04	-1.10351e-03	-1.32197e-03
UR 0	2.000000e-01	 5.81740e-03	 5.43870e-03	 4.88510e-03	 4.31423e-03	 3.41090e-03	 2.54641e-03	 1.86689e-03	 1.32422e-03	 8.84362e-04	 4.65281e-04	 1.65685e-04	-9.45576e-05	-1.36489e-04	-9.45473e-05	 1.65702e-04	 4.65311e-04	 8.84407e-04	 1.32430e-03	 1.86701e-03	 2.54657e-03	 3.41115e-03	 4.31461e-03	 4.88569e-03	 5.43951e-03
UR 1	2.000000e-01	-1.68945e-07	-6.65226e-04	-1.24973e-03	-2.02836e-03	-2.53275e-03	-2.66456e-03	-2.64914e-03	-2.33110e-03	-1.92923e-03	-1.38798e-03	-9.03594e-04	-4.24210e-04	 3.77116e-08	 4.24285e-04	 9.03653e-04	 1.38802e-03	 1.92925e-03	 2.33110e-03	 2.64911e-03	 2.66451e-03	 2.53261e-03	 2.02808e-03	 1.24932e-03	 6.64765e-04
UR 2	2.000000e-01	-2.57333e-07	-1.34756e-02	-7.62645e-03	 1.76913e-04	 2.36687e-03	 1.68922e-03	 1.23183e-03	 8.86038e-04	 7.21489e-04	 5.78855e-04	 3.58352e-04	 2.00672e-04	-1.71703e-08	-2.00708e-04	-3.58394e-04	-5.78880e-04	-7.21510e-04	-8.86073e-04	-1.23187e-03	-1.68927e-03	-2.36690e-03	-1.76850e-04	 7.62664e-03	 1.34756e-02
U  0	3.000024e-01	 0.00000e+00	 1.37982e-04	 6.05513e-04	 8.33178e-04	 6.47745e-04	 4.15693e-04	 2.46039e-04	 1.15510e-04	 4.46535e-05	-1.01482e-05	-2.52041e-05	-1.87051e-05	 2.44393e-09	 1.87099e-05	 2.52079e-05	 1.01523e-05	-4.46505e-05	-1.15508e-04	-2.46037e-04	-4.15694e-04	-6.47743e-04	-8.33166e-04	-6.05518e-04	-1.37980e-04
U  1	3.000024e-01	 3.00121e-03	 1.96579e-03	 7.13263e-04	 3.39972e-04	 4.40847e-04	 5.12150e-04	 5.12516e-04	 4.74535e-04	 4.22715e-04	 3.54013e-04	 3.00308e-04	 2.61034e-04	 2.44836e-04	 2.61035e-04	 3.00310e-04	 3.54015e-04	 4.22720e-04	 4.74540e-04	 5.12522e-04	 5.12156e-04	 4.40853e-04	 3.39981e-04	 7.13281e-04	 1.96577e-03
U  2	3.000024e-01	-3.47956e-03	-3.24714e-03	-2.62412e-03	-1.75416e-03	-8.50201e-04	-1.35439e-04	 3.25259e-04	 5.09075e-04	 4.89165e-04	 3.30713e-04	 1.45536e-04	-8.33423e-06	-5.89356e-05	-8.30556e-06	 1.45587e-04	 3.30785e-04	 4.89232e-04	 5.09115e-04	 3.25250e-04	-1.35503e-04	-8.50372e-04	-1.75437e-03	-2.62430e-03	-3.24727e-03
UR 0	3.000024e-01	 1.51045e-02	 1.43209e-02	 1.26352e-02	 1.06118e-02	 8.10715e-03	 5.83974e-03	 4.05874e-03	 2.64760e-03	 1.48491e-03	 4.10301e-04	-4.11381e-04	-1.05935e-03	-1.21410e-03	-1.05928e-03	-4.11217e-04	 4.10549e-04	 1.48526e-03	 2.64809e-03	 4.05948e-03	 5.84068e-03	 8.10845e-03	 1.06135e-02	 1.26376e-02	 1.43234e-02
