,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_offset,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,spk_T,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle
Tc_dish_0.003_T1167,0.05,0.05,0.0223333333333,0.0276666666667,Tc_dish_0.003_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00266666666667,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.003_T1167.pkl
Tc_dish_0.003_T1333,0.05,0.05,0.0223333333333,0.0276666666667,Tc_dish_0.003_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00266666666667,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.003_T1333.pkl
Tc_dish_0.003_T1500,0.05,0.05,0.0223333333333,0.0276666666667,Tc_dish_0.003_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00266666666667,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.003_T1500.pkl
Tc_dish_0.005_T0,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T0.pkl
Tc_dish_0.005_T167,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T167.pkl
Tc_dish_0.005_T333,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T333.pkl
Tc_dish_0.005_T500,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T500.pkl
Tc_dish_0.005_T667,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T667.pkl
Tc_dish_0.005_T833,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T833.pkl
Tc_dish_0.005_T1000,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T1000.pkl
Tc_dish_0.005_T1167,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T1167.pkl
Tc_dish_0.005_T1333,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T1333.pkl
Tc_dish_0.005_T1500,0.05,0.05,0.0196666666667,0.0303333333333,Tc_dish_0.005_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.00533333333333,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.005_T1500.pkl
Tc_dish_0.008_T0,0.05,0.05,0.017,0.033,Tc_dish_0.008_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T0.pkl
Tc_dish_0.008_T167,0.05,0.05,0.017,0.033,Tc_dish_0.008_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T167.pkl
Tc_dish_0.008_T333,0.05,0.05,0.017,0.033,Tc_dish_0.008_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T333.pkl
Tc_dish_0.008_T500,0.05,0.05,0.017,0.033,Tc_dish_0.008_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T500.pkl
Tc_dish_0.008_T667,0.05,0.05,0.017,0.033,Tc_dish_0.008_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T667.pkl
Tc_dish_0.008_T833,0.05,0.05,0.017,0.033,Tc_dish_0.008_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T833.pkl
Tc_dish_0.008_T1000,0.05,0.05,0.017,0.033,Tc_dish_0.008_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T1000.pkl
Tc_dish_0.008_T1167,0.05,0.05,0.017,0.033,Tc_dish_0.008_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T1167.pkl
Tc_dish_0.008_T1333,0.05,0.05,0.017,0.033,Tc_dish_0.008_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T1333.pkl
Tc_dish_0.008_T1500,0.05,0.05,0.017,0.033,Tc_dish_0.008_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.008,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.008_T1500.pkl
Tc_dish_0.011_T0,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T0.pkl
Tc_dish_0.011_T167,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T167.pkl
Tc_dish_0.011_T333,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T333.pkl
Tc_dish_0.011_T500,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T500.pkl
Tc_dish_0.011_T667,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T667.pkl
Tc_dish_0.011_T833,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T833.pkl
Tc_dish_0.011_T1000,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T1000.pkl
Tc_dish_0.011_T1167,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T1167.pkl
Tc_dish_0.011_T1333,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T1333.pkl
Tc_dish_0.011_T1500,0.05,0.05,0.0143333333333,0.0356666666667,Tc_dish_0.011_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0106666666667,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.011_T1500.pkl
Tc_dish_0.013_T0,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T0.pkl
Tc_dish_0.013_T167,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T167.pkl
Tc_dish_0.013_T333,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T333.pkl
Tc_dish_0.013_T500,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T500.pkl
Tc_dish_0.013_T667,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T667.pkl
Tc_dish_0.013_T833,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T833.pkl
Tc_dish_0.013_T1000,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T1000.pkl
Tc_dish_0.013_T1167,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T1167.pkl
Tc_dish_0.013_T1333,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T1333.pkl
Tc_dish_0.013_T1500,0.05,0.05,0.0116666666667,0.0383333333333,Tc_dish_0.013_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0133333333333,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.013_T1500.pkl
Tc_dish_0.016_T0,0.05,0.05,0.009,0.041,Tc_dish_0.016_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T0.pkl
Tc_dish_0.016_T167,0.05,0.05,0.009,0.041,Tc_dish_0.016_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T167.pkl
Tc_dish_0.016_T333,0.05,0.05,0.009,0.041,Tc_dish_0.016_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T333.pkl
Tc_dish_0.016_T500,0.05,0.05,0.009,0.041,Tc_dish_0.016_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T500.pkl
Tc_dish_0.016_T667,0.05,0.05,0.009,0.041,Tc_dish_0.016_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T667.pkl
Tc_dish_0.016_T833,0.05,0.05,0.009,0.041,Tc_dish_0.016_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T833.pkl
Tc_dish_0.016_T1000,0.05,0.05,0.009,0.041,Tc_dish_0.016_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T1000.pkl
Tc_dish_0.016_T1167,0.05,0.05,0.009,0.041,Tc_dish_0.016_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T1167.pkl
Tc_dish_0.016_T1333,0.05,0.05,0.009,0.041,Tc_dish_0.016_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T1333.pkl
Tc_dish_0.016_T1500,0.05,0.05,0.009,0.041,Tc_dish_0.016_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.016,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.016_T1500.pkl
Tc_dish_0.019_T0,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T0.pkl
Tc_dish_0.019_T167,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T167.pkl
Tc_dish_0.019_T333,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T333.pkl
Tc_dish_0.019_T500,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T500.pkl
Tc_dish_0.019_T667,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T667.pkl
Tc_dish_0.019_T833,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T833,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,833.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T833.pkl
Tc_dish_0.019_T1000,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T1000,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,1000.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T1000.pkl
Tc_dish_0.019_T1167,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T1167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,1166.66666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T1167.pkl
Tc_dish_0.019_T1333,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T1333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,1333.33333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T1333.pkl
Tc_dish_0.019_T1500,0.05,0.05,0.00633333333333,0.0436666666667,Tc_dish_0.019_T1500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0186666666667,,0.3,26000000000.0,69000000000.0,1500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.019_T1500.pkl
Tc_dish_0.021_T0,0.05,0.05,0.00366666666667,0.0463333333333,Tc_dish_0.021_T0,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0213333333333,,0.3,26000000000.0,69000000000.0,0.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.021_T0.pkl
Tc_dish_0.021_T167,0.05,0.05,0.00366666666667,0.0463333333333,Tc_dish_0.021_T167,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0213333333333,,0.3,26000000000.0,69000000000.0,166.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.021_T167.pkl
Tc_dish_0.021_T333,0.05,0.05,0.00366666666667,0.0463333333333,Tc_dish_0.021_T333,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0213333333333,,0.3,26000000000.0,69000000000.0,333.333333333,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.021_T333.pkl
Tc_dish_0.021_T500,0.05,0.05,0.00366666666667,0.0463333333333,Tc_dish_0.021_T500,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0213333333333,,0.3,26000000000.0,69000000000.0,500.0,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.021_T500.pkl
Tc_dish_0.021_T667,0.05,0.05,0.00366666666667,0.0463333333333,Tc_dish_0.021_T667,9.61538461538e-10,4.80769230769e-09,3.84615384615e-09,0.0,0.0001,0.0213333333333,,0.3,26000000000.0,69000000000.0,666.666666667,0.0018,beam,36.0,0.0,2e+11,Tc_dish_0.021_T667.pkl
