Angle,, 3.33333e-09, 1.74533e-01, 3.49076e-01, 5.23595e-01, 6.98148e-01, 8.72648e-01, 1.04720e+00, 1.22172e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91987e+00, 2.09439e+00, 2.26894e+00, 2.44344e+00, 2.61800e+00, 2.79252e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49067e+00, 3.66519e+00, 3.83974e+00, 4.01424e+00, 4.18879e+00, 4.36331e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06146e+00, 5.23598e+00, 5.41054e+00, 5.58504e+00, 5.75959e+00, 5.93411e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16,-2.69990e-18,-6.59598e-09, 1.61509e-08, 1.68429e-08, 6.41733e-08, 8.89292e-08, 1.19575e-07, 1.50194e-07, 1.38908e-07, 1.52297e-07, 1.11213e-07, 1.02188e-07, 6.09619e-08, 4.13338e-08, 1.94715e-08, 4.22925e-09, 1.14183e-09,-2.84159e-09, 2.72044e-18, 2.84159e-09,-1.14183e-09,-4.22925e-09,-1.94715e-08,-4.13338e-08,-6.09619e-08,-1.02188e-07,-1.11213e-07,-1.52297e-07,-1.38908e-07,-1.50194e-07,-1.19575e-07,-8.89292e-08,-6.41733e-08,-1.68429e-08,-1.61509e-08, 6.59598e-09
U2,2.220000e-16, 2.84127e-07, 3.36050e-07, 2.44901e-07, 2.37228e-07, 1.66723e-07, 1.37908e-07, 1.14068e-07, 9.67549e-08, 9.74772e-08, 9.38544e-08, 8.78639e-08, 8.32267e-08, 6.13316e-08, 4.51745e-08, 1.99725e-08,-5.19031e-09,-1.71493e-08,-3.98255e-08,-3.18325e-08,-3.98255e-08,-1.71493e-08,-5.19031e-09, 1.99725e-08, 4.51745e-08, 6.13316e-08, 8.32267e-08, 8.78639e-08, 9.38544e-08, 9.74772e-08, 9.67549e-08, 1.14068e-07, 1.37908e-07, 1.66723e-07, 2.37228e-07, 2.44901e-07, 3.36050e-07
U3,2.220000e-16, 1.23827e-05, 1.16739e-05, 9.80762e-06, 7.20050e-06, 4.30577e-06, 1.52382e-06,-8.35898e-07,-2.57675e-06,-3.61917e-06,-3.98118e-06,-3.75775e-06,-3.08818e-06,-2.13359e-06,-1.05111e-06, 1.81717e-08, 9.60308e-07, 1.69038e-06, 2.14945e-06, 2.30671e-06, 2.14945e-06, 1.69038e-06, 9.60308e-07, 1.81717e-08,-1.05111e-06,-2.13359e-06,-3.08818e-06,-3.75775e-06,-3.98118e-06,-3.61917e-06,-2.57675e-06,-8.35898e-07, 1.52382e-06, 4.30577e-06, 7.20050e-06, 9.80762e-06, 1.16739e-05
UR1,2.220000e-16,-1.08367e-04,-9.96045e-05,-7.99331e-05,-5.67705e-05,-3.58356e-05,-2.00592e-05,-1.01273e-05,-4.93771e-06,-2.55693e-06,-1.02469e-06, 1.08932e-06, 4.44381e-06, 8.96515e-06, 1.41438e-05, 1.92607e-05, 2.37111e-05, 2.70752e-05, 2.91292e-05, 2.98295e-05, 2.91292e-05, 2.70752e-05, 2.37111e-05, 1.92607e-05, 1.41438e-05, 8.96515e-06, 4.44381e-06, 1.08932e-06,-1.02469e-06,-2.55693e-06,-4.93771e-06,-1.01273e-05,-2.00592e-05,-3.58356e-05,-5.67705e-05,-7.99331e-05,-9.96045e-05
UR2,2.220000e-16, 2.58765e-17, 8.41770e-06, 1.76406e-05, 2.92544e-05, 4.19991e-05, 5.36191e-05, 6.15944e-05, 6.45134e-05, 6.20195e-05, 5.50581e-05, 4.52331e-05, 3.44093e-05, 2.41973e-05, 1.56712e-05, 9.28389e-06, 4.98893e-06, 2.37201e-06, 9.06822e-07,-5.80532e-18,-9.06822e-07,-2.37201e-06,-4.98893e-06,-9.28389e-06,-1.56712e-05,-2.41973e-05,-3.44093e-05,-4.52331e-05,-5.50581e-05,-6.20195e-05,-6.45134e-05,-6.15944e-05,-5.36191e-05,-4.19991e-05,-2.92544e-05,-1.76406e-05,-8.41770e-06
UR3,2.220000e-16,-9.89814e-18,-3.36551e-07,-1.12775e-06,-7.45825e-07,-1.36297e-06,-5.97607e-07,-8.31204e-07,-1.48940e-07,-5.77481e-08, 2.77461e-07, 5.29463e-07, 5.02831e-07, 7.57647e-07, 5.05220e-07, 6.63233e-07, 3.51966e-07, 3.72169e-07, 1.23969e-07,-9.28863e-18,-1.23969e-07,-3.72169e-07,-3.51966e-07,-6.63233e-07,-5.05220e-07,-7.57647e-07,-5.02831e-07,-5.29463e-07,-2.77461e-07, 5.77481e-08, 1.48940e-07, 8.31204e-07, 5.97607e-07, 1.36297e-06, 7.45825e-07, 1.12775e-06, 3.36551e-07
