Angle,, 3.33333e-09, 1.74533e-01, 3.49076e-01, 5.23595e-01, 6.98148e-01, 8.72648e-01, 1.04720e+00, 1.22172e+00, 1.39626e+00, 1.57080e+00, 1.74533e+00, 1.91987e+00, 2.09439e+00, 2.26894e+00, 2.44344e+00, 2.61800e+00, 2.79252e+00, 2.96706e+00, 3.14159e+00, 3.31613e+00, 3.49067e+00, 3.66519e+00, 3.83974e+00, 4.01424e+00, 4.18879e+00, 4.36331e+00, 4.53786e+00, 4.71239e+00, 4.88692e+00, 5.06146e+00, 5.23598e+00, 5.41054e+00, 5.58504e+00, 5.75959e+00, 5.93411e+00, 6.10865e+00
DOF,Time [s],           1,           3,           5,           7,           9,          11,          13,          15,          17,          19,          21,          23,          25,          27,          29,          31,          33,          35,          37,          39,          41,          43,          45,          47,          49,          51,          53,          55,          57,          59,          61,          63,          65,          67,          69,          71
U1,2.220000e-16, 1.07380e-16,-6.86399e-09, 1.60352e-08, 3.46457e-08, 9.73824e-08, 1.40174e-07, 1.90018e-07, 2.16435e-07, 2.15320e-07, 2.05431e-07, 1.62860e-07, 1.29826e-07, 7.97114e-08, 4.83692e-08, 1.67370e-08, 2.20210e-09,-5.89869e-09,-4.63603e-09,-1.07323e-16, 4.63603e-09, 5.89869e-09,-2.20210e-09,-1.67370e-08,-4.83692e-08,-7.97114e-08,-1.29826e-07,-1.62860e-07,-2.05431e-07,-2.15320e-07,-2.16435e-07,-1.90018e-07,-1.40174e-07,-9.73824e-08,-3.46457e-08,-1.60352e-08, 6.86399e-09
U2,2.220000e-16, 6.60898e-07, 6.83108e-07, 5.78984e-07, 5.26036e-07, 4.27294e-07, 3.76098e-07, 3.34383e-07, 3.15468e-07, 3.09895e-07, 3.04957e-07, 2.95595e-07, 2.81006e-07, 2.51561e-07, 2.23046e-07, 1.83766e-07, 1.53770e-07, 1.23754e-07, 1.08039e-07, 1.00169e-07, 1.08039e-07, 1.23754e-07, 1.53770e-07, 1.83766e-07, 2.23046e-07, 2.51561e-07, 2.81006e-07, 2.95595e-07, 3.04957e-07, 3.09895e-07, 3.15468e-07, 3.34383e-07, 3.76098e-07, 4.27294e-07, 5.26036e-07, 5.78984e-07, 6.83108e-07
U3,2.220000e-16, 9.04060e-06, 8.56708e-06, 7.36937e-06, 5.73503e-06, 3.95914e-06, 2.26224e-06, 8.06858e-07,-3.23073e-07,-1.10164e-06,-1.55085e-06,-1.72370e-06,-1.68635e-06,-1.51042e-06,-1.25951e-06,-9.89046e-07,-7.40409e-07,-5.43776e-07,-4.18897e-07,-3.75877e-07,-4.18897e-07,-5.43776e-07,-7.40409e-07,-9.89046e-07,-1.25951e-06,-1.51042e-06,-1.68635e-06,-1.72370e-06,-1.55085e-06,-1.10164e-06,-3.23073e-07, 8.06858e-07, 2.26224e-06, 3.95914e-06, 5.73503e-06, 7.36937e-06, 8.56708e-06
UR1,2.220000e-16,-6.99882e-05,-6.33837e-05,-4.99160e-05,-3.49040e-05,-2.24414e-05,-1.37869e-05,-8.94712e-06,-6.86158e-06,-6.17678e-06,-5.79462e-06,-4.97570e-06,-3.47359e-06,-1.41217e-06, 9.41100e-07, 3.21342e-06, 5.16075e-06, 6.60762e-06, 7.47783e-06, 7.77775e-06, 7.47783e-06, 6.60762e-06, 5.16075e-06, 3.21342e-06, 9.41100e-07,-1.41217e-06,-3.47359e-06,-4.97570e-06,-5.79462e-06,-6.17678e-06,-6.86158e-06,-8.94712e-06,-1.37869e-05,-2.24414e-05,-3.49040e-05,-4.99160e-05,-6.33837e-05
UR2,2.220000e-16,-4.66715e-19, 5.78957e-06, 1.14315e-05, 1.82440e-05, 2.51293e-05, 3.09332e-05, 3.41874e-05, 3.45038e-05, 3.19896e-05, 2.73992e-05, 2.17705e-05, 1.60060e-05, 1.09021e-05, 6.82082e-06, 3.89692e-06, 2.00660e-06, 9.04819e-07, 3.29312e-07, 3.98249e-19,-3.29312e-07,-9.04819e-07,-2.00660e-06,-3.89692e-06,-6.82082e-06,-1.09021e-05,-1.60060e-05,-2.17705e-05,-2.73992e-05,-3.19896e-05,-3.45038e-05,-3.41874e-05,-3.09332e-05,-2.51293e-05,-1.82440e-05,-1.14315e-05,-5.78957e-06
UR3,2.220000e-16, 3.57956e-16,-7.84962e-07,-1.68732e-06,-1.60010e-06,-1.88836e-06,-1.18296e-06,-1.00267e-06,-2.48847e-07, 6.52318e-08, 5.36044e-07, 7.67777e-07, 9.02289e-07, 9.80023e-07, 8.75240e-07, 8.15623e-07, 5.98669e-07, 4.46442e-07, 2.09299e-07, 3.57790e-16,-2.09299e-07,-4.46442e-07,-5.98669e-07,-8.15623e-07,-8.75240e-07,-9.80023e-07,-9.02289e-07,-7.67777e-07,-5.36044e-07,-6.52318e-08, 2.48847e-07, 1.00267e-06, 1.18296e-06, 1.88836e-06, 1.60010e-06, 1.68732e-06, 7.84962e-07
