time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.578977e-08,9.667859e-01,-1.563266e+01
2.000000e-03,7.176401e-08,1.933574e+00,-3.126529e+01
3.500000e-03,1.258269e-07,3.383754e+00,-5.471425e+01
5.750000e-03,2.073063e-07,5.559025e+00,-8.988770e+01
9.125000e-03,3.303858e-07,8.821932e+00,-1.426479e+02
1.418750e-02,5.169441e-07,1.371629e+01,-2.217881e+02
2.178125e-02,8.011754e-07,2.105783e+01,-3.404984e+02
3.317187e-02,1.237598e-06,3.207014e+01,-5.185637e+02
5.025781e-02,1.915715e-06,4.858858e+01,-7.856614e+02
7.025781e-02,2.747686e-06,6.792429e+01,-1.098313e+03
9.025782e-02,3.624366e-06,8.725997e+01,-1.410964e+03
1.102578e-01,4.549272e-06,1.065956e+02,-1.723614e+03
1.302578e-01,5.526539e-06,1.259312e+02,-2.036263e+03
1.502578e-01,6.560957e-06,1.452668e+02,-2.348912e+03
1.702578e-01,7.657993e-06,1.646024e+02,-2.661560e+03
1.902578e-01,8.823888e-06,1.839379e+02,-2.974207e+03
2.102578e-01,1.006581e-05,2.032734e+02,-3.286854e+03
2.302578e-01,1.139205e-05,2.226089e+02,-3.599499e+03
2.502578e-01,1.281223e-05,2.419443e+02,-3.912144e+03
2.702578e-01,1.433762e-05,2.612797e+02,-4.224787e+03
2.902578e-01,1.598152e-05,2.806151e+02,-4.537430e+03
3.102578e-01,1.775975e-05,2.999503e+02,-4.850072e+03
3.302578e-01,1.969129e-05,3.192856e+02,-5.162712e+03
3.502578e-01,2.179922e-05,3.386207e+02,-5.475351e+03
3.702578e-01,2.411187e-05,3.579558e+02,-5.787989e+03
3.902578e-01,2.666457e-05,3.772908e+02,-6.100625e+03
4.102578e-01,2.950197e-05,3.966258e+02,-6.413260e+03
4.302578e-01,3.268163e-05,4.159606e+02,-6.725892e+03
4.502578e-01,3.627925e-05,4.352952e+02,-7.038521e+03
4.702578e-01,4.039681e-05,4.546297e+02,-7.351147e+03
4.902578e-01,4.517576e-05,4.739639e+02,-7.663769e+03
5.102578e-01,5.081912e-05,4.932977e+02,-7.976385e+03
5.302578e-01,5.763081e-05,5.126311e+02,-8.288992e+03
5.502578e-01,6.632663e-05,5.319636e+02,-8.601585e+03
5.702578e-01,7.742957e-05,5.512947e+02,-8.914156e+03
5.902578e-01,9.270861e-05,5.706231e+02,-9.226683e+03
6.102578e-01,1.157006e-04,5.899454e+02,-9.539109e+03
6.302578e-01,1.559521e-04,6.092492e+02,-9.851236e+03
6.502578e-01,2.514749e-04,6.284606e+02,-1.016186e+04
6.702578e-01,7.409538e-04,6.460004e+02,-1.044535e+04
6.902578e-01,2.046441e-03,6.509163e+02,-1.052395e+04
7.102578e-01,2.965311e-03,6.516995e+02,-1.053547e+04
7.302578e-01,3.674557e-03,6.519761e+02,-1.053875e+04
7.502578e-01,4.271780e-03,6.520708e+02,-1.053911e+04
7.702578e-01,4.798231e-03,6.520419e+02,-1.053744e+04
7.902578e-01,5.275686e-03,6.518933e+02,-1.053383e+04
8.102578e-01,5.717770e-03,6.516059e+02,-1.052770e+04
8.302578e-01,6.136859e-03,6.510465e+02,-1.051741e+04
8.502578e-01,6.581218e-03,6.490292e+02,-1.048373e+04
8.552578e-01,6.711932e-03,6.479033e+02,-1.046514e+04
8.627578e-01,6.990320e-03,6.443637e+02,-1.040719e+04
8.655703e-01,7.213370e-03,6.408437e+02,-1.034984e+04
8.666250e-01,7.353457e-03,6.385519e+02,-1.031254e+04
8.682070e-01,7.657008e-03,6.336046e+02,-1.023207e+04
8.688003e-01,7.860833e-03,6.306671e+02,-1.018431e+04
8.688142e-01,7.872459e-03,6.305234e+02,-1.018198e+04
8.688350e-01,7.898622e-03,6.302124e+02,-1.017692e+04
8.688350e-01,7.898622e-03,6.302124e+02,-1.017692e+04
