T_PRE,T_POST,LAT_DEF
924.7,764.8,6.12
865.9,700.6,6.9
838.8,721,7.7
894.5,681,8.5
838.8,788.3,8.92
865.9,549.8,9.15
924.7,990.1,8.99
788.3,462.8,8.55
894.5,990.1,7.45
865.9,509.9,6.21
865.9,812.9,4.37
865.9,1103.7,2.63
812.9,250.1,1.29
924.7,894.5,0.72
865.9,194.7,0.91
865.9,1146.4,1.86
865.9,838.8,3.28
838.8,474,4.88
894.5,990.1,6.06
838.8,497.5,6.89
894.5,924.7,7.24
894.5,564.1,7.22
865.9,812.9,6.96
812.9,610.2,6.43
865.9,764.8,5.72
838.8,700.6,5.01
924.7,764.8,4.37
838.8,764.8,3.81
838.8,626.9,3.41
865.9,838.8,3.15
865.9,610.2,3.05
924.7,838.8,3.14
865.9,626.9,3.48
865.9,812.9,3.95
865.9,662.2,4.61
838.8,721,5.26
