LOAD_RAD,LOAD_LAT
120,6.61386
320,8.81848
320,7.71617
320,6.61386
320,6.61386
380,7.71617
380,7.605939
380,6.61386
380,6.7461372
410,7.495708
410,7.054784
410,7.275246
410,7.71617
470,7.275246
470,6.61386
470,7.054784
470,6.61386
550,7.71617
550,7.054784
550,6.944553
550,7.165015
620,7.936632
620,6.834322
620,7.054784
620,6.944553
