POINTNUM,TIME,POSIT,FORCE,EXT_RAD,EXT_LAT
1,2.4,-0.002075,12.55570412,0.02742679,0.06333676
2,2.499,-0.003475,18.79228783,0.062939361,0.085937068
3,2.599,-0.004725,25.38655472,0.094497457,0.081478052
4,2.698,-0.005675,30.58676147,0.119682796,0.069068313
5,2.899,-0.0071,37.81385803,0.158061206,0.065881811
6,3.298,-0.008975,44.0412674,0.210593536,0.08052624
7,3.399,-0.009775,49.30567932,0.226540282,0.084343821
8,3.6,-0.01055,55.42302322,0.239012972,0.09166345
9,3.798,-0.0113,61.74214935,0.251949906,0.082114309
10,3.999,-0.0121,67.94204712,0.265142977,0.075430952
11,4.198,-0.012875,73.76591492,0.278255731,0.068111323
12,4.5,-0.014025,81.27732086,0.298573732,0.07924854
13,4.599,-0.0148,87.40385437,0.312263399,0.07320144
14,4.798,-0.015575,93.52120209,0.325584769,0.068111323
15,4.999,-0.016349999,99.6385498,0.339081973,0.071613356
16,5.198,-0.017124999,105.5541382,0.352258861,0.077024199
17,5.4,-0.017899999,111.2587738,0.365355939,0.083071299
18,5.599,-0.018674999,117.2110443,0.378276706,0.087209597
19,5.798,-0.01945,123.4201126,0.391261667,0.082114309
20,5.899,-0.020199999,129.5741425,0.404262781,0.072249629
21,6.099,-0.021,135.7373657,0.416367203,0.069068313
22,6.298,-0.021749999,141.2126923,0.430072486,0.069383852
23,6.499,-0.022524999,147.0457458,0.442817479,0.083707564
24,6.698,-0.0233,153.0622101,0.456714749,0.08561635
25,6.899,-0.024075,159.0603333,0.469043493,0.088161409
26,7.099,-0.025250001,167.7915497,0.488384992,0.077024199
27,7.399,-0.0264,176.5502777,0.50610894,0.06970457
28,7.599,-0.027175,182.2274017,0.519093871,0.072565168
29,7.798,-0.02795,188.1062927,0.531790853,0.08179877
30,7.999,-0.028725,193.9576721,0.544935942,0.083707564
31,8.198,-0.0295,199.7173462,0.557392478,0.088482127
32,8.4,-0.03025,205.4953613,0.569880843,0.082435027
33,8.599,-0.031424999,214.0706329,0.590791404,0.083707564
34,8.798,-0.032200001,220.0229034,0.602831662,0.088161409
