POINTNUM,TIME,POSIT,FORCE,EXT_RAD,EXT_LAT
1,2.428,-0.0019,12.06044769,0.01524203,-0.02069152
2,2.529,-0.0034,24.01083946,0.035624199,0.01240974
3,2.627,-0.00465,35.83282852,0.050098389,-0.01909828
4,2.727,-0.00565,45.00426865,0.062410951,-0.0041383
5,2.827,-0.006475,52.38728333,0.072737657,-0.00445902
6,2.928,-0.007175,58.34872055,0.08087144,-0.01559624
7,3.028,-0.007775,63.33798218,0.088684931,0.00095181
8,3.127,-0.00865,70.5559082,0.10038875,0.00158807
9,3.327,-0.00945,76.64575195,0.115150876,-0.00509529
10,3.528,-0.01025,82.1852951,0.127719551,-0.00222951
11,3.727,-0.011025,87.19290924,0.135372907,-0.021643329
12,3.928,-0.0118,92.24636841,0.144131079,-0.01273046
13,4.127,-0.012575,97.61167145,0.158044517,0.00477457
14,4.327,-0.01335,102.8944168,0.169732675,0.0041383
15,4.428,-0.014125,108.580719,0.181597158,0.01305118
16,4.627,-0.0149,114.0744095,0.192980692,0.00031555
17,4.827,-0.015675001,119.3663254,0.203900486,-0.00668336
18,5.028,-0.016425001,124.9058838,0.215171874,-0.01145793
19,5.227,-0.017200001,130.7205811,0.238388062,-0.00541083
20,5.428,-0.017975001,136.1408997,0.251533151,-0.00095698
21,5.627,-0.018750001,141.772171,0.264326125,0.0041383
22,5.727,-0.019525001,147.082428,0.276222408,0.01877756
23,5.928,-0.020300001,152.4568939,0.287301838,0.01082167
24,6.127,-0.021074999,158.2532501,0.298669726,0.00063626
25,6.327,-0.021849999,164.1321411,0.311126232,-0.00190879
26,6.528,-0.022624999,170.3320465,0.323903054,-0.0041383
27,6.727,-0.023399999,176.0091553,0.336792022,0.00636264
28,6.928,-0.024174999,181.7688293,0.354067862,0.00827661
29,7.029,-0.024924999,187.3083801,0.369630694,0.01432371
30,7.227,-0.025699999,193.1414337,0.382151395,0.00922842
31,7.428,-0.026474999,199.1028595,0.394703895,0.00541083
32,7.627,-0.027249999,204.9450684,0.411499351,-0.00254506
33,7.827,-0.028024999,210.7597656,0.42312333,-0.00190879
34,8.028,-0.0288,216.5652924,0.435163617,0.00859216
35,8.227,-0.029549999,222.3432922,0.44744435,0.01432371
36,8.327,-0.030324999,228.5065002,0.460221142,0.01495997
37,8.529,-0.031125,234.4771118,0.47290197,0.00286578
38,8.727,-0.0319,240.1725769,0.484765917,0.00541083
39,8.928,-0.032650001,246.1431732,0.496822357,-0.00795589
40,9.127,-0.033425,251.9762268,0.508910596,0.00031555
41,9.327,-0.034200002,258.0660706,0.521607101,0.00668336
42,9.528,-0.034975,264.1834106,0.533999979,0.00636264
