T_PRE,T_POST,LAT_DEF
812.9,924.7,10.996
812.9,266.3,8.7
865.9,812.9,5.85
838.8,1474.5,3.12
865.9,0,0.98
865.9,230.1,-0.08
838.8,0,0.28
865.9,1474.5,1.91
838.8,764.8,4.16
838.8,367.8,7.11
838.8,924.7,9.26
865.9,351.9,10.74
838.8,924.7,11.84
838.8,344.3,12.5
865.9,838.8,12.39
865.9,474,12.09
838.8,721,11.44
838.8,610.2,10.56
894.5,644.2,9.54
838.8,721,8.6
865.9,522.8,7.72
838.8,788.3,7.13
838.8,485.6,6.77
894.5,812.9,6.71
838.8,509.9,6.91
865.9,788.3,7.26
812.9,497.5,7.89
894.5,742.4,8.69
838.8,610.2,9.59
838.8,626.9,10.5
838.8,721,11.61
865.9,474,12.41
865.9,838.8,13.3
865.9,376.1,13.56
865.9,924.7,13.36
865.9,376.1,12.47
