time,U3 [m],Tension [N],Compression [N]
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,1.616561e-08,5.278217e-01,-5.858186e+00
2.000000e-03,3.255705e-08,1.055648e+00,-1.171644e+01
3.500000e-03,5.716245e-08,1.847388e+00,-2.050382e+01
5.750000e-03,9.429411e-08,3.035001e+00,-3.368493e+01
9.125000e-03,1.504496e-07,4.816425e+00,-5.345662e+01
1.418750e-02,2.356740e-07,7.488566e+00,-8.311422e+01
2.178125e-02,3.657279e-07,1.149678e+01,-1.276007e+02
3.317187e-02,5.658834e-07,1.750912e+01,-1.943305e+02
5.025781e-02,8.779885e-07,2.652763e+01,-2.944252e+02
7.025781e-02,1.262562e-06,3.708428e+01,-4.115914e+02
9.025782e-02,1.668938e-06,4.764093e+01,-5.287577e+02
1.102578e-01,2.100302e-06,5.819759e+01,-6.459239e+02
1.302578e-01,2.558561e-06,6.875424e+01,-7.630901e+02
1.502578e-01,3.046316e-06,7.931090e+01,-8.802562e+02
1.702578e-01,3.566676e-06,8.986755e+01,-9.974223e+02
1.902578e-01,4.123198e-06,1.004242e+02,-1.114588e+03
2.102578e-01,4.720008e-06,1.109809e+02,-1.231754e+03
2.302578e-01,5.361912e-06,1.215375e+02,-1.348920e+03
2.502578e-01,6.054552e-06,1.320941e+02,-1.466086e+03
2.702578e-01,6.804597e-06,1.426508e+02,-1.583252e+03
2.902578e-01,7.620004e-06,1.532074e+02,-1.700418e+03
3.102578e-01,8.510341e-06,1.637641e+02,-1.817583e+03
3.302578e-01,9.487248e-06,1.743207e+02,-1.934749e+03
3.502578e-01,1.056504e-05,1.848773e+02,-2.051914e+03
3.702578e-01,1.176155e-05,1.954339e+02,-2.169080e+03
3.902578e-01,1.309935e-05,2.059906e+02,-2.286245e+03
4.102578e-01,1.460744e-05,2.165472e+02,-2.403410e+03
4.302578e-01,1.632387e-05,2.271038e+02,-2.520575e+03
4.502578e-01,1.829962e-05,2.376604e+02,-2.637740e+03
4.702578e-01,2.060487e-05,2.482170e+02,-2.754905e+03
4.902578e-01,2.333922e-05,2.587735e+02,-2.872070e+03
5.102578e-01,2.671684e-05,2.693301e+02,-2.989234e+03
5.302578e-01,3.086977e-05,2.798866e+02,-3.106398e+03
5.502578e-01,3.622998e-05,2.904430e+02,-3.223561e+03
5.702578e-01,4.349115e-05,3.009993e+02,-3.340722e+03
5.902578e-01,5.403655e-05,3.115554e+02,-3.457881e+03
6.102578e-01,7.109854e-05,3.221109e+02,-3.575034e+03
6.302578e-01,1.044534e-04,3.326645e+02,-3.692164e+03
6.502578e-01,2.041318e-04,3.432041e+02,-3.809140e+03
6.702578e-01,1.641153e-03,3.521970e+02,-3.908855e+03
6.902578e-01,4.352757e-03,3.530728e+02,-3.917989e+03
7.102578e-01,6.017112e-03,3.533268e+02,-3.920183e+03
7.302578e-01,7.318793e-03,3.535119e+02,-3.921608e+03
7.502578e-01,8.423723e-03,3.536699e+02,-3.922723e+03
7.702578e-01,9.400611e-03,3.538131e+02,-3.923685e+03
7.902578e-01,1.028617e-02,3.539416e+02,-3.924478e+03
8.102578e-01,1.110269e-02,3.540534e+02,-3.925083e+03
8.302578e-01,1.186543e-02,3.541404e+02,-3.925409e+03
8.502578e-01,1.258598e-02,3.541871e+02,-3.925138e+03
8.702578e-01,1.327615e-02,3.541497e+02,-3.924112e+03
8.902578e-01,1.398821e-02,3.535580e+02,-3.916960e+03
8.952578e-01,1.419288e-02,3.530819e+02,-3.911476e+03
9.027578e-01,1.460077e-02,3.511957e+02,-3.890139e+03
9.055703e-01,1.490055e-02,3.491494e+02,-3.867165e+03
9.058340e-01,1.495012e-02,3.487721e+02,-3.862952e+03
9.062295e-01,1.504913e-02,3.479833e+02,-3.854120e+03
9.063778e-01,1.510687e-02,3.474978e+02,-3.848687e+03
9.064334e-01,1.513723e-02,3.472351e+02,-3.845748e+03
9.065168e-01,1.521968e-02,3.464969e+02,-3.837491e+03
9.065168e-01,1.521968e-02,3.464969e+02,-3.837491e+03
