    	Node label->	           1	           2	           3	           4	           5	           6	           7	           8	           9	          10	          11	          12	          13	          14	          15	          16	          17	          18	          19	          20	          21	          22	          23	          24	          25	          26	          27	          28	          29	          30	          31	          32	          33	          34	          35	          36	          37	          38	          39	          40	          41	          42	          43	          44	          45	          46	          47	          48	          49	          50	          51	          52	          53	          54	          55	          56	          57	          58	          59	          60	          61	          62	          63	          64
    	Angle ->    	 1.66775e-09	 9.81756e-02	 1.96345e-01	 2.94528e-01	 3.92701e-01	 4.90882e-01	 5.89050e-01	 6.87226e-01	 7.85398e-01	 8.83570e-01	 9.81747e-01	 1.07991e+00	 1.17810e+00	 1.27627e+00	 1.37445e+00	 1.47262e+00	 1.57080e+00	 1.66897e+00	 1.76714e+00	 1.86532e+00	 1.96350e+00	 2.06168e+00	 2.15985e+00	 2.25802e+00	 2.35619e+00	 2.45437e+00	 2.55254e+00	 2.65071e+00	 2.74889e+00	 2.84706e+00	 2.94525e+00	 3.04342e+00	 3.14159e+00	 3.23977e+00	 3.33794e+00	 3.43612e+00	 3.53429e+00	 3.63247e+00	 3.73064e+00	 3.82882e+00	 3.92699e+00	 4.02516e+00	 4.12334e+00	 4.22151e+00	 4.31969e+00	 4.41786e+00	 4.51604e+00	 4.61421e+00	 4.71239e+00	 4.81056e+00	 4.90873e+00	 5.00692e+00	 5.10509e+00	 5.20327e+00	 5.30144e+00	 5.39961e+00	 5.49779e+00	 5.59596e+00	 5.69414e+00	 5.79230e+00	 5.89048e+00	 5.98866e+00	 6.08684e+00	 6.18501e+00
DOF 	DOF        
U  2	1.000027e-01	-3.59519e-04	-3.39706e-04	-2.95041e-04	-2.21478e-04	-1.20113e-04	 7.53176e-07	 1.33215e-04	 2.65424e-04	 3.85184e-04	 4.80168e-04	 5.39988e-04	 5.56646e-04	 5.26458e-04	 4.49458e-04	 3.30880e-04	 1.79492e-04	 8.10174e-06	-1.68766e-04	-3.34995e-04	-4.75693e-04	-5.77301e-04	-6.30185e-04	-6.28427e-04	-5.71646e-04	-4.63755e-04	-3.14210e-04	-1.35546e-04	 5.61345e-05	 2.44157e-04	 4.11330e-04	 5.42997e-04	 6.26933e-04	 6.55895e-04	 6.26940e-04	 5.43013e-04	 4.11352e-04	 2.44183e-04	 5.61608e-05	-1.35521e-04	-3.14188e-04	-4.63740e-04	-5.71637e-04	-6.28426e-04	-6.30195e-04	-5.77320e-04	-4.75717e-04	-3.35023e-04	-1.68795e-04	 8.07293e-06	 1.79466e-04	 3.30858e-04	 4.49440e-04	 5.26449e-04	 5.56646e-04	 5.39997e-04	 4.80183e-04	 3.85207e-04	 2.65449e-04	 1.33242e-04	 7.80494e-07	-1.20088e-04	-2.21458e-04	-2.95029e-04	-3.39699e-04
UR 0	1.000027e-01	 2.14264e-03	 1.99821e-03	 1.89279e-03	 1.76586e-03	 1.56707e-03	 1.32406e-03	 1.01714e-03	 6.47181e-04	 2.18798e-04	-2.54949e-04	-7.60278e-04	-1.27119e-03	-1.76423e-03	-2.20878e-03	-2.57879e-03	-2.84823e-03	-2.99831e-03	-3.01612e-03	-2.89673e-03	-2.64481e-03	-2.27072e-03	-1.79469e-03	-1.23816e-03	-6.31066e-04	 2.06834e-06	 6.28180e-04	 1.22630e-03	 1.76759e-03	 2.23833e-03	 2.61709e-03	 2.89805e-03	 3.06760e-03	 3.12630e-03	 3.06765e-03	 2.89813e-03	 2.61719e-03	 2.23846e-03	 1.76772e-03	 1.22644e-03	 6.28325e-04	 2.21519e-06	-6.30924e-04	-1.23803e-03	-1.79458e-03	-2.27062e-03	-2.64475e-03	-2.89670e-03	-3.01611e-03	-2.99834e-03	-2.84827e-03	-2.57887e-03	-2.20889e-03	-1.76435e-03	-1.27134e-03	-7.60430e-04	-2.55112e-04	 2.18642e-04	 6.47033e-04	 1.01702e-03	 1.32395e-03	 1.56695e-03	 1.76578e-03	 1.89274e-03	 1.99819e-03
UR 1	1.000027e-01	 5.89711e-08	-3.93646e-04	-6.24768e-04	-1.03823e-03	-1.41443e-03	-1.75867e-03	-2.06294e-03	-2.27892e-03	-2.40398e-03	-2.42298e-03	-2.33679e-03	-2.14665e-03	-1.86460e-03	-1.49848e-03	-1.06748e-03	-5.82217e-04	-6.51893e-05	 4.72570e-04	 1.00623e-03	 1.52334e-03	 1.99869e-03	 2.41773e-03	 2.75602e-03	 3.00062e-03	 3.13053e-03	 3.13917e-03	 3.01530e-03	 2.76242e-03	 2.38361e-03	 1.89559e-03	 1.31671e-03	 6.74945e-04	 7.04598e-08	-6.74807e-04	-1.31657e-03	-1.89547e-03	-2.38351e-03	-2.76235e-03	-3.01526e-03	-3.13917e-03	-3.13055e-03	-3.00066e-03	-2.75610e-03	-2.41783e-03	-1.99880e-03	-1.52345e-03	-1.00634e-03	-4.72671e-04	 6.50990e-05	 5.82133e-04	 1.06742e-03	 1.49842e-03	 1.86456e-03	 2.14663e-03	 2.33678e-03	 2.42300e-03	 2.40403e-03	 2.27897e-03	 2.06299e-03	 1.75875e-03	 1.41453e-03	 1.03836e-03	 6.24904e-04	 3.93777e-04
UR 2	1.000027e-01	-3.75351e-09	-8.58587e-03	-5.96848e-03	-2.04633e-03	 1.23615e-04	 6.60179e-04	 5.56329e-04	 2.97095e-04	 1.84253e-04	 1.20995e-04	 1.32049e-04	 1.35017e-04	 1.30748e-04	 1.42030e-04	 1.11138e-04	 1.33610e-04	 9.15704e-05	 1.19760e-04	 7.88711e-05	 9.98589e-05	 7.29386e-05	 7.75278e-05	 7.16382e-05	 5.41178e-05	 6.89951e-05	 3.18686e-05	 6.05147e-05	 1.44091e-05	 4.49578e-05	 4.12597e-06	 2.35574e-05	 1.98809e-07	-1.00422e-09	-2.06339e-07	-2.35551e-05	-4.12257e-06	-4.49563e-05	-1.44051e-05	-6.05157e-05	-3.18700e-05	-6.89907e-05	-5.41154e-05	-7.16415e-05	-7.75183e-05	-7.29351e-05	-9.98536e-05	-7.88684e-05	-1.19755e-04	-9.15656e-05	-1.33613e-04	-1.11145e-04	-1.42039e-04	-1.30753e-04	-1.35021e-04	-1.32046e-04	-1.20993e-04	-1.84254e-04	-2.97097e-04	-5.56329e-04	-6.60172e-04	-1.23611e-04	 2.04632e-03	 5.96846e-03	 8.58586e-03
U  0	2.000024e-01	 0.00000e+00	 1.54918e-05	 7.37099e-05	 1.23196e-04	 1.44054e-04	 7.75051e-05	-1.20144e-05	-9.39403e-05	-1.59834e-04	-1.70432e-04	-1.93634e-04	-1.61065e-04	-1.64617e-04	-1.23769e-04	-1.20609e-04	-9.31981e-05	-8.41805e-05	-7.33853e-05	-5.85735e-05	-6.09161e-05	-4.35048e-05	-5.03513e-05	-3.25982e-05	-3.56038e-05	-1.97184e-05	-1.60582e-05	-5.04938e-06	 1.55100e-06	 5.31060e-06	 9.11221e-06	 6.42983e-06	 4.77786e-06	-8.60598e-09	-4.79520e-06	-6.44785e-06	-9.13006e-06	-5.32801e-06	-1.56732e-06	 5.03542e-06	 1.60457e-05	 1.97069e-05	 3.55942e-05	 3.25903e-05	 5.03463e-05	 4.34998e-05	 6.09114e-05	 5.85712e-05	 7.33854e-05	 8.41802e-05	 9.31987e-05	 1.20610e-04	 1.23771e-04	 1.64624e-04	 1.61072e-04	 1.93639e-04	 1.70437e-04	 1.59836e-04	 9.39422e-05	 1.20127e-05	-7.75075e-05	-1.44058e-04	-1.23198e-04	-7.37103e-05	-1.54926e-05
U  1	2.000024e-01	 2.00058e-03	 1.68233e-03	 1.08429e-03	 5.97279e-04	 2.31239e-04	 9.75763e-05	 3.64638e-05	 7.88954e-06	 5.85235e-06	-1.32896e-05	 1.09564e-06	-1.33207e-05	-1.06233e-05	-3.36835e-05	-5.23659e-05	-7.97615e-05	-1.04123e-04	-1.23306e-04	-1.34076e-04	-1.40078e-04	-1.33182e-04	-1.32098e-04	-1.16477e-04	-1.15668e-04	-1.01787e-04	-1.02476e-04	-9.56963e-05	-9.46082e-05	-9.56076e-05	-9.00072e-05	-9.70593e-05	-8.76209e-05	-9.78222e-05	-8.76236e-05	-9.70624e-05	-9.00121e-05	-9.56134e-05	-9.46156e-05	-9.57046e-05	-1.02485e-04	-1.01797e-04	-1.15678e-04	-1.16489e-04	-1.32112e-04	-1.33197e-04	-1.40093e-04	-1.34089e-04	-1.23317e-04	-1.04135e-04	-7.97724e-05	-5.23730e-05	-3.36885e-05	-1.06261e-05	-1.33234e-05	 1.09390e-06	-1.32916e-05	 5.85071e-06	 7.88947e-06	 3.64646e-05	 9.75799e-05	 2.31246e-04	 5.97285e-04	 1.08430e-03	 1.68232e-03
U  2	2.000024e-01	 1.69974e-02	 1.63252e-02	 1.43991e-02	 1.14776e-02	 7.92940e-03	 4.15042e-03	 5.09767e-04	-2.69079e-03	-5.22696e-03	-6.96405e-03	-7.85289e-03	-7.92705e-03	-7.28389e-03	-6.07328e-03	-4.47288e-03	-2.66986e-03	-8.45089e-04	 8.43467e-04	 2.26750e-03	 3.33861e-03	 4.00622e-03	 4.25882e-03	 4.11858e-03	 3.63562e-03	 2.87955e-03	 1.93486e-03	 8.88820e-04	-1.69119e-04	-1.15839e-03	-2.00606e-03	-2.65533e-03	-3.06191e-03	-3.20067e-03	-3.06192e-03	-2.65538e-03	-2.00625e-03	-1.15849e-03	-1.69224e-04	 8.88751e-04	 1.93482e-03	 2.87959e-03	 3.63565e-03	 4.11857e-03	 4.25892e-03	 4.00635e-03	 3.33880e-03	 2.26760e-03	 8.43557e-04	-8.45061e-04	-2.66980e-03	-4.47298e-03	-6.07348e-03	-7.28415e-03	-7.92728e-03	-7.85303e-03	-6.96418e-03	-5.22700e-03	-2.69080e-03	 5.09829e-04	 4.15056e-03	 7.92950e-03	 1.14777e-02	 1.43992e-02	 1.63253e-02
UR 0	2.000024e-01	-7.18720e-02	-7.01843e-02	-6.55079e-02	-5.77580e-02	-4.79914e-02	-3.66775e-02	-2.46677e-02	-1.25864e-02	-1.10992e-03	 9.16186e-03	 1.78205e-02	 2.45889e-02	 2.93149e-02	 3.20529e-02	 3.29369e-02	 3.22224e-02	 3.01964e-02	 2.71750e-02	 2.34634e-02	 1.93480e-02	 1.50560e-02	 1.07737e-02	 6.61637e-03	 2.69054e-03	-9.60195e-04	-4.28070e-03	-7.25480e-03	-9.84492e-03	-1.20331e-02	-1.37746e-02	-1.50547e-02	-1.58281e-02	-1.60946e-02	-1.58281e-02	-1.50551e-02	-1.37751e-02	-1.20337e-02	-9.84546e-03	-7.25536e-03	-4.28121e-03	-9.60592e-04	 2.69024e-03	 6.61613e-03	 1.07735e-02	 1.50560e-02	 1.93482e-02	 2.34638e-02	 2.71759e-02	 3.01975e-02	 3.22236e-02	 3.29379e-02	 3.20541e-02	 2.93161e-02	 2.45900e-02	 1.78216e-02	 9.16245e-03	-1.10962e-03	-1.25866e-02	-2.46681e-02	-3.66781e-02	-4.79909e-02	-5.77582e-02	-6.55084e-02	-7.01841e-02
UR 1	2.000024e-01	 4.26195e-07	 1.60604e-02	 3.01433e-02	 4.11266e-02	 4.86610e-02	 5.28553e-02	 5.42193e-02	 5.32836e-02	 5.04881e-02	 4.62840e-02	 4.10129e-02	 3.50034e-02	 2.84752e-02	 2.17262e-02	 1.49481e-02	 8.37255e-03	 2.15178e-03	-3.53227e-03	-8.52695e-03	-1.27310e-02	-1.60229e-02	-1.83711e-02	-1.97384e-02	-2.01908e-02	-1.97885e-02	-1.86526e-02	-1.69002e-02	-1.46682e-02	-1.20746e-02	-9.23530e-03	-6.23136e-03	-3.13737e-03	-3.57503e-07	 3.13667e-03	 6.23070e-03	 9.23475e-03	 1.20744e-02	 1.46682e-02	 1.69004e-02	 1.86530e-02	 1.97890e-02	 2.01915e-02	 1.97391e-02	 1.83721e-02	 1.60240e-02	 1.27317e-02	 8.52745e-03	 3.53248e-03	-2.15192e-03	-8.37282e-03	-1.49489e-02	-2.17276e-02	-2.84771e-02	-3.50061e-02	-4.10155e-02	-4.62860e-02	-5.04900e-02	-5.32852e-02	-5.42203e-02	-5.28556e-02	-4.86607e-02	-4.11262e-02	-3.01426e-02	-1.60596e-02
UR 2	2.000024e-01	 1.13685e-07	-8.77912e-03	-8.41205e-03	-6.09575e-03	-2.94055e-03	-8.95482e-06	-2.13902e-04	 2.44167e-04	-4.79193e-04	-1.90454e-04	-2.83126e-04	-1.82145e-04	 3.01198e-06	-2.02566e-04	 1.05159e-04	-3.08361e-04	-6.13783e-06	-3.91297e-04	-1.22958e-04	-3.21558e-04	-1.56583e-04	-1.62407e-04	-1.51114e-04	-2.52973e-05	-1.63571e-04	 2.79384e-05	-1.87650e-04	 1.84044e-05	-1.80463e-04	-2.59049e-06	-1.13053e-04	-4.46638e-06	 1.42810e-08	 4.48931e-06	 1.13068e-04	 2.60846e-06	 1.80511e-04	-1.83558e-05	 1.87700e-04	-2.79189e-05	 1.63595e-04	 2.53269e-05	 1.51151e-04	 1.62448e-04	 1.56558e-04	 3.21598e-04	 1.23002e-04	 3.91331e-04	 6.14444e-06	 3.08356e-04	-1.05152e-04	 2.02586e-04	-2.98216e-06	 1.82144e-04	 2.83122e-04	 1.90471e-04	 4.79255e-04	-2.44162e-04	 2.13908e-04	 9.00112e-06	 2.94058e-03	 6.09573e-03	 8.41192e-03	 8.77891e-03
