    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 3.33333e-09	 1.57077e-01	 3.14156e-01	 4.71250e-01	 6.28321e-01	 7.85398e-01	 9.42475e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35619e+00	 2.51327e+00	 2.67034e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39823e+00	 4.55531e+00	 4.71239e+00	 4.86947e+00	 5.02654e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65486e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  2	1.000007e-01	 9.91362e-05	 9.77062e-05	 9.10282e-05	 7.97953e-05	 6.28636e-05	 4.35663e-05	 2.80942e-05	 1.41655e-05	 4.92709e-06	-1.96607e-06	-4.94866e-06	-6.75417e-06	-5.95252e-06	-5.30732e-06	-3.17943e-06	-2.06962e-06	-6.91798e-08	 5.60511e-07	 1.91802e-06	 1.86809e-06	 2.56888e-06	 1.86781e-06	 1.91946e-06	 5.62315e-07	-6.57601e-08	-2.06975e-06	-3.17580e-06	-5.29873e-06	-5.94638e-06	-6.74746e-06	-4.94580e-06	-1.96855e-06	 4.92432e-06	 1.41559e-05	 2.80754e-05	 4.35387e-05	 6.28295e-05	 7.97579e-05	 9.09954e-05	 9.76846e-05
UR 0	1.000007e-01	 1.69645e-04	 4.11668e-05	-5.70438e-05	-1.47841e-04	-2.02303e-04	-1.70464e-04	-1.43121e-04	-1.13402e-04	-8.46843e-05	-6.28701e-05	-4.87940e-05	-3.92706e-05	-3.14919e-05	-2.86501e-05	-2.05371e-05	-1.91599e-05	-8.81197e-06	-8.36340e-06	 2.01272e-06	-6.26726e-07	 6.52101e-06	-6.31719e-07	 2.00311e-06	-8.37632e-06	-8.82658e-06	-1.91760e-05	-2.05521e-05	-2.86592e-05	-3.14909e-05	-3.92498e-05	-4.87422e-05	-6.27731e-05	-8.45169e-05	-1.13146e-04	-1.42747e-04	-1.69954e-04	-2.01644e-04	-1.47017e-04	-5.60173e-05	 4.23944e-05
UR 1	1.000007e-01	-2.41314e-07	 8.76469e-05	 1.83070e-04	 2.60208e-04	 3.51732e-04	 3.57855e-04	 3.35271e-04	 3.23423e-04	 2.88647e-04	 2.62845e-04	 2.22830e-04	 1.93300e-04	 1.52032e-04	 1.23951e-04	 8.82084e-05	 6.65054e-05	 4.12181e-05	 2.80661e-05	 1.39827e-05	 7.02499e-06	 4.50129e-09	-7.01491e-06	-1.39696e-05	-2.80502e-05	-4.11999e-05	-6.64866e-05	-8.81887e-05	-1.23937e-04	-1.52027e-04	-1.93313e-04	-2.22866e-04	-2.62914e-04	-2.88754e-04	-3.23578e-04	-3.35480e-04	-3.58122e-04	-3.52068e-04	-2.60614e-04	-1.83574e-04	-8.82129e-05
UR 2	1.000007e-01	-3.98904e-07	-6.30594e-03	-6.89501e-03	-4.31872e-03	-1.25406e-03	 5.20399e-04	 1.02313e-03	 9.54688e-04	 7.54479e-04	 6.08301e-04	 5.19770e-04	 4.65106e-04	 4.18412e-04	 3.69575e-04	 3.19345e-04	 2.65676e-04	 2.12724e-04	 1.59100e-04	 1.06098e-04	 5.27606e-05	-2.61636e-08	-5.28186e-05	-1.06153e-04	-1.59157e-04	-2.12781e-04	-2.65727e-04	-3.19405e-04	-3.69638e-04	-4.18465e-04	-4.65161e-04	-5.19828e-04	-6.08366e-04	-7.54553e-04	-9.54744e-04	-1.02317e-03	-5.20325e-04	 1.25429e-03	 4.31901e-03	 6.89506e-03	 6.30549e-03
U  0	2.000015e-01	 0.00000e+00	 1.86587e-05	 1.50417e-04	 3.41524e-04	 4.73333e-04	 4.88732e-04	 4.23274e-04	 3.33548e-04	 2.50462e-04	 1.81987e-04	 1.25581e-04	 7.83008e-05	 3.91819e-05	 8.35852e-06	-1.36289e-05	-2.70470e-05	-3.23692e-05	-3.07976e-05	-2.37157e-05	-1.28290e-05	-6.65941e-09	 1.28157e-05	 2.37028e-05	 3.07859e-05	 3.23583e-05	 2.70373e-05	 1.36212e-05	-8.36485e-06	-3.91855e-05	-7.83029e-05	-1.25581e-04	-1.81986e-04	-2.50455e-04	-3.33541e-04	-4.23271e-04	-4.88724e-04	-4.73331e-04	-3.41533e-04	-1.50419e-04	-1.86594e-05
U  1	2.000015e-01	 1.99953e-03	 1.66119e-03	 1.04062e-03	 5.30552e-04	 2.82315e-04	 2.40704e-04	 2.78300e-04	 3.17777e-04	 3.38123e-04	 3.41188e-04	 3.32523e-04	 3.15679e-04	 2.92816e-04	 2.65873e-04	 2.37059e-04	 2.08394e-04	 1.82041e-04	 1.59582e-04	 1.42524e-04	 1.31880e-04	 1.28244e-04	 1.31878e-04	 1.42519e-04	 1.59574e-04	 1.82032e-04	 2.08384e-04	 2.37049e-04	 2.65861e-04	 2.92804e-04	 3.15664e-04	 3.32510e-04	 3.41173e-04	 3.38110e-04	 3.17765e-04	 2.78288e-04	 2.40692e-04	 2.82294e-04	 5.30522e-04	 1.04059e-03	 1.66119e-03
U  2	2.000015e-01	-4.32804e-05	-4.14146e-05	-3.86046e-05	-3.49474e-05	-3.28110e-05	-3.01463e-05	-2.15287e-05	-1.58043e-05	-8.15542e-06	-3.88925e-06	 1.14129e-06	 2.57792e-06	 4.99164e-06	 4.16512e-06	 4.84496e-06	 2.83591e-06	 2.87106e-06	 5.14221e-07	 6.71338e-07	-1.06361e-06	-1.60042e-07	-1.06615e-06	 6.69053e-07	 4.97632e-07	 2.87509e-06	 2.79100e-06	 4.82125e-06	 4.15290e-06	 4.96785e-06	 2.55201e-06	 1.12652e-06	-3.88261e-06	-8.11765e-06	-1.57320e-05	-2.14031e-05	-3.00177e-05	-3.26344e-05	-3.48022e-05	-3.84668e-05	-4.13433e-05
UR 0	2.000015e-01	 9.71593e-04	 7.84522e-04	 6.13797e-04	 4.54333e-04	 3.27109e-04	 3.09850e-04	 2.41344e-04	 1.80811e-04	 1.34818e-04	 9.75461e-05	 6.83486e-05	 4.77780e-05	 3.58885e-05	 2.05911e-05	 1.93639e-05	 5.20055e-06	 1.06992e-05	-2.93044e-06	 7.12064e-06	-6.04828e-06	 6.31233e-06	-6.04690e-06	 7.12119e-06	-2.92954e-06	 1.07004e-05	 5.18851e-06	 1.93338e-05	 2.05375e-05	 3.57902e-05	 4.76069e-05	 6.80652e-05	 9.70943e-05	 1.34140e-04	 1.79837e-04	 2.40026e-04	 3.08147e-04	 3.24983e-04	 4.51895e-04	 6.11708e-04	 7.81379e-04
UR 1	2.000015e-01	 1.00976e-06	 6.00708e-05	 1.22837e-04	 1.53424e-04	 1.95891e-04	 1.27924e-04	 6.14821e-05	 4.40501e-05	-2.88095e-06	-1.49712e-05	-4.42739e-05	-4.17865e-05	-5.80813e-05	-4.56162e-05	-5.26297e-05	-3.71979e-05	-3.84615e-05	-2.40327e-05	-2.03593e-05	-8.36248e-06	-3.28678e-08	 8.29404e-06	 2.02805e-05	 2.39384e-05	 3.83413e-05	 3.70642e-05	 5.24847e-05	 4.54646e-05	 5.79411e-05	 4.16799e-05	 4.42361e-05	 1.50325e-05	 3.07207e-06	-4.36958e-05	-6.09424e-05	-1.27152e-04	-1.94821e-04	-1.52026e-04	-1.21448e-04	-5.79707e-05
UR 2	2.000015e-01	 9.30149e-08	-1.17732e-02	-1.33564e-02	-8.97329e-03	-3.14558e-03	 6.99446e-04	 2.00573e-03	 1.97808e-03	 1.60547e-03	 1.28746e-03	 1.09544e-03	 9.72565e-04	 8.73091e-04	 7.72105e-04	 6.66069e-04	 5.56148e-04	 4.43976e-04	 3.33385e-04	 2.21459e-04	 1.10598e-04	 2.01381e-08	-1.10553e-04	-2.21414e-04	-3.33341e-04	-4.43935e-04	-5.56095e-04	-6.66029e-04	-7.72058e-04	-8.73040e-04	-9.72530e-04	-1.09537e-03	-1.28742e-03	-1.60542e-03	-1.97802e-03	-2.00575e-03	-6.99593e-04	 3.14535e-03	 8.97329e-03	 1.33567e-02	 1.17735e-02
