(lb)	(in)
-28.39333209	-0.1578
-28.50645719	-0.1587
-28.58963543	-0.1603
-28.71939688	-0.1603
-28.80257725	-0.1609
-28.91902749	-0.1618
-29.07207985	-0.1628
-29.15193294	-0.1628
-29.2866814	-0.1637
-29.38483342	-0.1634
-29.46302324	-0.1642
-29.60110252	-0.1649
-29.70757307	-0.1659
-29.79740585	-0.1664
-29.91718478	-0.1669
-30.0536022	-0.1678
-30.17338043	-0.1685
-30.25822478	-0.1691
-30.39796521	-0.1701
-30.47781689	-0.1704
-30.58428744	-0.1708
-30.7356751	-0.1724
-30.87541553	-0.1733
-30.96025918	-0.1734
-31.05674934	-0.1738
-31.17652827	-0.1747
-31.29131523	-0.1741
-31.37283161	-0.1762
-31.53753048	-0.1766
-31.60740105	-0.1769
-31.72717998	-0.1778
-31.86422477	-0.1786
-32.00396947	-0.1791
-32.09712881	-0.1798
-32.23021611	-0.1808
-32.29675941	-0.1818
-32.41321107	-0.1823
-32.53299	-0.1833
-32.66940742	-0.1833
-32.76256676	-0.1838
-32.90563802	-0.1846
-32.98881696	-0.1856
-33.13188466	-0.1862
-33.2516636	-0.1863
-33.40804322	-0.1871
-33.45462432	-0.1882
-33.59103818	-0.1885
-33.72079822	-0.1891
-33.83392332	-0.1908
-33.93041348	-0.1906
-34.08678885	-0.1918
-34.18660628	-0.1923
-34.29307684	-0.1931
-34.4195096	-0.1938
-34.50934593	-0.1938
-34.62246748	-0.1941
-34.79548134	-0.1952
-34.8354093	-0.196
-35.01175043	-0.1973
-35.09825594	-0.1972
-35.21138104	-0.1977
-35.3378138	-0.1993
-35.394376	-0.1986
-35.46092001	-0.1995
-35.53412069	-0.1993
-35.55075563	-0.1995
-35.51415493	-0.2006
-35.51082837	-0.1989
-35.55740946	-0.1986
-35.53412069	-0.199
-35.52080947	-0.1993
-35.49419343	-0.1991
-35.47090395	-0.1997
-35.52413603	-0.1988
-35.48753889	-0.1997
-35.5840255	-0.1989
-35.55075563	-0.1997
-35.56406329	-0.1998
-35.49751999	-0.1998
-35.52413603	-0.1998
-35.55075563	-0.1995
-35.53412069	-0.1988
-35.56406329	-0.1989
-35.49419343	-0.199
-35.58069894	-0.1998
-35.53744796	-0.1999
-35.5075011	-0.1994
-35.51082837	-0.1998
-35.57071783	-0.1998
-35.50417382	-0.1989
-35.50084726	-0.1998
-35.48753889	-0.1991
-35.52413603	-0.1993
-35.55740946	-0.1998
-35.5075011	-0.199
-35.50084726	-0.1997
-35.5540829	-0.2001
-35.49086616	-0.1998
-35.56406329	-0.1998
-35.49751999	-0.199
-35.48753889	-0.2003
-35.55075563	-0.1986
-35.53079342	-0.1993
-35.49751999	-0.1991
-35.54410179	-0.1995
-35.51415493	-0.1997
-35.54410179	-0.1998
-35.50084726	-0.1994
-35.51415493	-0.1996
-35.5174822	-0.1988
-35.48421233	-0.1993
-35.48753889	-0.1995
-35.46092001	-0.1998
-35.48753889	-0.1991
-35.55740946	-0.1988
-35.58069894	-0.1998
-35.53079342	-0.1996
-35.53744796	-0.1998
-35.57071783	-0.199
-35.52746686	-0.1995
-35.47423122	-0.199
-35.5540829	-0.1998
-35.5075011	-0.1994
-35.52080947	-0.1993
-35.52746686	-0.2003
-35.52413603	-0.1989
-35.53412069	-0.1996
-35.53744796	-0.1989
-35.5174822	-0.199
-35.55075563	-0.1993
-35.53744796	-0.1998
-35.42099559	-0.1995
-35.21803487	-0.1983
-35.0716399	-0.1968
-34.98180428	-0.1961
-34.79548134	-0.1949
-34.71895693	-0.1946
-34.59252417	-0.1946
-34.46941868	-0.1933
-34.34631247	-0.1925
-34.19658668	-0.1916
-34.1533357	-0.1918
-34.04686514	-0.1906
-33.95702952	-0.19
-33.78401496	-0.1893
-33.68087451	-0.1893
-33.56774941	-0.1881
-33.50453268	-0.1871
-33.29159085	-0.1863
-33.1951014	-0.1856
-33.09528752	-0.1856
-32.96552748	-0.1856
-32.87569186	-0.1833
-32.71931579	-0.1836
-32.63280673	-0.1828
-32.46977398	-0.1811
-32.34999504	-0.1809
-32.27014337	-0.1799
-32.17365321	-0.1798
-31.98733098	-0.1788
-31.95738767	-0.1784
-31.83760873	-0.1784
-31.72115707	-0.1771
-31.57143199	-0.1766
-31.47827265	-0.1756
-31.34851261	-0.176
-31.21542175	-0.1741
-31.11228131	-0.1736
-30.94592129	-0.1728
-30.79952276	-0.1724
-30.69638232	-0.1709
-30.54665723	-0.1709
-30.43020486	-0.1697
-30.32706087	-0.1698
-30.21393932	-0.1684
-30.10746876	-0.168
-30.04425202	-0.1672
-29.91781926	-0.1661
-29.77142074	-0.1657
-29.67160756	-0.1651
-29.53519014	-0.1649
-29.48195451	-0.1638
-29.3189246	-0.1633
-29.24905048	-0.1628
-29.11263661	-0.1615
-28.97955001	-0.1609
-28.88306198	-0.1611
-28.76660961	-0.1596
-28.70339358	-0.1598
-28.59692232	-0.1579
-28.41725392	-0.1578
-28.32741972	-0.1573
-28.20764079	-0.1565
-28.16771495	-0.1552
-28.0046822	-0.1552
-27.93481163	-0.1547
-27.79839563	-0.1532
-27.7019076	-0.1538
-27.5455301	-0.1531
-27.48896719	-0.151
-27.34922463	-0.1512
-27.15624857	-0.1502
-27.0730682	-0.1502
-27.09968567	-0.1498
-26.93998161	-0.1487
-26.80689288	-0.1484
-26.68711395	-0.1473
-26.57066158	-0.1454
-26.51409938	-0.1456
-26.36770299	-0.1452
-26.22796185	-0.1448
-26.03498365	-0.1438
-25.87195232	-0.1419
-25.77546358	-0.1421
-25.72888249	-0.1414
