Load	Displacement
(lb)	(in)
-1.582463257	0
-1.588285094	-0.001
-1.593276356	-0.001
-1.589117089	-0.0008
-1.571649447	-0.0012
-1.557509076	-0.001
-1.574144723	-0.0003
-1.589949085	-0.0009
-1.596603628	-0.0004
-1.591612365	-0.0012
-1.584126537	-0.0012
-1.576639999	-0.0002
-1.581631261	-0.0012
-1.589117089	-0.0015
-1.588285094	-0.0003
-1.581631261	-0.0005
-1.571649447	-0.0008
-1.647343275	-0.0015
-1.734682198	-0.0017
-1.824515686	-0.0022
-1.948453885	-0.0033
-2.053260451	-0.0044
-2.145590636	-0.0045
-2.267864134	-0.0059
-2.365184871	-0.0062
-2.49993617	-0.0063
-2.553171093	-0.0075
-2.680436563	-0.0079
-2.809365314	-0.0096
-2.91417188	-0.0097
-3.004006079	-0.0101
-3.084690459	-0.0112
-3.208627947	-0.011
-3.301789418	-0.0125
-3.413250526	-0.0129
-3.505580001	-0.0129
-3.619536386	-0.0147
-3.740147313	-0.0152
-3.84661787	-0.015
-3.933124797	-0.0163
-4.03127682	-0.0165
-4.131924118	-0.0175
-4.235067403	-0.0185
-4.328228874	-0.0194
-4.418063073	-0.0194
-4.560300199	-0.0207
-4.626844208	-0.0204
-4.753277683	-0.0213
-4.860579525	-0.0227
-4.987844285	-0.0223
-5.059379556	-0.0236
-5.160026855	-0.0246
-5.260674153	-0.0239
-5.347181791	-0.0259
-5.490250913	-0.0262
-5.555130931	-0.0272
-5.669087316	-0.0267
-5.780548424	-0.0281
-5.891177537	-0.0289
-5.971861917	-0.0298
-6.086650297	-0.029
-6.179811057	-0.0312
-6.306244532	-0.0315
-6.40356527	-0.0323
-6.519185645	-0.0332
-6.637300586	-0.0341
-6.724639509	-0.0342
-6.827782084	-0.0352
-6.883512283	-0.0354
-7.042386477	-0.0362
-7.108929776	-0.0372
-7.218727604	-0.0372
-7.339338531	-0.0382
-7.423349472	-0.0392
-7.532315305	-0.0394
-7.628804047	-0.0406
-7.715310974	-0.0411
-7.835921902	-0.0413
-7.946550304	-0.0425
-8.038049205	-0.0429
-8.118732874	-0.0433
-8.232689259	-0.0441
-8.360786014	-0.0442
