Load	Displacement
(lb)	(in)
-23.49404098	-0.1183
-23.63045484	-0.1183
-23.7369254	-0.1192
-23.8500505	-0.1198
-24.00809128	-0.1209
-24.11456255	-0.1215
-24.21604113	-0.122
-24.35411899	-0.1228
-24.46890737	-0.1239
-24.58203176	-0.124
-24.68850302	-0.1247
-24.81659907	-0.1251
-24.93804199	-0.1264
-25.04617583	-0.1266
-25.1726093	-0.1276
-25.30236934	-0.1279
-25.40052278	-0.1287
-25.52362828	-0.1292
-25.64174393	-0.13
-25.74654978	-0.1312
-25.88296507	-0.1315
-26.00108072	-0.1322
-26.08925093	-0.1326
-26.23231934	-0.1334
-26.34378045	-0.134
-26.48851357	-0.1346
-26.57169393	-0.1358
-26.6981267	-0.1357
-26.82289618	-0.1365
-26.93768456	-0.1372
-27.06079076	-0.1381
-27.22881478	-0.1388
-27.32530281	-0.1394
-27.45506285	-0.1402
-27.50996176	-0.1408
-27.66467598	-0.1415
-27.76781997	-0.142
-27.88260835	-0.1427
-28.02733933	-0.1433
-28.12050222	-0.1443
-28.25192554	-0.1445
-28.36172408	-0.1455
-28.48316629	-0.146
-28.57965432	-0.1466
-28.70442381	-0.1473
-28.85414747	-0.1479
-28.95230092	-0.1484
-29.04712567	-0.1496
-29.17854898	-0.1505
-29.32161668	-0.1505
-29.41311487	-0.1512
-29.49629666	-0.1516
-29.67762692	-0.1526
-29.80405968	-0.1533
-29.87892223	-0.1545
-30.01200882	-0.1549
-30.23992444	-0.156
-30.37134917	-0.157
-30.42291939	-0.1574
-30.60258779	-0.158
-30.71238562	-0.1586
-30.83216455	-0.1595
-30.93697041	-0.1602
-31.05009551	-0.1611
-31.16322061	-0.1613
-31.28798796	-0.1621
-31.42773265	-0.1628
-31.54917344	-0.163
-31.65897127	-0.1644
-31.72551457	-0.1645
-31.8974982	-0.1655
-32.00396947	-0.1661
-32.10378264	-0.1666
-32.28012447	-0.1676
-32.4464845	-0.168
-32.52966344	-0.1687
-32.56293687	-0.1694
-32.70933184	-0.1697
-32.82911077	-0.1705
-32.97218203	-0.1713
-33.06201409	-0.1721
-33.20175879	-0.1728
-33.2982454	-0.1736
-33.45129775	-0.1741
-33.51784105	-0.1753
-33.71414439	-0.1754
-33.78068769	-0.1756
-33.89381279	-0.1771
-33.95037498	-0.1771
-34.10342734	-0.1782
-34.22320627	-0.1785
-34.33633137	-0.1796
-34.45943757	-0.1802
-34.56590458	-0.1803
-34.75223036	-0.1811
-34.81877437	-0.1822
-34.97514973	-0.1826
-35.081621	-0.1834
-35.2513083	-0.1842
-35.42432286	-0.185
-35.55740946	-0.1856
-35.68716949	-0.1866
-35.77700511	-0.1874
-35.89678405	-0.1885
-36.00658258	-0.1888
-36.12636152	-0.1895
-36.23282852	-0.1902
-36.38920815	-0.1904
-36.49900598	-0.1914
-36.57220311	-0.1922
-36.85168894	-0.1936
-36.92821334	-0.1938
-37.0812657	-0.1946
-37.16777121	-0.1953
-37.30751164	-0.1963
-37.4040018	-0.1967
-37.55039677	-0.1974
-37.630252	-0.198
-37.78662736	-0.1986
-37.9064063	-0.2001
-37.95631537	-0.2001
-37.96629576	-0.1995
-37.97628042	-0.1996
-37.96629576	-0.1996
-37.94633427	-0.1993
-37.93635316	-0.1998
-37.92637206	-0.1998
-37.98958879	-0.1996
-37.96629576	-0.1998
-37.97960769	-0.1995
-37.94633427	-0.1992
-37.93635316	-0.1996
-37.93967972	-0.1999
-37.93302589	-0.1995
-37.91971822	-0.1994
-37.97960769	-0.1998
-37.93635316	-0.1994
-37.99291536	-0.1996
-37.9629692	-0.2001
-37.92969933	-0.1997
-37.93302589	-0.1996
-37.93302589	-0.1993
-37.97295031	-0.1994
-37.98626152	-0.1996
