Load	Displacement
(lb)	(in)
-73.7419694	-0.1522
-73.76858544	-0.1529
-73.84843996	-0.1532
-73.82182392	-0.1517
-73.80186242	-0.1523
-73.875056	-0.1528
-73.90167914	-0.1502
-73.82182392	-0.1509
-73.80851625	-0.1514
-73.86840216	-0.1533
-73.84843996	-0.1507
-73.84178612	-0.1522
-73.90167914	-0.153
-73.81517008	-0.1514
-73.95491122	-0.1529
-73.90833297	-0.1504
-73.73531557	-0.1522
-73.86174833	-0.1493
-73.875056	-0.1527
-73.84843996	-0.1508
-73.80851625	-0.1512
-73.80851625	-0.1527
-73.79520859	-0.1508
-73.75527706	-0.1522
-73.84843996	-0.1519
-73.84843996	-0.1527
-73.76858544	-0.1527
-73.78855404	-0.1504
-73.84843996	-0.1493
-73.80186242	-0.1515
-73.79520859	-0.1532
-73.875056	-0.1513
-73.82847846	-0.1514
-73.84178612	-0.1498
-73.82182392	-0.1532
-73.78190021	-0.15
-73.64215268	-0.1528
-73.75527706	-0.1522
-73.70204498	-0.1502
-73.65546745	-0.1519
-73.7419694	-0.1499
-73.76858544	-0.1502
-73.84843996	-0.1502
-73.70204498	-0.1512
-73.78855404	-0.1488
-73.64215268	-0.1503
-73.71535336	-0.1519
-73.64215268	-0.15
-73.7419694	-0.1527
-73.64215268	-0.1519
-73.75527706	-0.1527
-73.71535336	-0.1504
-73.84843996	-0.1515
-73.72200719	-0.1498
-73.70204498	-0.1508
-73.77524638	-0.1507
-73.84178612	-0.1507
-73.69539115	-0.1499
-73.82182392	-0.1522
-73.82182392	-0.1504
-73.72866102	-0.1495
-73.70869953	-0.1517
-73.82182392	-0.1498
-73.78190021	-0.1509
-73.79520859	-0.1517
-73.84178612	-0.1518
-73.71535336	-0.151
-73.88171054	-0.1523
-73.78855404	-0.1532
-73.79520859	-0.1505
-73.79520859	-0.1514
-73.78190021	-0.1499
-73.79520859	-0.149
-73.84178612	-0.1532
-73.7419694	-0.1505
-73.69539115	-0.1507
-73.7419694	-0.1507
-73.74862323	-0.1504
-73.63549813	-0.1493
-73.69539115	-0.1508
-73.7419694	-0.1512
-73.79520859	-0.1507
-73.73531557	-0.1509
-73.86174833	-0.1493
-73.69539115	-0.1519
-73.74862323	-0.1522
-73.66877511	-0.1498
-73.79520859	-0.1504
-73.78190021	-0.1509
-73.79520859	-0.1514
-73.82182392	-0.1525
-73.76193161	-0.1524
-73.73531557	-0.1505
-73.80851625	-0.1517
-73.72200719	-0.1509
-73.81517008	-0.1513
-73.66212128	-0.1503
-73.81517008	-0.1528
-73.72200719	-0.1493
-73.74862323	-0.1519
-73.78855404	-0.1512
-73.74862323	-0.1527
-73.75527706	-0.1512
-73.78855404	-0.1507
-73.81517008	-0.1537
-73.74862323	-0.1533
-73.66877511	-0.1517
-73.77524638	-0.1498
-73.75527706	-0.1532
-73.84178612	-0.1515
-73.80851625	-0.1512
-73.80851625	-0.1517
-73.67542965	-0.1498
-73.78190021	-0.1493
-73.76193161	-0.1512
-73.76858544	-0.1514
-73.82847846	-0.1497
-73.76858544	-0.1505
-73.74862323	-0.1507
-73.77524638	-0.1533
-73.84843996	-0.1498
-73.75527706	-0.1529
-73.71535336	-0.1522
-73.78190021	-0.1498
-73.65546745	-0.1527
-73.84178612	-0.1505
-73.72866102	-0.1499
-73.82847846	-0.1495
-73.74862323	-0.153
-73.78855404	-0.1508
-73.75527706	-0.1515
-73.71535336	-0.1532
-73.79520859	-0.1513
-73.72866102	-0.1515
-73.75527706	-0.153
-73.72866102	-0.152
-73.67542965	-0.1519
-73.66877511	-0.1524
-73.66877511	-0.1529
-73.72866102	-0.1507
-73.67542965	-0.1513
-73.64215268	-0.1505
-73.70869953	-0.1517
-73.68873732	-0.1508
-73.73531557	-0.151
-73.63549813	-0.1508
-73.7419694	-0.1513
-73.67542965	-0.1525
-73.73531557	-0.1503
-73.74862323	-0.15
-73.6288443	-0.1514
-73.65546745	-0.1509
-73.71535336	-0.1527
-73.82182392	-0.1509
-73.78190021	-0.1519
-73.69539115	-0.1507
-73.72866102	-0.1509
-73.71535336	-0.1527
-73.88171054	-0.1508
-73.80186242	-0.1523
-73.76858544	-0.1527
-73.74862323	-0.1513
-73.76858544	-0.1508
-73.70204498	-0.1505
-73.79520859	-0.1518
-73.74862323	-0.1498
-73.77524638	-0.1498
-73.66877511	-0.1527
-73.74862323	-0.1518
-73.66877511	-0.1509
-73.71535336	-0.152
-73.78855404	-0.1505
-73.75527706	-0.1527
-73.78190021	-0.1503
-73.7419694	-0.1502
-73.76858544	-0.1522
-73.74862323	-0.1517
-73.79520859	-0.1503
-73.79520859	-0.1512
-73.66877511	-0.1513
-73.70204498	-0.151
-73.73531557	-0.1505
-73.79520859	-0.1517
-73.84843996	-0.15
-73.76858544	-0.1519
-73.72200719	-0.1517
-73.74862323	-0.1517
-73.66877511	-0.1515
-73.7419694	-0.1509
-73.81517008	-0.1502
-73.7419694	-0.1503
-73.72866102	-0.1507
-73.7419694	-0.1517
-73.76858544	-0.1517
-73.73531557	-0.1495
-73.80186242	-0.1507
-73.79520859	-0.1523
-73.7419694	-0.1507
-73.7419694	-0.1495
-73.73531557	-0.151
-73.79520859	-0.1517
-73.74862323	-0.1523
-73.79520859	-0.1508
-73.70869953	-0.1505
-73.74862323	-0.1507
-73.66877511	-0.1508
-73.69539115	-0.1527
-73.75527706	-0.1502
-73.80186242	-0.1497
-73.79520859	-0.1498
-73.64215268	-0.1527
-73.77524638	-0.1532
-73.78855404	-0.1533
-73.76193161	-0.1513
-73.76858544	-0.1509
-73.66212128	-0.1498
-73.72866102	-0.1495
-73.76858544	-0.1515
-73.67542965	-0.1502
-73.64880651	-0.1517
-73.61553663	-0.1509
-73.82182392	-0.1522
-73.69539115	-0.1498
-73.7419694	-0.1497
-73.71535336	-0.1545
-73.75527706	-0.1498
-73.7419694	-0.1488
-73.69539115	-0.1512
-73.76858544	-0.1523
-73.64880651	-0.1523
-73.59557443	-0.1502
-73.72200719	-0.1527
-73.76193161	-0.1498
-73.71535336	-0.1498
-73.58892059	-0.1522
-73.70204498	-0.1498
-73.68873732	-0.1519
-73.7419694	-0.1507
-73.72200719	-0.1515
-73.64880651	-0.15
-73.68208349	-0.1499
-73.875056	-0.1498
-73.70869953	-0.1502
-73.71535336	-0.15
-73.8550945	-0.1522
-73.76193161	-0.15
-73.75527706	-0.1522
-73.66212128	-0.149
-73.76858544	-0.1513
-73.79520859	-0.1499
-73.71535336	-0.1495
-73.79520859	-0.1503
-73.68873732	-0.1517
-73.7419694	-0.1518
-73.64215268	-0.1515
-73.7419694	-0.1509
-73.72866102	-0.1517
-73.65546745	-0.1523
-73.63549813	-0.1498
-73.78190021	-0.1533
-73.64215268	-0.1498
-73.72200719	-0.1499
-73.76858544	-0.1508
