(lb)	(in)
-1.646511279	0
-1.653165822	1E-04
-1.634866184	-0.0003
-1.653165822	0.0007
-1.607416727	-0.0003
-1.693923655	-0.0005
-1.702242189	0.0014
-1.680614569	0.0006
-1.621557098	0
-1.686437827	0.0014
-1.634034189	0.0005
-1.649838551	0.0002
-1.667306193	0.0003
-1.673128741	0.0021
-1.662315641	0.0011
-1.653165822	0.0006
-1.678120003	0.0002
-1.679783284	0
-1.631538913	0.0014
-1.652333827	0
-1.759635668	0.0007
-1.919341148	-0.0004
-2.057419718	-0.0007
-2.182189202	-0.0022
-2.319435776	-0.0017
-2.504095437	-0.004
-2.624705654	-0.0054
-2.756961676	-0.0053
-2.924152984	-0.006
-3.089681011	-0.0059
-3.219441757	-0.0059
-3.332566146	-0.0064
-3.495598897	-0.008
-3.655303666	-0.0085
-3.737652037	-0.0092
-3.904011349	-0.0097
-4.072034652	-0.0108
-4.223422308	-0.0108
-4.378968521	-0.0107
-4.48127981	-0.0119
-4.675088579	-0.0127
-4.864738792	-0.0162
-5.004480642	-0.015
-5.105959936	-0.0157
-5.260674153	-0.0153
-5.407902542	-0.0185
-5.487755637	-0.0178
-5.649124397	-0.0185
-5.845428442	-0.0204
-5.950235008	-0.0192
-6.129903406	-0.0214
-6.2654867	-0.0197
-6.444323813	-0.0225
-6.625655491	-0.0225
-6.732125337	-0.024
-6.956710835	-0.023
-6.984992287	-0.0249
-7.121406866	-0.025
-7.384255631	-0.0237
-7.489062196	-0.0265
-7.697843332	-0.0278
-7.926587386	-0.0272
-8.096273969	-0.0295
-8.181949612	-0.03
-8.331673277	-0.0305
-8.588698783	-0.0313
-8.606166426	-0.0325
-8.789994091	-0.0319
-8.98380357	-0.0324
-9.052842145	-0.0335
-9.230846552	-0.0334
-9.353953466	-0.0353
-9.492032036	-0.0343
-9.648409533	-0.0359
-9.863013927	-0.0365
-9.961165949	-0.0385
-10.17077908	-0.0385
-10.40867295	-0.0403
-10.45026349	-0.0393
-10.6515588	-0.0397
-10.73224318	-0.0424
-10.90026577	-0.0392
-11.07411233	-0.0425
-11.24879018	-0.0444
-11.47337568	-0.0437
-11.64472554	-0.0437
-11.77781356	-0.0462
-11.91422814	-0.0465
-12.07143834	-0.0468
-12.30018239	-0.0488
-12.4457475	-0.0482
-12.70693157	-0.0488
-12.95064799	-0.0499
-12.87578615	-0.0497
-13.13114909	-0.052
-13.22514256	-0.0513
-13.44224081	-0.0533
-13.55203934	-0.0532
-13.78910193	-0.0538
-13.95712452	-0.0546
-14.03198636	-0.0563
-14.22496384	-0.0571
-14.29982567	-0.0576
-14.45370789	-0.0569
-14.6558352	-0.0589
-14.76230433	-0.0588
-14.95944251	-0.0597
-15.04511673	-0.0611
-15.20232693	-0.0608
-15.35537787	-0.0634
-15.50510153	-0.0626
-15.65731905	-0.0626
-15.8785787	-0.0643
-16.03447448	-0.0641
-16.16922435	-0.0656
-16.22245999	-0.0652
-16.40046511	-0.0662
-16.60508768	-0.0676
-16.66830371	-0.0696
-16.85961863	-0.0681
-16.9161794	-0.0682
-17.14908343	-0.0687
-17.29048927	-0.0706
-17.45352131	-0.0698
-17.56165515	-0.0702
-17.75296793	-0.0731
-17.9725643	-0.0743
-18.16720364	-0.0734
-18.28864657	-0.0753
-18.51156949	-0.0776
-18.54983134	-0.0777
-18.79105248	-0.0761
-18.8792234	-0.0786
-19.06887432	-0.0786
-19.25686055	-0.0801
-19.2718322	-0.0808
-19.50639951	-0.0813
-19.69272174	-0.0806
-19.79586574	-0.0818
-19.9888418	-0.0818
-20.09531307	-0.0812
-20.28329858	-0.0827
-20.4047415	-0.0839
-20.69919828	-0.0854
-20.89217648	-0.0863
-21.02027252	-0.0883
-21.16666892	-0.0868
-21.24485731	-0.0893
-21.42618899	-0.0892
-21.54929661	-0.0896
-21.72230905	-0.0901
-21.9302589	-0.0917
-22.00013089	-0.0926
-22.14320072	-0.0916
-22.37776661	-0.0941
-22.51251862	-0.0928
-22.7038314	-0.0946
-22.82693761	-0.0952
-22.90512742	-0.0954
-23.12305766	-0.0947
-23.1530024	-0.0966
-23.43082424	-0.0977
-23.50402137	-0.0974
-23.66705483	-0.0984
-23.81511379	-0.0988
-23.83175015	-0.1006
-24.0829524	-0.1026
-24.26761348	-0.1007
-24.38739241	-0.1026
-24.67352995	-0.1051
-24.72343831	-0.1024
-24.8931256	-0.1046
-25.02787619	-0.1046
-25.16761875	-0.1066
-25.30735918	-0.1076
-25.49202026	-0.1058
-25.6999694	-0.1082
-25.79812143	-0.1075
-25.88130179	-0.1085
-26.02436949	-0.1103
-26.21069386	-0.1106
-26.35875353	-0.1106
-26.45524227	-0.1112
-26.66319141	-0.1103
-26.73306198	-0.1146
-26.86448743	-0.1123
-27.07576384	-0.1146
-27.1922155	-0.1146
-27.31365842	-0.1155
-27.52992539	-0.1153
-27.62142287	-0.1166
-27.80275455	-0.1201
-27.96412331	-0.1178
-28.07059386	-0.118
-28.25525281	-0.1206
-28.32845208	-0.1208
-28.57632705	-0.123
-28.66616125	-0.1212
-28.85747474	-0.1236
-28.99888059	-0.1235
-29.11200569	-0.1225
-29.20683044	-0.1238
-29.42642609	-0.1248
-29.58114031	-0.1263
-29.67596506	-0.1252
-29.87393381	-0.1282
-29.98539349	-0.1275
-30.14676154	-0.1292
-30.34140302	-0.1277
-30.58096088	-0.1311
-30.72735941	-0.1316
-30.94861692	-0.1325
-31.05508393	-0.1336
-31.14658567	-0.1336
-31.34954284	-0.1343
-31.49427595	-0.1346
-31.7022258	-0.1342
-31.81368549	-0.1352
-31.85424438	-0.1357
-32.05054771	-0.1366
-32.09380224	-0.1352
-32.39657614	-0.136
-32.55295576	-0.1396
-32.636134	-0.1398
-32.76589404	-0.1396
-32.94223516	-0.1396
-33.08863369	-0.1423
-33.28826429	-0.1426
-33.40804322	-0.1446
-33.45795159	-0.1453
-33.69085562	-0.1433
-33.79732617	-0.1455
-33.92043238	-0.1458
-34.11008188	-0.1466
-34.31303905	-0.1463
-34.4195096	-0.1472
-34.50268855	-0.1477
-34.72561148	-0.1476
-34.83208203	-0.1506
-34.92524137	-0.1487
-35.1182217	-0.1506
-35.31785159	-0.152
-35.35112502	-0.1546
-35.56073673	-0.1512
-35.67053456	-0.1555
-35.85685679	-0.156
-36.03652519	-0.1542
-36.17626633	-0.1547
-36.29937537	-0.1566
-36.53560312	-0.1573
-36.64207368	-0.1586
-36.75187151	-0.1596
-36.92155951	-0.1583
-37.04133844	-0.1606
-37.14115517	-0.1588
-37.31749629	-0.1602
-37.52045417	-0.1597
-37.66352187	-0.1615
-37.82655533	-0.1629
-37.87979026	-0.1656
-38.0295125	-0.1641
-38.21251101	-0.1661
-38.52193945	-0.1666
-38.65169948	-0.1666
-38.79476718	-0.1691
-38.89125735	-0.1696
-39.09421451	-0.1702
-39.2905214	-0.1691
-39.41030033	-0.1687
-39.47351707	-0.1699
-39.61991204	-0.1705
-39.79958044	-0.1707
-39.9825754	-0.1739
-40.23544164	-0.1747
-40.39514783	-0.1749
-40.56816239	-0.1747
-40.69792243	-0.1776
-40.86095589	-0.177
-40.95411523	-0.1781
-41.15707595	-0.1782
-41.32343597	-0.1777
-41.47648549	-0.1785
-41.62621057	-0.1796
-41.75929717	-0.1802
-41.85911461	-0.1821
-42.07205288	-0.1839
-42.2384129	-0.1826
-42.33823033	-0.1842
-42.48129803	-0.1856
-42.5312064	-0.1859
-42.78074536	-0.1837
-43.03693816	-0.1879
-43.21993383	-0.1875
-43.32307783	-0.1875
-43.49609168	-0.1881
-43.70903351	-0.19
-43.85875575	-0.1919
-43.98186125	-0.192
-44.04840525	-0.1926
-44.20145761	-0.1922
-44.32123654	-0.1931
-44.45432314	-0.1927
-44.64064537	-0.1944
-44.85026063	-0.1954
-44.96338573	-0.1965
-45.01329054	-0.1971
-45.21292399	-0.1976
-45.42918953	-0.1986
-45.5356608	-0.1975
-45.70534809	-0.1977
-45.81847248	-0.2006
-45.83178086	-0.2001
-45.88501649	-0.1985
-45.79850743	-0.1996
-45.82512703	-0.2015
-45.90830526	-0.1995
-45.91828992	-0.2002
-45.86172701	-0.2001
-45.82512703	-0.2006
-45.83843469	-0.2006
-45.86838156	-0.2006
-45.8949976	-0.2014
-45.77854523	-0.198
-45.8484158	-0.2001
-45.76523756	-0.1999
-45.82179975	-0.2009
-45.82179975	-0.1996
-45.80183755	-0.1995
-45.81514592	-0.2006
-45.80849209	-0.1991
-45.84176196	-0.1985
-45.83510813	-0.1989
-45.85506963	-0.2006
-45.87836195	-0.1991
-45.82179975	-0.2006
-45.83178086	-0.2006
-45.84176196	-0.2011
-45.88501649	-0.1995
-45.87170812	-0.1995
-45.83178086	-0.1991
-45.81514592	-0.1999
-45.86505428	-0.2001
-45.7918536	-0.1994
-45.80183755	-0.1992
-45.85506963	-0.1986
-45.82845359	-0.1987
-45.7918536	-0.1972
-45.80849209	-0.2006
-45.87170812	-0.1991
-45.70867466	-0.1985
-45.83843469	-0.2001
-45.82845359	-0.1991
-45.84176196	-0.1985
-45.85174307	-0.2005
-45.84176196	-0.199
-45.74860262	-0.1984
-45.80849209	-0.1987
-45.83510813	-0.2011
-45.83843469	-0.1987
-45.84508852	-0.1996
-45.86172701	-0.1985
-45.80183755	-0.1986
