Load	Displacement
(lb)	(in)
-28.40551433	-0.0689
-28.41883052	-0.069
-28.42549003	-0.0692
-28.37721369	-0.0692
-28.3788791	-0.0692
-28.38886731	-0.069
-28.42382675	-0.07
-28.37721369	-0.0692
-28.39552612	-0.0699
-28.3872019	-0.0693
-28.39552612	-0.0689
-28.38054238	-0.069
-28.42549003	-0.0691
-28.38886731	-0.0692
-28.39885481	-0.0694
-28.3872019	-0.0694
-28.4021835	-0.069
-28.0792307	-0.068
-27.76126987	-0.0672
-27.44830457	-0.066
-27.0870615	-0.0664
-26.71250153	-0.0645
-26.34626436	-0.0637
-26.08490623	-0.0634
-25.7736042	-0.0619
-25.41569196	-0.0615
-25.0794187	-0.0611
-24.72982997	-0.0599
-24.35527071	-0.0589
-23.97238652	-0.0577
-23.6760661	-0.0565
-23.32314796	-0.0565
-23.0617877	-0.0555
-22.70387474	-0.0554
-22.34929119	-0.0537
-22.07627944	-0.0533
-21.65011301	-0.0528
-21.33881099	-0.0515
-21.040828	-0.05
-20.67292754	-0.05
-20.35829683	-0.0488
-19.98207216	-0.0478
-19.62082838	-0.0473
-19.32284539	-0.0467
-18.98490886	-0.0455
-18.66361933	-0.0453
-18.29072478	-0.0441
-17.98275145	-0.0432
-17.54992764	-0.0423
-17.31353718	-0.0413
-16.97726535	-0.0405
-16.55442975	-0.0396
-16.30472239	-0.0388
-15.94681015	-0.0383
-15.6271839	-0.0373
-15.31754729	-0.0359
-14.88805218	-0.0353
-14.59506258	-0.0348
-14.27543847	-0.0339
-13.94749085	-0.0327
-13.6028948	-0.0327
-13.25996416	-0.031
-12.88706818	-0.0313
-12.57410217	-0.0305
-12.19121869	-0.0287
-11.78003529	-0.0282
-11.52033973	-0.0273
-11.16575618	-0.0262
-10.83281374	-0.0262
-10.55980128	-0.0248
-10.21687064	-0.0243
-9.861978728	-0.0233
-9.551510122	-0.0228
-9.211076889	-0.0213
-8.928907498	-0.0208
-8.537701225	-0.0199
-8.202261386	-0.0186
-7.867654253	-0.0181
-7.480608667	-0.0173
-7.137677316	-0.0171
-6.846353133	-0.0161
-6.487607473	-0.0153
-6.165485956	-0.0146
-5.814231808	-0.0134
-5.451324039	-0.0119
-5.127537821	-0.0117
-4.84953125	-0.0105
-4.485791485	-0.0095
-4.069613268	-0.0087
-3.755815259	-0.0085
-3.460328967	-0.007
-3.124889128	-0.0071
-2.753658562	-0.0053
-2.483975498	-0.0045
-2.115240918	-0.0043
-1.729028039	-0.0031
-1.482650796	-0.0025
-1.103096722	-0.0013
-0.801783619	-0.0002
-0.38810281	-0.0003
-0.116754334	0
