SI Load [lb]	SI Stroke [in]
-14.3093	-1.497
-17.7082	-1.498
-18.9974	-1.4978
-16.419	-1.4978
-16.5362	-1.4956
-16.6534	-1.4966
-15.0125	-1.497
-16.1846	-1.4983
-15.2469	-1.4983
-17.2394	-1.4983
-17.005	-1.4985
-16.7706	-1.4993
-17.9426	-1.499
-19.2318	-1.4991
-16.5362	-1.5
-19.1147	-1.4981
-17.591	-1.501
-17.1222	-1.4995
-18.0598	-1.4995
-17.9426	-1.4994
-14.6609	-1.5
-18.4114	-1.4991
-18.4114	-1.5005
-18.4114	-1.5014
-20.7555	-1.502
-18.0598	-1.4999
-19.3491	-1.5014
-17.005	-1.5025
-17.9426	-1.5015
-16.8878	-1.5025
-17.591	-1.502
-18.5286	-1.5025
-18.4114	-1.5019
-16.5362	-1.503
-17.2394	-1.5039
-18.0598	-1.502
-18.4114	-1.5021
-19.9351	-1.5026
-18.5286	-1.5038
-18.6458	-1.5049
-17.591	-1.5055
-18.5286	-1.503
-19.3491	-1.5031
-20.9899	-1.5046
-17.7082	-1.506
-19.4662	-1.5041
-18.6458	-1.506
-20.1695	-1.504
-17.4738	-1.5061
-21.4587	-1.506
-18.8803	-1.5063
-19.8179	-1.5059
-18.8803	-1.505
-17.4738	-1.5065
-19.9351	-1.5056
-19.7006	-1.5059
-18.6458	-1.507
-19.9351	-1.5051
-20.7555	-1.5076
-18.5286	-1.5073
-21.2243	-1.5063
-17.4738	-1.507
-20.9899	-1.5065
-22.1619	-1.5075
-20.5211	-1.508
-19.3491	-1.5073
-20.7555	-1.5061
-20.6383	-1.5071
-20.9899	-1.5078
-21.9275	-1.51
-20.4039	-1.5084
-20.6383	-1.5098
-19.9351	-1.5083
-19.9351	-1.5078
-20.8727	-1.5086
-20.5211	-1.51
-20.1695	-1.5096
-20.8727	-1.5085
-16.5362	-1.5093
-20.2867	-1.5093
-23.2167	-1.511
-20.7555	-1.5098
-23.0995	-1.5113
-21.3415	-1.5118
-20.2867	-1.5115
-20.4039	-1.5104
-21.1071	-1.511
-21.5759	-1.5125
-20.7555	-1.5115
-20.5211	-1.5115
-20.9899	-1.5123
-21.1071	-1.512
-20.2867	-1.5133
-22.5135	-1.5104
-21.5759	-1.5118
-21.2243	-1.5135
-24.506	-1.514
-22.1619	-1.512
-22.0447	-1.514
-21.6931	-1.514
-20.6383	-1.5135
-22.1619	-1.5153
-24.506	-1.5138
-21.2243	-1.5129
-25.3264	-1.515
-23.4512	-1.5145
-22.3963	-1.5129
-26.85	-1.5159
-24.506	-1.5148
-22.3963	-1.5155
-22.8652	-1.5153
-23.3339	-1.5148
-24.1544	-1.516
-23.4512	-1.5151
-24.0372	-1.517
-25.4436	-1.5153
-25.4436	-1.5163
-25.7952	-1.517
-22.8652	-1.5159
-25.678	-1.5159
-23.4512	-1.5171
-22.5135	-1.5176
-23.5684	-1.5176
-23.2167	-1.5146
-22.8652	-1.5169
-26.1468	-1.5186
-23.5684	-1.5185
-23.0995	-1.519
-24.1544	-1.518
-24.9748	-1.5185
-23.5684	-1.519
-24.9748	-1.5186
-24.0372	-1.5184
-24.0372	-1.5174
-24.7404	-1.5186
-25.4436	-1.5201
-23.5684	-1.5195
-22.2791	-1.5166
-24.3888	-1.5193
-24.506	-1.5215
-25.2092	-1.5194
-24.9748	-1.52
-24.9748	-1.5215
-24.1544	-1.5209
-25.5608	-1.5215
-25.3264	-1.5203
-24.9748	-1.5205
-25.4436	-1.5211
-26.0296	-1.5211
-25.5608	-1.5225
-25.092	-1.522
-25.4436	-1.523
-26.3812	-1.522
-25.5608	-1.5229
-22.8652	-1.5223
-25.4436	-1.523
-24.1544	-1.5229
-24.9748	-1.524
-25.2092	-1.5219
-29.6629	-1.5221
-26.0296	-1.5224
-25.092	-1.5248
-25.678	-1.5234
-26.85	-1.523
-26.4984	-1.5226
-24.9748	-1.5236
-25.678	-1.5245
-26.0296	-1.5251
-28.0221	-1.5231
-27.3189	-1.5253
-28.4909	-1.5246
-26.85	-1.5255
-25.092	-1.5243
-28.0221	-1.5253
-25.678	-1.5253
-26.9673	-1.5265
-26.6156	-1.528
-25.092	-1.5255
-26.4984	-1.5264
-26.7328	-1.526
-27.4361	-1.527
-26.7328	-1.527
-26.9673	-1.528
-27.4361	-1.5266
-28.3737	-1.528
-26.85	-1.5268
-28.7253	-1.5276
-29.4285	-1.5288
-25.4436	-1.5293
-28.7253	-1.5288
-26.4984	-1.529
-26.3812	-1.5299
-27.3189	-1.5266
-30.6005	-1.5268
-27.7877	-1.5285
-29.6629	-1.5286
-28.3737	-1.5303
-26.4984	-1.5283
-26.3812	-1.5289
-27.6705	-1.5301
-27.7877	-1.5316
-27.2017	-1.5293
-28.2565	-1.5305
-28.2565	-1.531
-29.1941	-1.5305
-28.7253	-1.532
-27.6705	-1.532
-31.1866	-1.5318
-28.9597	-1.5306
-28.8425	-1.532
-31.7726	-1.533
-28.7253	-1.5315
-28.3737	-1.5316
-29.8973	-1.532
-28.9597	-1.532
-29.4285	-1.5351
-30.4834	-1.5355
-29.5457	-1.5333
-31.5382	-1.5345
-30.1317	-1.5333
-29.6629	-1.5343
-29.3113	-1.5353
-30.1317	-1.536
-32.4758	-1.535
-31.5382	-1.5358
-29.3113	-1.5346
-30.4834	-1.5365
-29.4285	-1.5366
-31.0694	-1.5369
-29.6629	-1.5351
-32.1242	-1.5365
-31.0694	-1.5361
-32.4758	-1.5375
-31.3038	-1.538
-29.5457	-1.538
-30.2489	-1.5375
-31.421	-1.5385
-32.2414	-1.5359
-32.4758	-1.5385
-30.4834	-1.537
-34.351	-1.5381
-31.5382	-1.5384
-30.7178	-1.5375
-32.4758	-1.5389
-30.3661	-1.538
-29.8973	-1.5398
-33.6478	-1.5391
-32.4758	-1.539
-32.4758	-1.5386
-32.4758	-1.5399
-31.1866	-1.5396
-32.3586	-1.5394
-31.5382	-1.539
-32.1242	-1.5381
-34.1166	-1.541
-34.5854	-1.5401
-31.5382	-1.5406
-32.9446	-1.5405
-32.2414	-1.541
-30.8349	-1.541
-32.4758	-1.5404
-31.421	-1.5414
-32.9446	-1.5415
-33.2962	-1.5439
-32.007	-1.5419
-34.1166	-1.5411
-33.9995	-1.542
-32.9446	-1.5416
-33.8822	-1.542
-31.8898	-1.5414
-32.9446	-1.5429
-32.9446	-1.5429
-32.1242	-1.5433
-32.3586	-1.5445
-33.6478	-1.5435
-34.351	-1.544
-33.2962	-1.544
-34.351	-1.5438
-33.179	-1.5446
-34.8199	-1.5439
-35.0543	-1.5444
-33.2962	-1.545
-35.8747	-1.5455
-34.351	-1.5463
-32.9446	-1.5431
-34.2338	-1.5443
-33.4134	-1.5445
-33.179	-1.5466
-32.9446	-1.5458
-33.6478	-1.5451
-37.1639	-1.5445
-36.6951	-1.546
-33.5306	-1.547
-33.4134	-1.5458
-33.6478	-1.546
-35.1715	-1.5465
-36.6951	-1.548
-33.5306	-1.5469
-33.5306	-1.548
-34.4682	-1.5485
-34.351	-1.5474
-35.2887	-1.5482
-33.9995	-1.5472
-33.4134	-1.5494
-37.1639	-1.5478
-35.6403	-1.5499
-37.3983	-1.5495
-36.3435	-1.55
-34.351	-1.5505
-34.8199	-1.55
-37.6327	-1.552
-38.2187	-1.5517
-38.2187	-1.551
-35.4059	-1.5492
-38.4531	-1.5494
