    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 6.39365e-09	 2.61804e-01	 5.23605e-01	 7.85398e-01	 1.04719e+00	 1.30899e+00	 1.57080e+00	 1.83260e+00	 2.09440e+00	 2.35619e+00	 2.61799e+00	 2.87979e+00	 3.14159e+00	 3.40340e+00	 3.66520e+00	 3.92699e+00	 4.18878e+00	 4.45058e+00	 4.71239e+00	 4.97419e+00	 5.23599e+00	 5.49779e+00	 5.75958e+00	 6.02138e+00
DOF 	DOF        
U  0	2.000014e-01	 0.00000e+00	 1.08376e-04	 3.45611e-04	 4.03602e-04	 3.07574e-04	 1.93246e-04	 1.12903e-04	 6.05760e-05	 2.49820e-05	 2.87721e-06	-6.60435e-06	-6.05023e-06	-1.87666e-09	 6.04111e-06	 6.60205e-06	-2.88258e-06	-2.49895e-05	-6.05816e-05	-1.12907e-04	-1.93249e-04	-3.07580e-04	-4.03603e-04	-3.45606e-04	-1.08375e-04
U  1	2.000014e-01	 1.60469e-03	 8.49577e-04	 2.17695e-04	 1.16076e-04	 1.78654e-04	 2.19191e-04	 2.23485e-04	 2.09929e-04	 1.87843e-04	 1.62319e-04	 1.38840e-04	 1.22517e-04	 1.16718e-04	 1.22534e-04	 1.38834e-04	 1.62317e-04	 1.87842e-04	 2.09927e-04	 2.23483e-04	 2.19189e-04	 1.78650e-04	 1.16075e-04	 2.17696e-04	 8.49581e-04
U  2	2.000014e-01	 3.69942e-05	 3.27871e-05	 2.20756e-05	 8.79651e-06	-3.42130e-06	-1.19402e-05	-1.55837e-05	-1.45474e-05	-1.00685e-05	-3.93473e-06	 2.00751e-06	 6.23196e-06	 7.75497e-06	 6.23786e-06	 2.01884e-06	-3.91854e-06	-1.00492e-05	-1.45286e-05	-1.55680e-05	-1.19299e-05	-3.41498e-06	 8.80057e-06	 2.20783e-05	 3.27882e-05
UR 0	2.000014e-01	-3.48163e-04	-3.05580e-04	-2.34140e-04	-1.63788e-04	-1.01518e-04	-5.20990e-05	-1.50113e-05	 1.25684e-05	 3.41884e-05	 5.26493e-05	 6.84195e-05	 7.96521e-05	 8.37984e-05	 7.96581e-05	 6.84278e-05	 5.26598e-05	 3.42079e-05	 1.26079e-05	-1.49500e-05	-5.20274e-05	-1.01453e-04	-1.63714e-04	-2.34077e-04	-3.05507e-04
UR 1	2.000014e-01	 5.93945e-09	 2.61891e-05	 5.00537e-05	 7.46963e-05	 9.54481e-05	 1.07788e-04	 1.09733e-04	 1.00931e-04	 8.32664e-05	 6.08008e-05	 3.80627e-05	 1.78582e-05	 3.80550e-08	-1.77817e-05	-3.79814e-05	-6.07149e-05	-8.31917e-05	-1.00883e-04	-1.09727e-04	-1.07812e-04	-9.54833e-05	-7.47419e-05	-5.00733e-05	-2.61883e-05
UR 2	2.000014e-01	-4.04355e-09	-1.23157e-02	-4.66425e-03	 6.62575e-04	 1.74274e-03	 1.28372e-03	 8.13767e-04	 5.87051e-04	 4.72143e-04	 3.68002e-04	 2.50961e-04	 1.26620e-04	 9.27734e-08	-1.26591e-04	-2.51047e-04	-3.68053e-04	-4.72161e-04	-5.87026e-04	-8.13727e-04	-1.28374e-03	-1.74275e-03	-6.62518e-04	 4.66427e-03	 1.23157e-02
U  0	3.000003e-01	 0.00000e+00	 1.59852e-04	 5.14051e-04	 6.01165e-04	 4.57494e-04	 2.86830e-04	 1.67413e-04	 8.98910e-05	 3.71766e-05	 4.38946e-06	-9.70811e-06	-8.92614e-06	 5.15096e-10	 8.92213e-06	 9.71181e-06	-4.38927e-06	-3.71828e-05	-8.99000e-05	-1.67420e-04	-2.86833e-04	-4.57497e-04	-6.01169e-04	-5.14042e-04	-1.59854e-04
U  1	3.000003e-01	 2.40636e-03	 1.27299e-03	 3.23391e-04	 1.70813e-04	 2.64523e-04	 3.25091e-04	 3.31519e-04	 3.11455e-04	 2.78765e-04	 2.40949e-04	 2.06142e-04	 1.81944e-04	 1.73336e-04	 1.81959e-04	 2.06133e-04	 2.40944e-04	 2.78765e-04	 3.11457e-04	 3.31520e-04	 3.25092e-04	 2.64524e-04	 1.70815e-04	 3.23396e-04	 1.27299e-03
U  2	3.000003e-01	 7.34146e-05	 6.54472e-05	 4.49830e-05	 1.93758e-05	-4.49012e-06	-2.14486e-05	-2.91002e-05	-2.76699e-05	-1.94265e-05	-7.77298e-06	 3.68558e-06	 1.19014e-05	 1.48763e-05	 1.19148e-05	 3.70893e-06	-7.74522e-06	-1.94016e-05	-2.76550e-05	-2.90972e-05	-2.14574e-05	-4.50442e-06	 1.93609e-05	 4.49711e-05	 6.54386e-05
UR 0	3.000003e-01	-6.18264e-04	-5.46259e-04	-4.29685e-04	-3.08933e-04	-1.96587e-04	-1.05945e-04	-3.68527e-05	 1.57395e-05	 5.81359e-05	 9.48943e-05	 1.26244e-04	 1.48391e-04	 1.56530e-04	 1.48438e-04	 1.26326e-04	 9.50104e-05	 5.82764e-05	 1.58960e-05	-3.66920e-05	-1.05793e-04	-1.96451e-04	-3.08794e-04	-4.29529e-04	-5.46059e-04
UR 1	3.000003e-01	-5.00181e-08	 6.08197e-05	 1.07461e-04	 1.53853e-04	 1.93804e-04	 2.17109e-04	 2.19976e-04	 2.01878e-04	 1.66806e-04	 1.22544e-04	 7.74728e-05	 3.67133e-05	 8.80581e-08	-3.65411e-05	-7.73150e-05	-1.22413e-04	-1.66729e-04	-2.01874e-04	-2.20053e-04	-2.17239e-04	-1.93966e-04	-1.54024e-04	-1.07610e-04	-6.09499e-05
UR 2	3.000003e-01	-9.70829e-09	-1.84959e-02	-7.00225e-03	 9.92009e-04	 2.60630e-03	 1.91252e-03	 1.20694e-03	 8.69138e-04	 6.99567e-04	 5.45832e-04	 3.72424e-04	 1.87926e-04	 9.68515e-08	-1.87864e-04	-3.72486e-04	-5.45917e-04	-6.99671e-04	-8.69146e-04	-1.20686e-03	-1.91251e-03	-2.60630e-03	-9.91949e-04	 7.00221e-03	 1.84960e-02
U  0	4.000028e-01	 0.00000e+00	 2.09470e-04	 6.79478e-04	 7.95776e-04	 6.04699e-04	 3.78257e-04	 2.20500e-04	 1.18443e-04	 4.90703e-05	 5.86311e-06	-1.27433e-05	-1.17370e-05	 2.40568e-09	 1.17367e-05	 1.27505e-05	-5.86029e-06	-4.90737e-05	-1.18450e-04	-2.20508e-04	-3.78258e-04	-6.04700e-04	-7.95776e-04	-6.79464e-04	-2.09471e-04
U  1	4.000028e-01	 3.20540e-03	 1.69563e-03	 4.27122e-04	 2.23452e-04	 3.48145e-04	 4.28545e-04	 4.37068e-04	 4.10649e-04	 3.67619e-04	 3.17797e-04	 2.71915e-04	 2.40023e-04	 2.28671e-04	 2.40034e-04	 2.71904e-04	 3.17792e-04	 3.67617e-04	 4.10650e-04	 4.37069e-04	 4.28545e-04	 3.48144e-04	 2.23452e-04	 4.27126e-04	 1.69561e-03
U  2	4.000028e-01	 1.53992e-04	 1.38361e-04	 9.73876e-05	 4.53632e-05	-3.75781e-06	-3.93822e-05	-5.63972e-05	-5.49349e-05	-3.93006e-05	-1.62669e-05	 6.78987e-06	 2.34837e-05	 2.95533e-05	 2.35021e-05	 6.82057e-06	-1.62319e-05	-3.92707e-05	-5.49172e-05	-5.63950e-05	-3.93908e-05	-3.77500e-06	 4.53429e-05	 9.73697e-05	 1.38348e-04
UR 0	4.000028e-01	-1.12197e-03	-1.00633e-03	-8.15418e-04	-6.05275e-04	-3.97720e-04	-2.27059e-04	-9.41693e-05	 1.02534e-05	 9.73183e-05	 1.74138e-04	 2.39588e-04	 2.85411e-04	 3.02129e-04	 2.85477e-04	 2.39709e-04	 1.74300e-04	 9.74980e-05	 1.04402e-05	-9.39878e-05	-2.26879e-04	-3.97552e-04	-6.05062e-04	-8.15156e-04	-1.00603e-03
UR 1	4.000028e-01	-8.71391e-08	 1.42670e-04	 2.47371e-04	 3.40792e-04	 4.20127e-04	 4.64182e-04	 4.66484e-04	 4.26289e-04	 3.52337e-04	 2.60234e-04	 1.66070e-04	 7.94306e-05	 1.23229e-07	-7.92030e-05	-1.65877e-04	-2.60078e-04	-3.52248e-04	-4.26276e-04	-4.66564e-04	-4.64322e-04	-4.20283e-04	-3.40991e-04	-2.47585e-04	-1.42881e-04
UR 2	4.000028e-01	 2.40963e-08	-2.46898e-02	-9.34418e-03	 1.31993e-03	 3.46423e-03	 2.53239e-03	 1.59086e-03	 1.14355e-03	 9.21294e-04	 7.19594e-04	 4.91141e-04	 2.47796e-04	 1.35091e-07	-2.47718e-04	-4.91223e-04	-7.19667e-04	-9.21399e-04	-1.14358e-03	-1.59080e-03	-2.53240e-03	-3.46427e-03	-1.31986e-03	 9.34416e-03	 2.46900e-02
U  0	5.000017e-01	 0.00000e+00	 2.57178e-04	 8.41777e-04	 9.87310e-04	 7.49086e-04	 4.67431e-04	 2.72062e-04	 1.46145e-04	 6.06094e-05	 7.27986e-06	-1.57112e-05	-1.44815e-05	 2.13448e-09	 1.44804e-05	 1.57184e-05	-7.27569e-06	-6.06114e-05	-1.46154e-04	-2.72073e-04	-4.67437e-04	-7.49087e-04	-9.87312e-04	-8.41763e-04	-2.57181e-04
U  1	5.000017e-01	 4.00442e-03	 2.11766e-03	 5.29095e-04	 2.74047e-04	 4.29463e-04	 5.29453e-04	 5.40027e-04	 5.07414e-04	 4.54316e-04	 3.92786e-04	 3.36084e-04	 2.96669e-04	 2.82639e-04	 2.96682e-04	 3.36072e-04	 3.92778e-04	 4.54312e-04	 5.07414e-04	 5.40028e-04	 5.29453e-04	 4.29464e-04	 2.74046e-04	 5.29098e-04	 2.11762e-03
U  2	5.000017e-01	 4.18346e-04	 3.78499e-04	 2.71342e-04	 1.33263e-04	 1.91660e-06	-9.46379e-05	-1.42595e-04	-1.41704e-04	-1.02682e-04	-4.30904e-05	 1.74685e-05	 6.16707e-05	 7.77870e-05	 6.16754e-05	 1.74794e-05	-4.30703e-05	-1.02649e-04	-1.41661e-04	-1.42545e-04	-9.45688e-05	 1.98402e-06	 1.33321e-04	 2.71383e-04	 3.78516e-04
UR 0	5.000017e-01	-2.59825e-03	-2.38444e-03	-1.97743e-03	-1.49969e-03	-1.02020e-03	-6.14207e-04	-2.88546e-04	-2.25445e-05	 2.08453e-04	 4.16586e-04	 5.94489e-04	 7.17969e-04	 7.62343e-04	 7.17909e-04	 5.94395e-04	 4.16474e-04	 2.08320e-04	-2.26809e-05	-2.88701e-04	-6.14353e-04	-1.02036e-03	-1.49977e-03	-1.97739e-03	-2.38421e-03
