    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 2.18771e-06	 1.57078e-01	 3.14156e-01	 4.71251e-01	 6.28322e-01	 7.85400e-01	 9.42479e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35620e+00	 2.51328e+00	 2.67035e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39824e+00	 4.55532e+00	 4.71239e+00	 4.86947e+00	 5.02655e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65487e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  2	1.000000e-01	-1.36478e-06	-1.31108e-06	-1.10292e-06	-6.57413e-07	-7.69409e-08	 4.80104e-07	 8.53423e-07	 9.07770e-07	 5.81382e-07	-9.19838e-08	-9.80171e-07	-1.87560e-06	-2.54742e-06	-2.80884e-06	-2.55842e-06	-1.80703e-06	-6.80667e-07	 6.03560e-07	 1.78347e-06	 2.61307e-06	 2.91904e-06	 2.63800e-06	 1.82883e-06	 6.61946e-07	-6.19379e-07	-1.75389e-06	-2.52189e-06	-2.79331e-06	-2.55227e-06	-1.89620e-06	-1.00963e-06	-1.22378e-07	 5.56843e-07	 8.94062e-07	 8.52586e-07	 4.90440e-07	-5.93043e-08	-6.37624e-07	-1.08626e-06	-1.30157e-06
UR 0	1.000000e-01	-1.37082e-04	-1.22570e-04	-9.40433e-05	-6.81582e-05	-4.89472e-05	-3.63063e-05	-2.87990e-05	-2.47378e-05	-2.27513e-05	-2.14856e-05	-1.97496e-05	-1.65153e-05	-1.16889e-05	-5.36108e-06	 2.07323e-06	 1.00288e-05	 1.77887e-05	 2.46315e-05	 2.99542e-05	 3.33351e-05	 3.45408e-05	 3.34643e-05	 3.02105e-05	 2.50115e-05	 1.82714e-05	 1.05553e-05	 2.59232e-06	-4.89600e-06	-1.13201e-05	-1.62788e-05	-1.96441e-05	-2.14969e-05	-2.28464e-05	-2.48956e-05	-2.89945e-05	-3.65043e-05	-4.91275e-05	-6.82824e-05	-9.41252e-05	-1.22618e-04
UR 1	1.000000e-01	 1.04555e-07	-2.12316e-05	-3.76857e-05	-4.75847e-05	-5.11740e-05	-5.09848e-05	-4.79239e-05	-4.22669e-05	-3.46738e-05	-2.58620e-05	-1.64933e-05	-6.73360e-06	 2.31597e-06	 9.94081e-06	 1.56531e-05	 1.90240e-05	 1.97564e-05	 1.78113e-05	 1.34685e-05	 7.34820e-06	 2.72567e-07	-6.82679e-06	-1.30016e-05	-1.74173e-05	-1.94778e-05	-1.88829e-05	-1.56437e-05	-1.00277e-05	-2.44960e-06	 6.51634e-06	 1.62029e-05	 2.55639e-05	 3.43691e-05	 4.19970e-05	 4.77427e-05	 5.08978e-05	 5.11784e-05	 4.76618e-05	 3.78304e-05	 2.14249e-05
UR 2	1.000000e-01	 9.18407e-08	-8.53227e-03	-5.72498e-03	-1.68502e-03	 4.49432e-04	 9.46135e-04	 7.58446e-04	 4.90266e-04	 3.32715e-04	 2.72749e-04	 2.54213e-04	 2.40925e-04	 2.21206e-04	 1.95521e-04	 1.67400e-04	 1.38573e-04	 1.10105e-04	 8.25291e-05	 5.49164e-05	 2.74201e-05	-4.84238e-08	-2.74313e-05	-5.49187e-05	-8.25164e-05	-1.10142e-04	-1.38605e-04	-1.67452e-04	-1.95578e-04	-2.21213e-04	-2.40923e-04	-2.54100e-04	-2.72599e-04	-3.32684e-04	-4.90379e-04	-7.58512e-04	-9.46235e-04	-4.49453e-04	 1.68499e-03	 5.72501e-03	 8.53241e-03
U  0	2.000000e-01	 0.00000e+00	 4.46552e-05	 1.95844e-04	 3.10937e-04	 3.21677e-04	 2.65957e-04	 1.98925e-04	 1.46680e-04	 1.10113e-04	 8.20904e-05	 5.75568e-05	 3.53165e-05	 1.61526e-05	 1.02937e-06	-9.60950e-06	-1.58241e-05	-1.79853e-05	-1.67157e-05	-1.27123e-05	-6.83329e-06	 5.52992e-11	 6.83064e-06	 1.27131e-05	 1.67080e-05	 1.79805e-05	 1.58219e-05	 9.60310e-06	-1.02908e-06	-1.61451e-05	-3.53188e-05	-5.75609e-05	-8.20934e-05	-1.10116e-04	-1.46666e-04	-1.98921e-04	-2.65950e-04	-3.21677e-04	-3.10934e-04	-1.95838e-04	-4.46547e-05
U  1	2.000000e-01	 1.67038e-03	 1.07935e-03	 3.81481e-04	 6.98718e-05	 3.42901e-05	 8.78230e-05	 1.36111e-04	 1.60235e-04	 1.67990e-04	 1.67583e-04	 1.62512e-04	 1.53759e-04	 1.41985e-04	 1.28180e-04	 1.13499e-04	 9.90399e-05	 8.58045e-05	 7.45582e-05	 6.60404e-05	 6.07207e-05	 5.88908e-05	 6.07300e-05	 6.60300e-05	 7.45612e-05	 8.58007e-05	 9.90359e-05	 1.13500e-04	 1.28174e-04	 1.41978e-04	 1.53754e-04	 1.62508e-04	 1.67579e-04	 1.67982e-04	 1.60235e-04	 1.36104e-04	 8.78189e-05	 3.42781e-05	 6.98653e-05	 3.81480e-04	 1.07934e-03
U  2	2.000000e-01	-2.01851e-06	-1.98200e-06	-1.77563e-06	-1.08020e-06	-1.29424e-07	 7.64305e-07	 1.33037e-06	 1.33057e-06	 6.57129e-07	-6.22663e-07	-2.26164e-06	-3.88077e-06	-5.06116e-06	-5.45754e-06	-4.88386e-06	-3.36740e-06	-1.15435e-06	 1.33946e-06	 3.61798e-06	 5.21283e-06	 5.79304e-06	 5.23853e-06	 3.66492e-06	 1.39988e-06	-1.09068e-06	-3.31157e-06	-4.84471e-06	-5.43995e-06	-5.06535e-06	-3.90238e-06	-2.29379e-06	-6.57075e-07	 6.27908e-07	 1.31243e-06	 1.32614e-06	 7.72991e-07	-1.11770e-07	-1.05937e-06	-1.75774e-06	-1.97168e-06
UR 0	2.000000e-01	-2.93258e-04	-2.62578e-04	-2.02607e-04	-1.48986e-04	-1.07445e-04	-7.86113e-05	-6.07253e-05	-5.01956e-05	-4.42996e-05	-4.03561e-05	-3.60349e-05	-2.94827e-05	-2.01512e-05	-8.04626e-06	 6.13275e-06	 2.12626e-05	 3.59861e-05	 4.89882e-05	 5.91158e-05	 6.55304e-05	 6.77660e-05	 6.56520e-05	 5.93613e-05	 4.93537e-05	 3.64497e-05	 2.17705e-05	 6.63952e-06	-7.57813e-06	-1.97633e-05	-2.92185e-05	-3.58962e-05	-4.03345e-05	-4.43683e-05	-5.03360e-05	-6.09161e-05	-7.88039e-05	-1.07631e-04	-1.49117e-04	-2.02687e-04	-2.62635e-04
UR 1	2.000000e-01	 1.13321e-07	-4.04670e-05	-7.47202e-05	-9.68158e-05	-1.03483e-04	-1.01837e-04	-9.48640e-05	-8.29165e-05	-6.73738e-05	-4.96735e-05	-3.10873e-05	-1.23437e-05	 4.89175e-06	 1.93719e-05	 3.01456e-05	 3.63921e-05	 3.76153e-05	 3.38036e-05	 2.55012e-05	 1.38086e-05	 2.80570e-07	-1.32707e-05	-2.50239e-05	-3.34073e-05	-3.73408e-05	-3.62656e-05	-3.01636e-05	-1.95002e-05	-5.07478e-06	 1.20707e-05	 3.07358e-05	 4.93144e-05	 6.70012e-05	 8.25792e-05	 9.46215e-05	 1.01690e-04	 1.03455e-04	 9.68843e-05	 7.48662e-05	 4.06750e-05
UR 2	2.000000e-01	 1.39875e-07	-1.71208e-02	-1.14875e-02	-3.37933e-03	 8.98015e-04	 1.88864e-03	 1.50785e-03	 9.68562e-04	 6.52845e-04	 5.33844e-04	 4.98329e-04	 4.73224e-04	 4.34524e-04	 3.84288e-04	 3.28921e-04	 2.72522e-04	 2.16735e-04	 1.62335e-04	 1.08065e-04	 5.39570e-05	-5.38569e-08	-5.38814e-05	-1.08066e-04	-1.62384e-04	-2.16828e-04	-2.72449e-04	-3.28907e-04	-3.84219e-04	-4.34687e-04	-4.73176e-04	-4.98262e-04	-5.33702e-04	-6.52763e-04	-9.68497e-04	-1.50799e-03	-1.88875e-03	-8.98096e-04	 3.37948e-03	 1.14874e-02	 1.71210e-02
U  0	3.000033e-01	 0.00000e+00	 6.45968e-05	 2.88249e-04	 4.60686e-04	 4.77245e-04	 3.94191e-04	 2.94424e-04	 2.17068e-04	 1.63317e-04	 1.22283e-04	 8.63216e-05	 5.36311e-05	 2.53741e-05	 3.01349e-06	-1.27810e-05	-2.20972e-05	-2.54779e-05	-2.38306e-05	-1.81879e-05	-9.79413e-06	-2.29814e-09	 9.78716e-06	 1.81838e-05	 2.38193e-05	 2.54695e-05	 2.20928e-05	 1.27691e-05	-3.01585e-06	-2.53699e-05	-5.36346e-05	-8.63241e-05	-1.22285e-04	-1.63319e-04	-2.17056e-04	-2.94419e-04	-3.94181e-04	-4.77241e-04	-4.60679e-04	-2.88239e-04	-6.45957e-05
