    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79	          81	          83	          85	          87	          89	          91	          93	          95
    	Angle ->    	 6.63726e-09	 1.30900e-01	 2.61804e-01	 3.92703e-01	 5.23604e-01	 6.54504e-01	 7.85398e-01	 9.16292e-01	 1.04719e+00	 1.17809e+00	 1.30899e+00	 1.43990e+00	 1.57080e+00	 1.70170e+00	 1.83260e+00	 1.96350e+00	 2.09440e+00	 2.22530e+00	 2.35619e+00	 2.48709e+00	 2.61799e+00	 2.74889e+00	 2.87979e+00	 3.01069e+00	 3.14159e+00	 3.27249e+00	 3.40340e+00	 3.53430e+00	 3.66520e+00	 3.79610e+00	 3.92699e+00	 4.05788e+00	 4.18878e+00	 4.31969e+00	 4.45059e+00	 4.58149e+00	 4.71239e+00	 4.84329e+00	 4.97419e+00	 5.10509e+00	 5.23599e+00	 5.36689e+00	 5.49779e+00	 5.62868e+00	 5.75958e+00	 5.89048e+00	 6.02138e+00	 6.15228e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000012e-01	 0.00000e+00	 2.54016e-05	 1.22384e-04	 2.19701e-04	 2.61377e-04	 2.48417e-04	 2.08523e-04	 1.65764e-04	 1.30704e-04	 1.03996e-04	 8.26000e-05	 6.38534e-05	 4.66199e-05	 3.08230e-05	 1.69571e-05	 5.41791e-06	-3.56668e-06	-9.95458e-06	-1.38483e-05	-1.54118e-05	-1.49476e-05	-1.27743e-05	-9.27907e-06	-4.87136e-06	-5.18790e-10	 4.87026e-06	 9.27788e-06	 1.27733e-05	 1.49459e-05	 1.54104e-05	 1.38478e-05	 9.95568e-06	 3.56816e-06	-5.41633e-06	-1.69569e-05	-3.08214e-05	-4.66193e-05	-6.38528e-05	-8.26006e-05	-1.03994e-04	-1.30706e-04	-1.65766e-04	-2.08526e-04	-2.48419e-04	-2.61380e-04	-2.19701e-04	-1.22384e-04	-2.54011e-05
U  1	1.000012e-01	 1.39510e-03	 9.87682e-04	 4.48900e-04	 1.33792e-04	 3.34484e-05	 4.24631e-05	 8.01792e-05	 1.11210e-04	 1.28836e-04	 1.36595e-04	 1.38676e-04	 1.37375e-04	 1.33556e-04	 1.27569e-04	 1.19777e-04	 1.10654e-04	 1.00724e-04	 9.05303e-05	 8.05600e-05	 7.13030e-05	 6.31266e-05	 5.63897e-05	 5.13569e-05	 4.82478e-05	 4.72170e-05	 4.82482e-05	 5.13578e-05	 5.63902e-05	 6.31292e-05	 7.13055e-05	 8.05618e-05	 9.05315e-05	 1.00725e-04	 1.10655e-04	 1.19778e-04	 1.27570e-04	 1.33557e-04	 1.37376e-04	 1.38678e-04	 1.36598e-04	 1.28837e-04	 1.11211e-04	 8.01791e-05	 4.24637e-05	 3.34503e-05	 1.33790e-04	 4.48901e-04	 9.87683e-04
U  2	1.000012e-01	 1.19986e-05	 1.12553e-05	 9.13460e-06	 6.22464e-06	 3.05113e-06	 2.91551e-08	-2.49784e-06	-4.30767e-06	-5.31268e-06	-5.53286e-06	-5.07746e-06	-4.11781e-06	-2.85966e-06	-1.51470e-06	-2.75059e-07	 7.06972e-07	 1.33242e-06	 1.56511e-06	 1.42790e-06	 9.96157e-07	 3.81902e-07	-2.83687e-07	-8.71768e-07	-1.27364e-06	-1.41710e-06	-1.27663e-06	-8.77325e-07	-2.91226e-07	 3.72866e-07	 9.85957e-07	 1.41703e-06	 1.55416e-06	 1.32214e-06	 6.97950e-07	-2.82507e-07	-1.52062e-06	-2.86427e-06	-4.12149e-06	-5.08065e-06	-5.53596e-06	-5.31617e-06	-4.31215e-06	-2.50342e-06	 2.25609e-08	 3.04414e-06	 6.21813e-06	 9.12960e-06	 1.12526e-05
UR 0	1.000012e-01	-3.93704e-04	-3.68559e-04	-3.11024e-04	-2.47049e-04	-1.87073e-04	-1.34340e-04	-9.00094e-05	-5.33129e-05	-2.36538e-05	-6.83533e-07	 1.60944e-05	 2.73478e-05	 3.38056e-05	 3.62523e-05	 3.55106e-05	 3.24252e-05	 2.78298e-05	 2.24997e-05	 1.70829e-05	 1.20810e-05	 7.81772e-06	 4.47361e-06	 2.10556e-06	 7.05281e-07	 2.40310e-07	 6.96436e-07	 2.08930e-06	 4.45098e-06	 7.79291e-06	 1.20530e-05	 1.70515e-05	 2.24623e-05	 2.77866e-05	 3.23781e-05	 3.54649e-05	 3.62135e-05	 3.37763e-05	 2.73335e-05	 1.60995e-05	-6.52602e-07	-2.35861e-05	-5.32035e-05	-8.98627e-05	-1.34173e-04	-1.86919e-04	-2.46928e-04	-3.10927e-04	-3.68515e-04
