Tension [N],displacement [mm],delta Load [N]
212.6,0,0
212.6,0.8636,9.881221728
212.6,1.651,18.83842265
212.6,4.064,44.69486649
392.6,0,0
392.6,0.889,9.882607408
392.6,1.7526,18.84396537
392.6,4.4958,44.71842305
634.1,0,0
634.1,1.0668,9.892307165
634.1,2.0574,18.86059352
634.1,4.953,44.74336528
776.3,0,0
776.3,1.1684,9.897849884
776.3,2.2606,18.87167896
776.3,5.4102,44.76830751
1028.7,0,0
1028.7,1.524,9.917249399
1028.7,2.8956,18.90632095
1028.7,6.9088,44.85006261
702.9,0,0
702.9,1.0922,9.893692845
702.9,2.1082,18.86336488
702.9,5.0546,44.748908
