Tension [N],displacement [mm],delta Load [N]
407.8,0,0
407.8,0.6604,9.870136291
407.8,1.3716,19.73421796
407.8,1.9812,28.68171912
627.7,0,0
627.7,0.7366,9.87429333
627.7,1.524,19.74253203
627.7,2.2098,28.69419023
818.9,0,0
818.9,0.8636,9.881221728
818.9,1.7272,19.75361747
818.9,2.5146,28.71081839
1035.2,0,0
1035.2,1.016,9.889535806
1035.2,2.0574,19.77163131
1035.2,2.9972,28.7371463
