Tension [N],displacement [mm],delta Load [N]
219.5,0,0
219.5,1.2954,4.527792087
219.5,2.5908,9.055584174
219.5,5.4864,19.04766027
431.3,0,0
431.3,2.032,4.567976797
431.3,3.9878,9.131796554
431.3,7.6454,19.16544304
