Tension [N],displacement [mm],delta Load [N]
339.8,0,0
339.8,0.3937,9.855586654
339.8,0.7874,19.70234732
339.8,1.1684,28.63737737
559.6,0,0
559.6,0.4064,9.856279494
559.6,0.8382,19.70511868
559.6,1.2065,28.63945589
559.6,1.905,44.57708372
769.2,0,0
769.2,0.4318,9.857665174
769.2,0.8636,19.70650436
769.2,1.2573,28.64222725
769.2,1.9558,44.57985508
981.1,0,0
981.1,0.4572,9.859050854
981.1,0.9144,19.70927572
981.1,1.3462,28.64707713
981.1,2.1082,44.58816916
1140.9,0,0
1140.9,0.4826,9.860436533
1140.9,0.9906,19.71343276
1140.9,1.4351,28.651927
1140.9,2.2352,44.59509756
1360.3,0,0
1360.3,0.5334,9.863207893
1360.3,1.0668,19.7175898
1360.3,1.5748,28.65954824
1360.3,2.4638,44.60756868
