Tension [N],displacement [mm],delta Load [N]
219.1,0,0
219.1,1.2446,9.902006923
219.1,2.54,19.79795922
219.1,3.7338,28.77733101
443.4,0,0
443.4,1.5748,9.920020758
443.4,3.175,19.83260121
443.4,4.6482,28.82721548
646.3,0,0
646.3,2.0828,9.947734351
646.3,4.1656,19.88664272
646.3,6.0706,28.90481354
839.4,0,0
839.4,2.54,9.972676585
839.4,4.953,19.92959879
839.4,7.0866,28.96024073
