displacement [mm],Load [N]
0,0
0.037531343,4.457122425
0.084445522,8.91424485
0.187656716,18.72089485
0.29086791,28.52754485
0.450376119,44.57122425
0.666181343,64.18452425
0.938283582,89.1424485
1.14470597,108.7557485
0.037531343,0
