displacement [mm],Load [N]
0,0
0.028148507,4.457122425
0.075062687,8.91424485
0.178273881,18.72089485
0.281485075,28.52754485
0.450376119,44.57122425
0.675564179,64.18452425
0.947666418,89.1424485
1.163471642,108.7557485
0.028148507,0
