displacement [mm],Load [N]
0,0
0.018765672,4.457122425
0.075062687,8.91424485
0.150125373,18.72089485
0.243953731,28.52754485
0.412844776,44.57122425
0.62865,64.18452425
0.891369403,89.1424485
1.107174627,108.7557485
0.018765672,0
