Spoke,Tension [N]
1,610.2
2,644.2
3,626.9
4,626.9
5,610.2
6,644.2
7,610.2
8,594.3
9,578.9
10,644.2
11,594.3
12,644.2
13,594.3
14,594.3
15,610.2
16,626.9
17,594.3
18,626.9
19,626.9
20,594.3
21,626.9
22,610.2
23,610.2
24,626.9
25,594.3
26,681
27,578.9
28,626.9
29,594.3
30,594.3
31,644.2
32,626.9
33,578.9
34,626.9
35,626.9
36,594.3
