Spoke,Tension [N]
1,485.6
2,497.5
3,485.6
4,485.6
5,485.6
6,497.5
7,474
8,485.6
9,441.4
10,497.5
11,497.5
12,509.9
13,462.8
14,474
15,485.6
16,509.9
17,462.8
18,509.9
19,485.6
20,451.9
21,485.6
22,485.6
23,474
24,497.5
25,451.9
26,549.8
27,451.9
28,509.9
29,485.6
30,441.4
31,536
32,509.9
33,441.4
34,509.9
35,485.6
36,474
