Spoke,Tension [N]
1,351.9
2,351.9
3,359.8
4,359.8
5,344.3
6,384.7
7,336.9
8,344.3
9,351.9
10,351.9
11,336.9
12,367.8
13,344.3
14,336.9
15,367.8
16,367.8
17,336.9
18,384.7
19,351.9
20,336.9
21,344.3
22,384.7
23,336.9
24,336.9
25,351.9
26,384.7
27,351.9
28,367.8
29,329.6
30,351.9
31,359.8
32,367.8
33,329.6
34,359.8
35,359.8
36,336.9
