Spoke,Tension [N]
1,865.9
2,894.5
3,865.9
4,894.5
5,894.5
6,865.9
7,865.9
8,865.9
9,838.8
10,924.7
11,788.3
12,924.7
13,865.9
14,812.9
15,894.5
16,894.5
17,865.9
18,894.5
19,865.9
20,838.8
21,865.9
22,838.8
23,894.5
24,865.9
25,838.8
26,924.7
27,838.8
28,924.7
29,812.9
30,838.8
31,924.7
32,894.5
33,838.8
34,894.5
35,865.9
36,838.8
