displacement [mm],Load [N]
0,0
0.056297015,4.457122425
0.117285448,8.91424485
0.243953731,18.72089485
0.370622015,28.52754485
0.581735821,44.57122425
0.844455224,64.18452425
1.163471642,89.1424485
1.435573881,108.7557485
0.037531343,0
