displacement [mm],Load [N]
0,0
0.046914179,4.457122425
0.093828358,8.91424485
0.206422388,18.72089485
0.319016418,28.52754485
0.487907463,44.57122425
0.722478358,64.18452425
1.03211194,89.1424485
1.276065672,108.7557485
0.037531343,0
