Spoke,Tension [N]
1,1063.5
2,1103.7
3,1063.5
4,1063.5
5,1063.5
6,1025.8
7,1063.5
8,1103.7
9,990.1
10,1146.4
11,990.1
12,1103.7
13,1063.5
14,1025.8
15,1103.7
16,1063.5
17,1063.5
18,1063.5
19,1103.7
20,1063.5
21,1063.5
22,1063.5
23,1063.5
24,1063.5
25,1025.8
26,1103.7
27,1025.8
28,1063.5
29,1025.8
30,1063.5
31,1103.7
32,1063.5
33,1103.7
34,1063.5
35,1103.7
36,1063.5
