    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 3.37098e-09	 2.65322e-01	 5.27100e-01	 7.85404e-01	 1.04369e+00	 1.30547e+00	 1.57079e+00	 1.83612e+00	 2.09791e+00	 2.35619e+00	 2.61449e+00	 2.87626e+00	 3.14159e+00	 3.40692e+00	 3.66870e+00	 3.92699e+00	 4.18527e+00	 4.44707e+00	 4.71239e+00	 4.97771e+00	 5.23950e+00	 5.49778e+00	 5.75609e+00	 6.01786e+00
DOF 	DOF        
U  0	2.000015e-01	 0.00000e+00	 5.93768e-05	 1.31827e-04	 1.57439e-04	 5.66376e-05	 2.54958e-05	 1.53221e-05	 1.60603e-05	 2.13169e-05	 9.55579e-06	 1.33431e-05	 1.01482e-06	 4.48783e-09	-1.00403e-06	-1.33255e-05	-9.54561e-06	-2.13094e-05	-1.60240e-05	-1.53260e-05	-2.55092e-05	-5.66370e-05	-1.57438e-04	-1.31821e-04	-5.93718e-05
U  1	2.000015e-01	 1.99887e-03	 1.38558e-03	 6.97318e-04	 1.67473e-04	-9.50612e-05	-2.46139e-04	-2.86511e-04	-2.56543e-04	-1.81968e-04	-8.50743e-05	 3.90813e-05	 1.11321e-04	 1.61808e-04	 1.11336e-04	 3.90898e-05	-8.50517e-05	-1.81945e-04	-2.56537e-04	-2.86505e-04	-2.46132e-04	-9.50554e-05	 1.67471e-04	 6.97314e-04	 1.38558e-03
U  2	2.000015e-01	-6.08883e-03	-5.63627e-03	-4.52692e-03	-3.21187e-03	-2.01529e-03	-1.07368e-03	-3.90868e-04	 1.19920e-04	 5.40744e-04	 9.19277e-04	 1.24312e-03	 1.47056e-03	 1.54884e-03	 1.47053e-03	 1.24314e-03	 9.19332e-04	 5.40776e-04	 1.19910e-04	-3.90901e-04	-1.07367e-03	-2.01527e-03	-3.21183e-03	-4.52681e-03	-5.63618e-03
UR 0	2.000015e-01	 2.71777e-02	 2.50188e-02	 2.02936e-02	 1.53298e-02	 1.13013e-02	 8.77294e-03	 7.41369e-03	 7.01946e-03	 7.08150e-03	 7.36864e-03	 7.53356e-03	 7.58125e-03	 7.63021e-03	 7.58147e-03	 7.53408e-03	 7.36967e-03	 7.08148e-03	 7.01960e-03	 7.41338e-03	 8.77280e-03	 1.13010e-02	 1.53290e-02	 2.02924e-02	 2.50192e-02
UR 1	2.000015e-01	 1.44052e-06	-4.93345e-03	-7.64924e-03	-8.64297e-03	-8.45377e-03	-7.29678e-03	-5.65724e-03	-3.84319e-03	-2.05532e-03	-7.61598e-04	-2.40790e-05	 1.45503e-04	-2.39683e-07	-1.45065e-04	 2.48877e-05	 7.62513e-04	 2.05464e-03	 3.84175e-03	 5.65435e-03	 7.29527e-03	 8.45429e-03	 8.64325e-03	 7.64950e-03	 4.93327e-03
UR 2	2.000015e-01	 8.56436e-07	-7.70469e-03	-4.49891e-03	-2.07116e-03	-6.21628e-04	-7.75081e-04	 7.31405e-05	 3.14531e-04	 5.43029e-04	 2.18681e-04	 1.52471e-04	 2.97981e-06	-7.00367e-07	-1.87543e-06	-1.52918e-04	-2.19117e-04	-5.42747e-04	-3.13972e-04	-7.32872e-05	 7.74896e-04	 6.21888e-04	 2.07130e-03	 4.49914e-03	 7.70370e-03
U  0	3.000004e-01	 0.00000e+00	 6.83495e-05	 1.85446e-04	 2.57276e-04	 1.08942e-04	 4.10353e-05	 2.55111e-06	-4.59277e-06	 8.29305e-06	-1.35683e-07	 1.39323e-05	 8.73118e-07	 1.16506e-08	-8.55967e-07	-1.39221e-05	 1.08735e-07	-8.31843e-06	 4.57362e-06	-2.60240e-06	-4.10154e-05	-1.08882e-04	-2.57185e-04	-1.85398e-04	-6.83337e-05
U  1	3.000004e-01	 3.00388e-03	 2.22795e-03	 1.18505e-03	 3.27395e-04	-9.18182e-05	-3.25983e-04	-3.88854e-04	-3.46413e-04	-2.41667e-04	-1.13048e-04	 5.02503e-05	 1.40875e-04	 2.07489e-04	 1.40869e-04	 5.02145e-05	-1.13054e-04	-2.41656e-04	-3.46439e-04	-3.88827e-04	-3.25981e-04	-9.18303e-05	 3.27320e-04	 1.18488e-03	 2.22782e-03
U  2	3.000004e-01	-9.08032e-03	-8.42905e-03	-6.81274e-03	-4.84020e-03	-3.00453e-03	-1.53510e-03	-4.72624e-04	 2.94030e-04	 8.76444e-04	 1.35884e-03	 1.75058e-03	 2.01896e-03	 2.10978e-03	 2.01882e-03	 1.75030e-03	 1.35870e-03	 8.76151e-04	 2.93795e-04	-4.72771e-04	-1.53502e-03	-3.00416e-03	-4.83977e-03	-6.81181e-03	-8.42885e-03
UR 0	3.000004e-01	 3.97889e-02	 3.70009e-02	 3.07510e-02	 2.35155e-02	 1.74885e-02	 1.36061e-02	 1.14021e-02	 1.04847e-02	 1.01826e-02	 1.02347e-02	 1.01826e-02	 1.00531e-02	 1.00553e-02	 1.00520e-02	 1.01804e-02	 1.02322e-02	 1.01798e-02	 1.04820e-02	 1.14007e-02	 1.36034e-02	 1.74836e-02	 2.35034e-02	 3.07417e-02	 3.69967e-02
