    	Node label->	           1	           2	           3	           4	           5	           6	           7	           8	           9	          10	          11	          12	          13	          14	          15	          16	          17	          18	          19	          20	          21	          22	          23	          24	          25	          26	          27	          28	          29	          30	          31	          32	          33	          34	          35	          36	          37	          38	          39	          40	          41	          42	          43	          44	          45	          46	          47	          48	          49	          50	          51	          52	          53	          54	          55	          56	          57	          58	          59	          60	          61	          62	          63	          64
    	Angle ->    	 1.66902e-09	 9.81748e-02	 1.96344e-01	 2.94526e-01	 3.92699e-01	 4.90880e-01	 5.89048e-01	 6.87225e-01	 7.85398e-01	 8.83571e-01	 9.81748e-01	 1.07992e+00	 1.17810e+00	 1.27627e+00	 1.37445e+00	 1.47262e+00	 1.57080e+00	 1.66897e+00	 1.76714e+00	 1.86532e+00	 1.96349e+00	 2.06168e+00	 2.15984e+00	 2.25802e+00	 2.35619e+00	 2.45437e+00	 2.55254e+00	 2.65071e+00	 2.74889e+00	 2.84707e+00	 2.94525e+00	 3.04342e+00	 3.14159e+00	 3.23977e+00	 3.33794e+00	 3.43612e+00	 3.53429e+00	 3.63247e+00	 3.73064e+00	 3.82882e+00	 3.92699e+00	 4.02516e+00	 4.12334e+00	 4.22151e+00	 4.31969e+00	 4.41786e+00	 4.51605e+00	 4.61421e+00	 4.71239e+00	 4.81056e+00	 4.90873e+00	 5.00692e+00	 5.10509e+00	 5.20327e+00	 5.30144e+00	 5.39961e+00	 5.49779e+00	 5.59596e+00	 5.69414e+00	 5.79231e+00	 5.89049e+00	 5.98866e+00	 6.08684e+00	 6.18501e+00
DOF 	DOF        
U  2	1.000030e-01	-6.81704e-04	-6.49903e-04	-5.70933e-04	-4.49054e-04	-2.96695e-04	-1.28969e-04	 4.07111e-05	 1.97795e-04	 3.30360e-04	 4.28580e-04	 4.86080e-04	 4.99845e-04	 4.70868e-04	 4.03147e-04	 3.04179e-04	 1.83262e-04	 5.15768e-05	-7.96222e-05	-1.99054e-04	-2.97247e-04	-3.66301e-04	-4.01399e-04	-4.00261e-04	-3.64134e-04	-2.96643e-04	-2.04534e-04	-9.59221e-05	 1.92708e-05	 1.31230e-04	 2.30013e-04	 3.07401e-04	 3.56535e-04	 3.73474e-04	 3.56547e-04	 3.07424e-04	 2.30045e-04	 1.31269e-04	 1.93128e-05	-9.58810e-05	-2.04497e-04	-2.96612e-04	-3.64114e-04	-4.00253e-04	-4.01400e-04	-3.66314e-04	-2.97269e-04	-1.99083e-04	-7.96546e-05	 5.15436e-05	 1.83231e-04	 3.04153e-04	 4.03129e-04	 4.70859e-04	 4.99845e-04	 4.86088e-04	 4.28598e-04	 3.30384e-04	 1.97823e-04	 4.07423e-05	-1.28939e-04	-2.96666e-04	-4.49031e-04	-5.70914e-04	-6.49895e-04
UR 0	1.000030e-01	 3.05331e-03	 2.93975e-03	 2.75940e-03	 2.47816e-03	 2.09649e-03	 1.65490e-03	 1.15949e-03	 6.35406e-04	 1.05228e-04	-4.09467e-04	-8.88649e-04	-1.31356e-03	-1.67150e-03	-1.94997e-03	-2.14296e-03	-2.24619e-03	-2.26032e-03	-2.18865e-03	-2.03727e-03	-1.81540e-03	-1.53289e-03	-1.20285e-03	-8.36936e-04	-4.50617e-04	-5.54084e-05	 3.31881e-04	 7.01032e-04	 1.03611e-03	 1.32897e-03	 1.56627e-03	 1.74331e-03	 1.85072e-03	 1.88800e-03	 1.85077e-03	 1.74339e-03	 1.56638e-03	 1.32912e-03	 1.03629e-03	 7.01222e-04	 3.32079e-04	-5.52066e-05	-4.50423e-04	-8.36756e-04	-1.20270e-03	-1.53277e-03	-1.81531e-03	-2.03721e-03	-2.18863e-03	-2.26033e-03	-2.24624e-03	-2.14304e-03	-1.95008e-03	-1.67163e-03	-1.31371e-03	-8.88810e-04	-4.09640e-04	 1.05053e-04	 6.35232e-04	 1.15933e-03	 1.65476e-03	 2.09635e-03	 2.47805e-03	 2.75932e-03	 2.93972e-03
UR 1	1.000030e-01	 7.62258e-08	-7.03054e-04	-1.20953e-03	-1.72597e-03	-2.11136e-03	-2.40344e-03	-2.60296e-03	-2.69543e-03	-2.69542e-03	-2.60178e-03	-2.42445e-03	-2.17064e-03	-1.85287e-03	-1.48121e-03	-1.07206e-03	-6.36821e-04	-1.94036e-04	 2.44169e-04	 6.58426e-04	 1.03818e-03	 1.36671e-03	 1.63574e-03	 1.83334e-03	 1.95636e-03	 1.99823e-03	 1.96172e-03	 1.84683e-03	 1.66127e-03	 1.41102e-03	 1.10787e-03	 7.62330e-04	 3.88553e-04	 1.03824e-07	-3.88346e-04	-7.62130e-04	-1.10769e-03	-1.41087e-03	-1.66115e-03	-1.84676e-03	-1.96169e-03	-1.99823e-03	-1.95640e-03	-1.83343e-03	-1.63585e-03	-1.36684e-03	-1.03833e-03	-6.58581e-04	-2.44329e-04	 1.93880e-04	 6.36675e-04	 1.07192e-03	 1.48110e-03	 1.85278e-03	 2.17059e-03	 2.42442e-03	 2.60178e-03	 2.69546e-03	 2.69550e-03	 2.60303e-03	 2.40354e-03	 2.11148e-03	 1.72611e-03	 1.20968e-03	 7.03204e-04
UR 2	1.000030e-01	-4.94558e-09	-7.26615e-03	-5.85630e-03	-2.68838e-03	-4.51480e-04	 4.51723e-04	 6.06551e-04	 4.33435e-04	 2.83381e-04	 1.73692e-04	 1.44722e-04	 1.37230e-04	 1.35829e-04	 1.44543e-04	 1.27656e-04	 1.35980e-04	 1.11225e-04	 1.19661e-04	 9.62977e-05	 1.00909e-04	 8.49642e-05	 8.24507e-05	 7.54600e-05	 6.37799e-05	 6.50105e-05	 4.56548e-05	 5.18925e-05	 2.94943e-05	 3.61882e-05	 1.61591e-05	 1.84510e-05	 4.87694e-06	-9.72979e-10	-4.88495e-06	-1.84596e-05	-1.61635e-05	-3.61934e-05	-2.94962e-05	-5.19069e-05	-4.56586e-05	-6.50034e-05	-6.37787e-05	-7.54529e-05	-8.24478e-05	-8.49749e-05	-1.00922e-04	-9.63045e-05	-1.19657e-04	-1.11229e-04	-1.35989e-04	-1.27650e-04	-1.44541e-04	-1.35832e-04	-1.37227e-04	-1.44721e-04	-1.73694e-04	-2.83383e-04	-4.33444e-04	-6.06556e-04	-4.51719e-04	 4.51481e-04	 2.68838e-03	 5.85628e-03	 7.26619e-03
U  0	2.000010e-01	 0.00000e+00	 1.86279e-05	 8.56705e-05	 1.52348e-04	 1.92532e-04	 1.47849e-04	 7.24259e-05	-1.33208e-05	-8.75508e-05	-1.16837e-04	-1.50633e-04	-1.30681e-04	-1.41701e-04	-1.05548e-04	-1.07232e-04	-7.67449e-05	-7.17251e-05	-5.58985e-05	-4.55553e-05	-4.56759e-05	-3.33969e-05	-4.30061e-05	-3.02566e-05	-3.83114e-05	-2.45079e-05	-2.33480e-05	-1.02489e-05	-2.24756e-06	 5.01897e-06	 1.06398e-05	 8.89964e-06	 6.47938e-06	 2.61471e-09	-6.47414e-06	-8.89430e-06	-1.06362e-05	-5.01545e-06	 2.24995e-06	 1.02506e-05	 2.33481e-05	 2.45095e-05	 3.83126e-05	 3.02581e-05	 4.30086e-05	 3.33978e-05	 4.56755e-05	 4.55544e-05	 5.58984e-05	 7.17247e-05	 7.67433e-05	 1.07230e-04	 1.05546e-04	 1.41700e-04	 1.30681e-04	 1.50631e-04	 1.16833e-04	 8.75477e-05	 1.33199e-05	-7.24267e-05	-1.47850e-04	-1.92531e-04	-1.52349e-04	-8.56700e-05	-1.86278e-05
U  1	2.000010e-01	 2.00090e-03	 1.68213e-03	 1.09054e-03	 6.09495e-04	 2.55012e-04	 1.18720e-04	 5.27464e-05	 2.78570e-05	 2.26514e-05	 6.41941e-06	 1.97559e-05	 1.17265e-05	 2.35878e-05	 1.11412e-05	 1.81905e-06	-2.18995e-05	-4.73086e-05	-7.21497e-05	-9.20412e-05	-1.05655e-04	-1.06205e-04	-1.08160e-04	-9.36619e-05	-9.25019e-05	-7.63815e-05	-7.78046e-05	-6.96822e-05	-7.15230e-05	-7.29094e-05	-7.02954e-05	-7.82616e-05	-7.01664e-05	-8.06078e-05	-7.01659e-05	-7.82601e-05	-7.02940e-05	-7.29101e-05	-7.15215e-05	-6.96798e-05	-7.78048e-05	-7.63805e-05	-9.24996e-05	-9.36598e-05	-1.08159e-04	-1.06203e-04	-1.05654e-04	-9.20413e-05	-7.21503e-05	-4.73101e-05	-2.18993e-05	 1.81973e-06	 1.11435e-05	 2.35896e-05	 1.17279e-05	 1.97580e-05	 6.42100e-06	 2.26523e-05	 2.78571e-05	 5.27452e-05	 1.18718e-04	 2.55010e-04	 6.09493e-04	 1.09054e-03	 1.68213e-03
U  2	2.000010e-01	 1.65764e-02	 1.59993e-02	 1.43293e-02	 1.17605e-02	 8.56996e-03	 5.06617e-03	 1.55529e-03	-1.69257e-03	-4.45259e-03	-6.56164e-03	-7.92031e-03	-8.49918e-03	-8.33003e-03	-7.50050e-03	-6.14189e-03	-4.41491e-03	-2.49440e-03	-5.55088e-04	 1.24056e-03	 2.75631e-03	 3.88759e-03	 4.56963e-03	 4.77805e-03	 4.53007e-03	 3.87715e-03	 2.90391e-03	 1.71482e-03	 4.29505e-04	-8.31030e-04	-1.95020e-03	-2.82874e-03	-3.38827e-03	-3.58056e-03	-3.38829e-03	-2.82877e-03	-1.95023e-03	-8.31061e-04	 4.29475e-04	 1.71478e-03	 2.90388e-03	 3.87715e-03	 4.53010e-03	 4.77810e-03	 4.56969e-03	 3.88766e-03	 2.75638e-03	 1.24061e-03	-5.55032e-04	-2.49434e-03	-4.41487e-03	-6.14184e-03	-7.50046e-03	-8.33002e-03	-8.49920e-03	-7.92034e-03	-6.56165e-03	-4.45265e-03	-1.69265e-03	 1.55521e-03	 5.06608e-03	 8.56984e-03	 1.17604e-02	 1.43292e-02	 1.59993e-02
UR 0	2.000010e-01	-6.96462e-02	-6.80713e-02	-6.39485e-02	-5.74086e-02	-4.90063e-02	-3.93100e-02	-2.88587e-02	-1.81166e-02	-7.59239e-03	 2.24865e-03	 1.10723e-02	 1.85643e-02	 2.45846e-02	 2.90198e-02	 3.18795e-02	 3.32301e-02	 3.31884e-02	 3.19121e-02	 2.95778e-02	 2.63742e-02	 2.24874e-02	 1.81082e-02	 1.33948e-02	 8.53264e-03	 3.65257e-03	-1.07197e-03	-5.51796e-03	-9.54225e-03	-1.30269e-02	-1.58598e-02	-1.79589e-02	-1.92395e-02	-1.96799e-02	-1.92396e-02	-1.79591e-02	-1.58599e-02	-1.30271e-02	-9.54240e-03	-5.51809e-03	-1.07216e-03	 3.65237e-03	 8.53246e-03	 1.33947e-02	 1.81082e-02	 2.24875e-02	 2.63742e-02	 2.95777e-02	 3.19120e-02	 3.31884e-02	 3.32303e-02	 3.18798e-02	 2.90201e-02	 2.45852e-02	 1.85648e-02	 1.10729e-02	 2.24954e-03	-7.59146e-03	-1.81157e-02	-2.88579e-02	-3.93092e-02	-4.90060e-02	-5.74082e-02	-6.39486e-02	-6.80711e-02
UR 1	2.000010e-01	-2.14676e-07	 1.30941e-02	 2.48725e-02	 3.46291e-02	 4.21476e-02	 4.73580e-02	 5.04998e-02	 5.17739e-02	 5.13415e-02	 4.94068e-02	 4.61772e-02	 4.17921e-02	 3.64919e-02	 3.04305e-02	 2.38578e-02	 1.69894e-02	 1.00574e-02	 3.30088e-03	-3.05897e-03	-8.81799e-03	-1.37808e-02	-1.78254e-02	-2.08139e-02	-2.27244e-02	-2.35122e-02	-2.32323e-02	-2.19411e-02	-1.97440e-02	-1.67637e-02	-1.31449e-02	-9.03542e-03	-4.60091e-03	-1.06746e-07	 4.60070e-03	 9.03528e-03	 1.31448e-02	 1.67636e-02	 1.97440e-02	 2.19412e-02	 2.32324e-02	 2.35124e-02	 2.27247e-02	 2.08141e-02	 1.78256e-02	 1.37811e-02	 8.81816e-03	 3.05911e-03	-3.30084e-03	-1.00575e-02	-1.69896e-02	-2.38580e-02	-3.04309e-02	-3.64924e-02	-4.17922e-02	-4.61779e-02	-4.94074e-02	-5.13421e-02	-5.17744e-02	-5.05002e-02	-4.73583e-02	-4.21479e-02	-3.46295e-02	-2.48729e-02	-1.30946e-02
UR 2	2.000010e-01	-5.32593e-08	-8.51421e-03	-8.54867e-03	-6.09556e-03	-2.93997e-03	-2.85697e-04	-6.61684e-08	 3.46230e-04	-2.52690e-04	-1.33346e-04	-2.93800e-04	-1.27489e-04	 5.03789e-06	-2.52273e-05	 1.60623e-04	-1.01824e-04	 6.64564e-05	-2.58763e-04	-8.83564e-05	-3.01442e-04	-1.42250e-04	-1.84177e-04	-1.03437e-04	-2.33471e-05	-7.78327e-05	 5.22381e-05	-1.14370e-04	 2.41398e-05	-1.57987e-04	-2.26920e-05	-1.21114e-04	-1.84032e-05	-1.22207e-08	 1.83916e-05	 1.21115e-04	 2.26978e-05	 1.57976e-04	-2.41615e-05	 1.14357e-04	-5.22236e-05	 7.78278e-05	 2.33383e-05	 1.03435e-04	 1.84183e-04	 1.42215e-04	 3.01432e-04	 8.83708e-05	 2.58770e-04	-6.64673e-05	 1.01805e-04	-1.60617e-04	 2.52167e-05	-5.04417e-06	 1.27463e-04	 2.93790e-04	 1.33355e-04	 2.52725e-04	-3.46213e-04	 8.42259e-08	 2.85710e-04	 2.93999e-03	 6.09556e-03	 8.54870e-03	 8.51412e-03
