,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_perturb,rim_radius,rim_shear_mod,rim_young_mod,sim_time,sim_type,sim_u2,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_paired,spk_young_mod,wheel_pickle,wheel_type
cheap_MTB_0.00,0.05,0.05,0.03,0.03,cheap_MTB_0.00,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,0.0,0.0,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.00.pkl,cheap_MTB
cheap_MTB_0.10,0.05,0.05,0.03,0.03,cheap_MTB_0.10,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,259.012865766,0.1,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.10.pkl,cheap_MTB
cheap_MTB_0.20,0.05,0.05,0.03,0.03,cheap_MTB_0.20,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,518.025731532,0.2,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.20.pkl,cheap_MTB
cheap_MTB_0.30,0.05,0.05,0.03,0.03,cheap_MTB_0.30,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,777.038597298,0.3,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.30.pkl,cheap_MTB
cheap_MTB_0.40,0.05,0.05,0.03,0.03,cheap_MTB_0.40,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,1036.05146306,0.4,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.40.pkl,cheap_MTB
cheap_MTB_0.50,0.05,0.05,0.03,0.03,cheap_MTB_0.50,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,1295.06432883,0.5,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.50.pkl,cheap_MTB
cheap_MTB_0.60,0.05,0.05,0.03,0.03,cheap_MTB_0.60,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,1554.0771946,0.6,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.60.pkl,cheap_MTB
cheap_MTB_0.70,0.05,0.05,0.03,0.03,cheap_MTB_0.70,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,1813.09006036,0.7,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.70.pkl,cheap_MTB
cheap_MTB_0.80,0.05,0.05,0.03,0.03,cheap_MTB_0.80,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,2072.10292613,0.8,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.80.pkl,cheap_MTB
cheap_MTB_0.90,0.05,0.05,0.03,0.03,cheap_MTB_0.90,4.61538461538e-10,2.89855072464e-09,2.89855072464e-09,0.0,0.0001,,0.28,26000000000.0,69000000000.0,1.0,exp,0.01,2331.11579189,0.9,0.002,beam,32.0,0.0,2.1e+11,cheap_MTB_0.90.pkl,cheap_MTB
