    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71
    	Angle ->    	 3.17601e-09	 1.74535e-01	 3.49080e-01	 5.23596e-01	 6.98144e-01	 8.72652e-01	 1.04720e+00	 1.22172e+00	 1.39626e+00	 1.57080e+00	 1.74533e+00	 1.91988e+00	 2.09439e+00	 2.26894e+00	 2.44345e+00	 2.61800e+00	 2.79251e+00	 2.96706e+00	 3.14159e+00	 3.31613e+00	 3.49067e+00	 3.66519e+00	 3.83974e+00	 4.01424e+00	 4.18879e+00	 4.36331e+00	 4.53785e+00	 4.71239e+00	 4.88692e+00	 5.06147e+00	 5.23598e+00	 5.41053e+00	 5.58504e+00	 5.75959e+00	 5.93411e+00	 6.10865e+00
DOF 	DOF        
U  2	1.000018e-01	 1.50491e-04	 1.38853e-04	 9.31830e-05	 4.11985e-05	-1.74141e-06	-3.46710e-05	-5.19929e-05	-5.64560e-05	-4.95680e-05	-3.70931e-05	-2.14548e-05	-7.85462e-06	 3.28706e-06	 9.26541e-06	 1.21081e-05	 1.11254e-05	 9.61805e-06	 7.28676e-06	 6.97813e-06	 7.29018e-06	 9.62388e-06	 1.11323e-05	 1.21131e-05	 9.26775e-06	 3.28869e-06	-7.85421e-06	-2.14546e-05	-3.70926e-05	-4.95673e-05	-5.64544e-05	-5.19914e-05	-3.46704e-05	-1.74111e-06	 4.11996e-05	 9.31819e-05	 1.38852e-04
UR 0	1.000018e-01	-1.67631e-03	-2.18155e-03	-1.22688e-03	-3.83350e-04	 2.11464e-05	 2.74285e-04	 3.34255e-04	 3.27766e-04	 2.85171e-04	 2.66007e-04	 2.67115e-04	 2.67320e-04	 2.76202e-04	 2.33784e-04	 1.97412e-04	 9.88933e-05	 4.60856e-05	-3.79010e-05	-3.18078e-05	-3.78215e-05	 4.62040e-05	 9.90143e-05	 1.97479e-04	 2.33792e-04	 2.76177e-04	 2.67306e-04	 2.67099e-04	 2.65991e-04	 2.85154e-04	 3.27741e-04	 3.34275e-04	 2.74332e-04	 2.11711e-05	-3.83299e-04	-1.22681e-03	-2.18134e-03
UR 1	1.000018e-01	-7.75409e-09	 1.70643e-04	 5.85638e-04	 7.87561e-04	 9.29553e-04	 1.04711e-03	 9.61573e-04	 8.08927e-04	 5.39511e-04	 3.06926e-04	 5.93901e-05	-6.41145e-05	-1.65178e-04	-1.56637e-04	-1.48238e-04	-8.79831e-05	-5.76090e-05	-1.96789e-05	 3.07845e-08	 1.97464e-05	 5.76847e-05	 8.80491e-05	 1.48250e-04	 1.56584e-04	 1.65089e-04	 6.40351e-05	-5.93955e-05	-3.06863e-04	-5.39435e-04	-8.08846e-04	-9.61562e-04	-1.04711e-03	-9.29562e-04	-7.87597e-04	-5.85657e-04	-1.70684e-04
UR 2	1.000018e-01	-5.04727e-08	-9.17684e-03	-5.93166e-03	-1.25341e-03	 7.46525e-04	 9.96504e-04	 7.14248e-04	 4.87124e-04	 3.86929e-04	 3.41176e-04	 3.18684e-04	 2.79773e-04	 2.45186e-04	 2.01943e-04	 1.61894e-04	 1.21599e-04	 8.03458e-05	 4.09145e-05	-4.04087e-09	-4.09149e-05	-8.03435e-05	-1.21614e-04	-1.61906e-04	-2.01941e-04	-2.45178e-04	-2.79793e-04	-3.18691e-04	-3.41174e-04	-3.86926e-04	-4.87131e-04	-7.14255e-04	-9.96499e-04	-7.46522e-04	 1.25343e-03	 5.93165e-03	 9.17676e-03
U  0	2.000010e-01	 0.00000e+00	 4.54933e-05	 2.36297e-04	 4.12861e-04	 4.09528e-04	 3.29375e-04	 2.44635e-04	 1.66179e-04	 1.33102e-04	 8.07531e-05	 5.99965e-05	 2.57060e-05	 8.32205e-06	-5.99258e-06	-1.52104e-05	-1.51451e-05	-1.42631e-05	-7.21947e-06	-2.63434e-10	 7.21902e-06	 1.42619e-05	 1.51437e-05	 1.52098e-05	 5.99173e-06	-8.32307e-06	-2.57080e-05	-5.99980e-05	-8.07552e-05	-1.33105e-04	-1.66182e-04	-2.44638e-04	-3.29376e-04	-4.09528e-04	-4.12857e-04	-2.36296e-04	-4.54931e-05
U  1	2.000010e-01	 1.99908e-03	 1.45079e-03	 6.36026e-04	 1.71989e-04	 1.17565e-04	 1.62360e-04	 2.00927e-04	 2.26015e-04	 2.26518e-04	 2.22937e-04	 2.12242e-04	 1.93028e-04	 1.74664e-04	 1.53609e-04	 1.32641e-04	 1.18654e-04	 1.01966e-04	 9.79920e-05	 9.08839e-05	 9.79901e-05	 1.01965e-04	 1.18653e-04	 1.32640e-04	 1.53607e-04	 1.74662e-04	 1.93027e-04	 2.12240e-04	 2.22936e-04	 2.26517e-04	 2.26014e-04	 2.00925e-04	 1.62359e-04	 1.17566e-04	 1.71988e-04	 6.36027e-04	 1.45080e-03
U  2	2.000010e-01	-5.94817e-03	-5.54881e-03	-4.47294e-03	-2.98500e-03	-1.41691e-03	-5.35926e-05	 9.43705e-04	 1.50769e-03	 1.66932e-03	 1.51303e-03	 1.15973e-03	 7.23108e-04	 3.02317e-04	-4.41940e-05	-2.87082e-04	-4.34321e-04	-5.05873e-04	-5.34553e-04	-5.40095e-04	-5.34568e-04	-5.05869e-04	-4.34329e-04	-2.87078e-04	-4.42116e-05	 3.02295e-04	 7.23078e-04	 1.15972e-03	 1.51301e-03	 1.66928e-03	 1.50770e-03	 9.43772e-04	-5.35427e-05	-1.41687e-03	-2.98482e-03	-4.47332e-03	-5.54878e-03
UR 0	2.000010e-01	 6.45292e-02	 5.76546e-02	 4.22395e-02	 2.53172e-02	 1.10163e-02	 1.68904e-03	-3.11590e-03	-4.69341e-03	-4.87910e-03	-4.94077e-03	-5.53349e-03	-6.59418e-03	-7.58824e-03	-8.05035e-03	-7.57912e-03	-6.43880e-03	-4.89773e-03	-3.73414e-03	-3.21107e-03	-3.73403e-03	-4.89755e-03	-6.43852e-03	-7.57883e-03	-8.05025e-03	-7.58834e-03	-6.59440e-03	-5.53380e-03	-4.94111e-03	-4.87972e-03	-4.69425e-03	-3.11726e-03	 1.68802e-03	 1.10160e-02	 2.53168e-02	 4.22384e-02	 5.76536e-02
UR 1	2.000010e-01	-1.29975e-08	-4.43624e-03	-1.05656e-02	-1.85325e-02	-2.63390e-02	-3.18829e-02	-3.39434e-02	-3.17741e-02	-2.64056e-02	-1.90157e-02	-1.16006e-02	-5.28737e-03	-1.04364e-03	 1.21228e-03	 1.77804e-03	 1.50210e-03	 8.87597e-04	 3.86248e-04	-4.67825e-09	-3.86228e-04	-8.87555e-04	-1.50201e-03	-1.77798e-03	-1.21249e-03	 1.04327e-03	 5.28686e-03	 1.16002e-02	 1.90159e-02	 2.64066e-02	 3.17754e-02	 3.39458e-02	 3.18846e-02	 2.63396e-02	 1.85333e-02	 1.05659e-02	 4.43635e-03
UR 2	2.000010e-01	 4.46429e-08	-1.49834e-02	-1.26948e-02	-4.24019e-03	 1.09635e-03	 1.47186e-03	 1.46315e-03	 8.56633e-04	 7.38193e-04	 7.38686e-04	 5.34138e-04	 6.25902e-04	 3.76188e-04	 4.29646e-04	 2.63286e-04	 2.43486e-04	 1.44779e-04	 7.82478e-05	 2.86413e-08	-7.82465e-05	-1.44801e-04	-2.43460e-04	-2.63278e-04	-4.29664e-04	-3.76200e-04	-6.25896e-04	-5.34145e-04	-7.38703e-04	-7.38192e-04	-8.56602e-04	-1.46316e-03	-1.47183e-03	-1.09633e-03	 4.24017e-03	 1.26946e-02	 1.49834e-02
U  0	3.000003e-01	 0.00000e+00	 2.87325e-05	 1.51550e-04	 2.99893e-04	 3.27775e-04	 3.18249e-04	 2.24325e-04	 8.77178e-05	 5.27317e-05	-1.51396e-05	 1.81829e-05	-1.14593e-05	-1.77723e-06	-9.93656e-06	-1.52842e-05	-9.68085e-06	-1.27123e-05	-4.32728e-06	-2.08040e-08	 4.28632e-06	 1.26724e-05	 9.64446e-06	 1.52528e-05	 9.90834e-06	 1.75347e-06	 1.14368e-05	-1.82075e-05	 1.50975e-05	-5.27911e-05	-8.77531e-05	-2.24340e-04	-3.18239e-04	-3.27763e-04	-2.99863e-04	-1.51541e-04	-2.87294e-05
U  1	3.000003e-01	 3.00150e-03	 2.52072e-03	 1.68274e-03	 9.28601e-04	 5.15170e-04	 2.71749e-04	 2.00012e-04	 2.10517e-04	 2.05331e-04	 2.05008e-04	 1.95560e-04	 1.66984e-04	 1.48698e-04	 1.20677e-04	 9.71232e-05	 8.85855e-05	 6.55589e-05	 7.29289e-05	 5.54127e-05	 7.29205e-05	 6.55468e-05	 8.85635e-05	 9.70932e-05	 1.20639e-04	 1.48655e-04	 1.66939e-04	 1.95511e-04	 2.04962e-04	 2.05285e-04	 2.10474e-04	 1.99967e-04	 2.71703e-04	 5.15119e-04	 9.28540e-04	 1.68275e-03	 2.52070e-03
U  2	3.000003e-01	-1.90842e-02	-1.79735e-02	-1.49198e-02	-1.06094e-02	-5.88530e-03	-1.55490e-03	 1.82177e-03	 3.96481e-03	 4.87669e-03	 4.74745e-03	 3.90124e-03	 2.68011e-03	 1.39044e-03	 2.42883e-04	-6.46556e-04	-1.25724e-03	-1.62276e-03	-1.80769e-03	-1.86168e-03	-1.80770e-03	-1.62274e-03	-1.25729e-03	-6.46692e-04	 2.42623e-04	 1.39003e-03	 2.67963e-03	 3.90062e-03	 4.74697e-03	 4.87636e-03	 3.96481e-03	 1.82204e-03	-1.55448e-03	-5.88470e-03	-1.06087e-02	-1.49198e-02	-1.79732e-02
UR 0	3.000003e-01	 1.80272e-01	 1.64914e-01	 1.27250e-01	 8.42413e-02	 4.45520e-02	 1.61882e-02	 6.93909e-05	-6.66636e-03	-8.75116e-03	-9.74829e-03	-1.21355e-02	-1.60911e-02	-2.02528e-02	-2.30877e-02	-2.35376e-02	-2.18177e-02	-1.88045e-02	-1.62387e-02	-1.51270e-02	-1.62378e-02	-1.88033e-02	-2.18155e-02	-2.35353e-02	-2.30863e-02	-2.02524e-02	-1.60920e-02	-1.21373e-02	-9.75064e-03	-8.75491e-03	-6.67251e-03	 6.00061e-05	 1.61784e-02	 4.45447e-02	 8.42319e-02	 1.27237e-01	 1.64910e-01
UR 1	3.000003e-01	 2.47675e-06	-1.18102e-02	-2.80829e-02	-4.92636e-02	-7.26013e-02	-9.14925e-02	-1.01168e-01	-9.89582e-02	-8.68310e-02	-6.62466e-02	-4.43465e-02	-2.45335e-02	-1.01054e-02	-1.58138e-03	 1.97208e-03	 2.49988e-03	 1.68061e-03	 7.57864e-04	 7.99593e-08	-7.57756e-04	-1.68075e-03	-2.49999e-03	-1.97269e-03	 1.57955e-03	 1.01015e-02	 2.45267e-02	 4.43383e-02	 6.62396e-02	 8.68279e-02	 9.89615e-02	 1.01176e-01	 9.15000e-02	 7.26047e-02	 4.92700e-02	 2.80901e-02	 1.18157e-02
UR 2	3.000003e-01	 9.33346e-08	-1.07589e-02	-1.17240e-02	-8.02285e-03	-4.86460e-03	-3.36834e-03	-1.14597e-04	 1.18293e-04	 6.50559e-04	 6.01676e-04	 2.94940e-04	 6.82583e-04	 4.47281e-05	 3.94729e-04	 2.27107e-06	 2.01223e-04	 3.90940e-05	 6.60653e-05	 5.96396e-08	-6.59349e-05	-3.89715e-05	-2.01034e-04	-2.15886e-06	-3.94566e-04	-4.46695e-05	-6.82317e-04	-2.95102e-04	-6.02157e-04	-6.50712e-04	-1.17783e-04	 1.14905e-04	 3.36880e-03	 4.86494e-03	 8.02351e-03	 1.17244e-02	 1.07592e-02
