    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79	          81	          83	          85	          87	          89	          91	          93	          95
    	Angle ->    	 3.32226e-09	 1.30901e-01	 2.61804e-01	 3.92703e-01	 5.23605e-01	 6.54505e-01	 7.85398e-01	 9.16292e-01	 1.04719e+00	 1.17809e+00	 1.30899e+00	 1.43990e+00	 1.57080e+00	 1.70170e+00	 1.83260e+00	 1.96350e+00	 2.09440e+00	 2.22530e+00	 2.35619e+00	 2.48709e+00	 2.61799e+00	 2.74889e+00	 2.87979e+00	 3.01069e+00	 3.14159e+00	 3.27249e+00	 3.40340e+00	 3.53430e+00	 3.66520e+00	 3.79610e+00	 3.92699e+00	 4.05788e+00	 4.18878e+00	 4.31969e+00	 4.45058e+00	 4.58149e+00	 4.71239e+00	 4.84329e+00	 4.97419e+00	 5.10509e+00	 5.23599e+00	 5.36689e+00	 5.49779e+00	 5.62868e+00	 5.75958e+00	 5.89048e+00	 6.02138e+00	 6.15228e+00
DOF 	DOF        
U  0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 0	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 1	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
UR 2	0.000000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00	 0.00000e+00
U  0	1.000022e-01	 0.00000e+00	 6.00831e-06	 5.47288e-05	 1.34454e-04	 2.05829e-04	 2.36973e-04	 2.27440e-04	 1.96661e-04	 1.60157e-04	 1.27006e-04	 9.88261e-05	 7.48895e-05	 5.42003e-05	 3.58378e-05	 2.01450e-05	 6.97531e-06	-3.24074e-06	-1.06371e-05	-1.51520e-05	-1.70655e-05	-1.66471e-05	-1.42685e-05	-1.03902e-05	-5.45644e-06	-2.54765e-10	 5.45597e-06	 1.03896e-05	 1.42680e-05	 1.66469e-05	 1.70650e-05	 1.51517e-05	 1.06369e-05	 3.24052e-06	-6.97558e-06	-2.01450e-05	-3.58376e-05	-5.42000e-05	-7.48891e-05	-9.88262e-05	-1.27005e-04	-1.60157e-04	-1.96661e-04	-2.27439e-04	-2.36972e-04	-2.05830e-04	-1.34454e-04	-5.47289e-05	-6.00820e-06
U  1	1.000022e-01	 9.99728e-04	 8.57380e-04	 5.81814e-04	 3.24661e-04	 1.63879e-04	 1.05320e-04	 1.06986e-04	 1.26385e-04	 1.44104e-04	 1.54343e-04	 1.58102e-04	 1.57244e-04	 1.53067e-04	 1.46319e-04	 1.37560e-04	 1.27254e-04	 1.16052e-04	 1.04466e-04	 9.31602e-05	 8.26013e-05	 7.32846e-05	 6.56201e-05	 5.98629e-05	 5.63498e-05	 5.51499e-05	 5.63490e-05	 5.98628e-05	 6.56207e-05	 7.32843e-05	 8.26014e-05	 9.31604e-05	 1.04467e-04	 1.16051e-04	 1.27254e-04	 1.37559e-04	 1.46319e-04	 1.53066e-04	 1.57244e-04	 1.58102e-04	 1.54342e-04	 1.44104e-04	 1.26385e-04	 1.06986e-04	 1.05319e-04	 1.63877e-04	 3.24658e-04	 5.81826e-04	 8.57381e-04
