    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79	          81	          83	          85	          87	          89	          91	          93	          95
    	Angle ->    	 3.33159e-09	 1.30900e-01	 2.61803e-01	 3.92702e-01	 5.23604e-01	 6.54504e-01	 7.85398e-01	 9.16292e-01	 1.04719e+00	 1.17809e+00	 1.30899e+00	 1.43990e+00	 1.57080e+00	 1.70170e+00	 1.83260e+00	 1.96350e+00	 2.09440e+00	 2.22530e+00	 2.35619e+00	 2.48709e+00	 2.61799e+00	 2.74889e+00	 2.87979e+00	 3.01069e+00	 3.14159e+00	 3.27249e+00	 3.40340e+00	 3.53429e+00	 3.66520e+00	 3.79610e+00	 3.92699e+00	 4.05789e+00	 4.18879e+00	 4.31969e+00	 4.45059e+00	 4.58149e+00	 4.71239e+00	 4.84329e+00	 4.97419e+00	 5.10509e+00	 5.23599e+00	 5.36689e+00	 5.49779e+00	 5.62868e+00	 5.75958e+00	 5.89048e+00	 6.02138e+00	 6.15229e+00
DOF 	DOF        
U  2	1.000002e-01	-2.02065e-04	-1.82919e-04	-1.52709e-04	-1.07942e-04	-5.68325e-05	-8.47113e-06	 3.40100e-05	 6.48764e-05	 8.31595e-05	 8.79390e-05	 8.12773e-05	 6.52427e-05	 4.39852e-05	 2.04605e-05	-1.16710e-06	-1.88905e-05	-3.01734e-05	-3.50496e-05	-3.31375e-05	-2.64449e-05	-1.61596e-05	-5.26600e-06	 4.75045e-06	 1.12934e-05	 1.38634e-05	 1.12922e-05	 4.74825e-06	-5.26856e-06	-1.61617e-05	-2.64457e-05	-3.31358e-05	-3.50455e-05	-3.01664e-05	-1.88812e-05	-1.15625e-06	 2.04716e-05	 4.39951e-05	 6.52491e-05	 8.12773e-05	 8.79325e-05	 8.31448e-05	 6.48543e-05	 3.39812e-05	-8.50385e-06	-5.68661e-05	-1.07973e-04	-1.52733e-04	-1.82931e-04
UR 0	1.000002e-01	 1.31265e-03	 1.21526e-03	 1.10451e-03	 9.63791e-04	 7.36104e-04	 5.00460e-04	 2.54127e-04	 1.35089e-05	-1.94758e-04	-3.64814e-04	-4.88206e-04	-5.59222e-04	-5.82475e-04	-5.62096e-04	-5.06332e-04	-4.26428e-04	-3.29717e-04	-2.28985e-04	-1.27584e-04	-3.69189e-05	 4.44597e-05	 1.06990e-04	 1.55711e-04	 1.82150e-04	 1.93533e-04	 1.82132e-04	 1.55681e-04	 1.06959e-04	 4.44252e-05	-3.69577e-05	-1.27623e-04	-2.29018e-04	-3.29742e-04	-4.26443e-04	-5.06331e-04	-5.62064e-04	-5.82408e-04	-5.59108e-04	-4.88035e-04	-3.64582e-04	-1.94467e-04	 1.38619e-05	 2.54501e-04	 5.00839e-04	 7.36473e-04	 9.64127e-04	 1.10476e-03	 1.21547e-03
UR 1	1.000002e-01	-1.70852e-07	-5.31504e-04	-6.93480e-04	-9.61911e-04	-1.05968e-03	-1.09315e-03	-1.08436e-03	-1.01562e-03	-9.21811e-04	-8.00050e-04	-6.65122e-04	-5.16993e-04	-3.67995e-04	-2.16609e-04	-7.67471e-05	 5.27727e-05	 1.58142e-04	 2.40854e-04	 2.90165e-04	 3.09753e-04	 2.94535e-04	 2.51444e-04	 1.82079e-04	 9.59310e-05	-1.68217e-08	-9.59620e-05	-1.82108e-04	-2.51456e-04	-2.94530e-04	-3.09724e-04	-2.90112e-04	-2.40779e-04	-1.58054e-04	-5.26761e-05	 7.68461e-05	 2.16697e-04	 3.68053e-04	 5.17016e-04	 6.65111e-04	 7.99999e-04	 9.21706e-04	 1.01546e-03	 1.08418e-03	 1.09295e-03	 1.05944e-03	 9.61646e-04	 6.93171e-04	 5.31160e-04
UR 2	1.000002e-01	-3.27951e-08	-1.03466e-02	-8.44347e-03	-3.86022e-03	-5.45422e-04	 8.66643e-04	 1.10546e-03	 8.60979e-04	 5.89397e-04	 4.12434e-04	 3.31460e-04	 3.08945e-04	 2.91376e-04	 2.84460e-04	 2.58476e-04	 2.39014e-04	 2.09282e-04	 1.83530e-04	 1.57304e-04	 1.28791e-04	 1.05622e-04	 7.64964e-05	 5.33388e-05	 2.53866e-05	-1.11229e-08	-2.53996e-05	-5.33573e-05	-7.64697e-05	-1.05607e-04	-1.28770e-04	-1.57336e-04	-1.83516e-04	-2.09299e-04	-2.38997e-04	-2.58478e-04	-2.84451e-04	-2.91402e-04	-3.08945e-04	-3.31466e-04	-4.12414e-04	-5.89412e-04	-8.60972e-04	-1.10548e-03	-8.66621e-04	 5.45417e-04	 3.86028e-03	 8.44345e-03	 1.03466e-02
U  0	2.000005e-01	 0.00000e+00	 3.42289e-05	 1.72673e-04	 3.00703e-04	 3.55478e-04	 3.24195e-04	 2.58066e-04	 1.98786e-04	 1.42686e-04	 1.19438e-04	 8.53761e-05	 7.43365e-05	 4.91385e-05	 3.57418e-05	 1.92340e-05	 4.65051e-06	-3.01313e-06	-1.41845e-05	-1.54829e-05	-1.95760e-05	-1.72434e-05	-1.48433e-05	-1.06319e-05	-5.29084e-06	 3.37900e-09	 5.29735e-06	 1.06386e-05	 1.48511e-05	 1.72513e-05	 1.95826e-05	 1.54877e-05	 1.41889e-05	 3.01882e-06	-4.64439e-06	-1.92297e-05	-3.57411e-05	-4.91377e-05	-7.43369e-05	-8.53761e-05	-1.19441e-04	-1.42690e-04	-1.98794e-04	-2.58074e-04	-3.24205e-04	-3.55482e-04	-3.00709e-04	-1.72674e-04	-3.42277e-05
U  1	2.000005e-01	 1.99909e-03	 1.44153e-03	 6.39736e-04	 1.91094e-04	 3.10367e-05	 4.20802e-05	 9.43795e-05	 1.31701e-04	 1.60520e-04	 1.65746e-04	 1.71298e-04	 1.66723e-04	 1.60369e-04	 1.51223e-04	 1.39597e-04	 1.27159e-04	 1.16355e-04	 1.02172e-04	 9.37676e-05	 8.04468e-05	 7.33329e-05	 6.43620e-05	 5.84568e-05	 5.59761e-05	 5.30309e-05	 5.59793e-05	 5.84596e-05	 6.43636e-05	 7.33318e-05	 8.04501e-05	 9.37735e-05	 1.02177e-04	 1.16360e-04	 1.27165e-04	 1.39602e-04	 1.51229e-04	 1.60377e-04	 1.66731e-04	 1.71305e-04	 1.65754e-04	 1.60525e-04	 1.31705e-04	 9.43818e-05	 4.20832e-05	 3.10436e-05	 1.91108e-04	 6.39756e-04	 1.44156e-03
U  2	2.000005e-01	 3.99053e-03	 3.77363e-03	 3.14197e-03	 2.23989e-03	 1.21260e-03	 1.98574e-04	-6.78326e-04	-1.33661e-03	-1.72765e-03	-1.84572e-03	-1.71638e-03	-1.39566e-03	-9.53558e-04	-4.67980e-04	-9.75448e-06	 3.61803e-04	 6.09351e-04	 7.15945e-04	 6.89214e-04	 5.53762e-04	 3.50397e-04	 1.24619e-04	-7.61903e-05	-2.14425e-04	-2.63126e-04	-2.14421e-04	-7.61849e-05	 1.24625e-04	 3.50402e-04	 5.53768e-04	 6.89215e-04	 7.15948e-04	 6.09349e-04	 3.61795e-04	-9.76528e-06	-4.67996e-04	-9.53577e-04	-1.39567e-03	-1.71636e-03	-1.84569e-03	-1.72765e-03	-1.33663e-03	-6.78306e-04	 1.98620e-04	 1.21268e-03	 2.23997e-03	 3.14205e-03	 3.77365e-03
UR 0	2.000005e-01	-2.94024e-02	-2.86497e-02	-2.60824e-02	-2.21537e-02	-1.74102e-02	-1.21053e-02	-6.67755e-03	-1.48199e-03	 3.16854e-03	 6.96399e-03	 9.73890e-03	 1.14306e-02	 1.20645e-02	 1.17632e-02	 1.07028e-02	 9.08603e-03	 7.13153e-03	 5.03360e-03	 2.97177e-03	 1.06586e-03	-5.79166e-04	-1.90565e-03	-2.86522e-03	-3.45221e-03	-3.64463e-03	-3.45226e-03	-2.86535e-03	-1.90582e-03	-5.79401e-04	 1.06558e-03	 2.97156e-03	 5.03346e-03	 7.13147e-03	 9.08607e-03	 1.07028e-02	 1.17633e-02	 1.20646e-02	 1.14306e-02	 9.73889e-03	 6.96394e-03	 3.16846e-03	-1.48214e-03	-6.67796e-03	-1.21057e-02	-1.74106e-02	-2.21539e-02	-2.60828e-02	-2.86498e-02
UR 1	2.000005e-01	 4.32950e-07	 7.68367e-03	 1.39631e-02	 1.79952e-02	 2.04928e-02	 2.15036e-02	 2.12957e-02	 2.02056e-02	 1.84046e-02	 1.60938e-02	 1.34100e-02	 1.04930e-02	 7.45107e-03	 4.42638e-03	 1.52722e-03	-1.08519e-03	-3.29436e-03	-4.97535e-03	-6.04687e-03	-6.43969e-03	-6.15797e-03	-5.24734e-03	-3.81623e-03	-2.00626e-03	 3.52299e-08	 2.00631e-03	 3.81627e-03	 5.24728e-03	 6.15775e-03	 6.43947e-03	 6.04661e-03	 4.97505e-03	 3.29408e-03	 1.08494e-03	-1.52742e-03	-4.42663e-03	-7.45137e-03	-1.04932e-02	-1.34103e-02	-1.60940e-02	-1.84050e-02	-2.02059e-02	-2.12960e-02	-2.15037e-02	-2.04928e-02	-1.79950e-02	-1.39626e-02	-7.68291e-03
UR 2	2.000005e-01	-5.50284e-07	-2.03244e-02	-1.68187e-02	-7.51817e-03	-1.34382e-03	 1.71786e-03	 1.90200e-03	 1.62965e-03	 9.93507e-04	 7.03231e-04	 6.03580e-04	 4.64839e-04	 5.68019e-04	 3.98605e-04	 4.84871e-04	 3.38254e-04	 3.66318e-04	 2.95088e-04	 2.44010e-04	 2.42332e-04	 1.38577e-04	 1.58862e-04	 5.60503e-05	 5.42010e-05	-5.89373e-08	-5.42298e-05	-5.60031e-05	-1.58820e-04	-1.38602e-04	-2.42446e-04	-2.44051e-04	-2.95077e-04	-3.66305e-04	-3.38241e-04	-4.84975e-04	-3.98674e-04	-5.68025e-04	-4.64848e-04	-6.03590e-04	-7.03242e-04	-9.93639e-04	-1.62974e-03	-1.90202e-03	-1.71779e-03	 1.34396e-03	 7.51841e-03	 1.68186e-02	 2.03245e-02
