,hub_diam1,hub_diam2,hub_width1,hub_width2,jobname,rim_I11,rim_I22,rim_I33,rim_Iw,rim_area,rim_height,rim_perturb,rim_profile,rim_radius,rim_shear_mod,rim_thick,rim_width,rim_young_mod,spk_T,spk_Tn,spk_diameter,spk_eltype,spk_num,spk_offset,spk_paired,spk_young_mod,wheel_pickle
Klat_offset_0.000_Tn_0.60,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.60,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2302.0260000000003,0.6000000000000001,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.60.pkl
Klat_offset_0.000_Tn_0.65,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.65,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2493.8615,0.65,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.65.pkl
Klat_offset_0.000_Tn_0.70,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.70,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2685.697,0.7000000000000001,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.70.pkl
Klat_offset_0.000_Tn_0.75,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.75,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,2877.5325000000003,0.75,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.75.pkl
Klat_offset_0.000_Tn_0.80,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.80,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3069.3680000000004,0.8,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.80.pkl
Klat_offset_0.000_Tn_0.85,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.85,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3261.2035000000005,0.8500000000000001,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.85.pkl
Klat_offset_0.000_Tn_0.90,0.05,0.05,0.025,0.025,Klat_offset_0.000_Tn_0.90,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,3453.039,0.9,0.002,beam,36.0,0.0,0.0,200000000000.0,Klat_offset_0.000_Tn_0.90.pkl
Klat_offset_0.010_Tn_0.00,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.00,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,0.0,0.0,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.00.pkl
Klat_offset_0.010_Tn_0.05,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.05,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,416.92120000000006,0.05,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.05.pkl
Klat_offset_0.010_Tn_0.10,0.05,0.05,0.025,0.025,Klat_offset_0.010_Tn_0.10,3.764705882352941e-09,1.0137416666666666e-07,1.0366666666666666e-09,0.0,0.00017,0.005,,box,0.3,26000000000.0,0.001,0.08,69000000000.0,833.8424000000001,0.1,0.002,beam,36.0,0.01,0.0,200000000000.0,Klat_offset_0.010_Tn_0.10.pkl
