    	Node label->	           1	           4	           7	          10	          13	          16	          19	          22	          25	          28	          31	          34	          37	          40	          43	          46	          49	          52	          55	          58	          61	          64	          67	          70
    	Angle ->    	 3.33333e-09	 2.61798e-01	 5.23595e-01	 7.85398e-01	 1.04720e+00	 1.30900e+00	 1.57080e+00	 1.83259e+00	 2.09439e+00	 2.35619e+00	 2.61800e+00	 2.87979e+00	 3.14159e+00	 3.40339e+00	 3.66519e+00	 3.92699e+00	 4.18879e+00	 4.45059e+00	 4.71239e+00	 4.97419e+00	 5.23598e+00	 5.49779e+00	 5.75959e+00	 6.02139e+00
DOF 	DOF        
U  0	2.000021e-01	 0.00000e+00	 1.38340e-04	 3.99622e-04	 4.23653e-04	 3.02927e-04	 1.88591e-04	 1.11725e-04	 5.79699e-05	 1.95655e-05	-3.52512e-06	-1.19213e-05	-8.99115e-06	 1.51015e-10	 8.99134e-06	 1.19213e-05	 3.52526e-06	-1.95652e-05	-5.79697e-05	-1.11724e-04	-1.88591e-04	-3.02927e-04	-4.23653e-04	-3.99623e-04	-1.38340e-04
U  1	2.000021e-01	 1.89209e-03	 9.02070e-04	 1.88140e-04	 1.24791e-04	 2.03565e-04	 2.41171e-04	 2.41846e-04	 2.24946e-04	 1.98404e-04	 1.68328e-04	 1.41325e-04	 1.22870e-04	 1.16312e-04	 1.22870e-04	 1.41325e-04	 1.68329e-04	 1.98405e-04	 2.24946e-04	 2.41847e-04	 2.41172e-04	 2.03565e-04	 1.24792e-04	 1.88141e-04	 9.02070e-04
U  2	2.000021e-01	 1.71627e-05	 1.47584e-05	 9.27677e-06	 3.15909e-06	-1.91295e-06	-4.99992e-06	-6.01744e-06	-5.44267e-06	-3.99198e-06	-2.33957e-06	-9.53866e-07	-7.28083e-08	 2.24747e-07	-7.36402e-08	-9.55254e-07	-2.34109e-06	-3.99341e-06	-5.44388e-06	-6.01821e-06	-5.00018e-06	-1.91255e-06	 3.16002e-06	 9.27799e-06	 1.47592e-05
UR 0	2.000021e-01	-3.32635e-04	-2.73267e-04	-1.86371e-04	-1.13609e-04	-6.01464e-05	-2.38164e-05	-1.49478e-06	 1.06501e-05	 1.67477e-05	 2.04452e-05	 2.37304e-05	 2.65289e-05	 2.76767e-05	 2.65265e-05	 2.37251e-05	 2.04378e-05	 1.67406e-05	 1.06442e-05	-1.50020e-06	-2.38227e-05	-6.01538e-05	-1.13614e-04	-1.86373e-04	-2.73289e-04
UR 1	2.000021e-01	 5.48088e-09	-1.20464e-05	-1.77876e-05	-8.73084e-06	 1.59755e-06	 1.01524e-05	 1.51344e-05	 1.58915e-05	 1.29081e-05	 7.90752e-06	 3.28987e-06	 7.23775e-07	-5.60761e-09	-7.34115e-07	-3.29820e-06	-7.91441e-06	-1.29146e-05	-1.58980e-05	-1.51402e-05	-1.01575e-05	-1.60111e-06	 8.72892e-06	 1.77874e-05	 1.20615e-05
UR 2	2.000021e-01	-5.93470e-08	-1.53858e-02	-4.45062e-03	 1.32955e-03	 1.87438e-03	 1.21440e-03	 8.02764e-04	 6.36896e-04	 5.27149e-04	 4.05119e-04	 2.71565e-04	 1.35768e-04	-2.20985e-09	-1.35774e-04	-2.71564e-04	-4.05112e-04	-5.27157e-04	-6.36899e-04	-8.02770e-04	-1.21442e-03	-1.87438e-03	-1.32954e-03	 4.45061e-03	 1.53858e-02
U  0	3.000031e-01	 0.00000e+00	 2.02830e-04	 5.92523e-04	 6.28757e-04	 4.48444e-04	 2.78435e-04	 1.64826e-04	 8.55621e-05	 2.88971e-05	-5.21429e-06	-1.76169e-05	-1.32872e-05	 9.64574e-10	 1.32890e-05	 1.76188e-05	 5.21589e-06	-2.88957e-05	-8.55616e-05	-1.64825e-04	-2.78431e-04	-4.48445e-04	-6.28755e-04	-5.92515e-04	-2.02832e-04
U  1	3.000031e-01	 2.83892e-03	 1.35079e-03	 2.77760e-04	 1.82661e-04	 3.00410e-04	 3.56378e-04	 3.57364e-04	 3.32397e-04	 2.93198e-04	 2.48753e-04	 2.08851e-04	 1.81572e-04	 1.71891e-04	 1.81573e-04	 2.08851e-04	 2.48754e-04	 2.93199e-04	 3.32398e-04	 3.57366e-04	 3.56380e-04	 3.00412e-04	 1.82662e-04	 2.77762e-04	 1.35080e-03
U  2	3.000031e-01	 3.75425e-05	 3.28450e-05	 2.20258e-05	 9.70818e-06	-8.48794e-07	-7.67432e-06	-1.04497e-05	-9.96385e-06	-7.52584e-06	-4.44473e-06	-1.70818e-06	 1.02265e-07	 7.27634e-07	 1.01838e-07	-1.70849e-06	-4.44412e-06	-7.52415e-06	-9.96103e-06	-1.04462e-05	-7.67058e-06	-8.45221e-07	 9.71109e-06	 2.20280e-05	 3.28467e-05
UR 0	3.000031e-01	-5.67343e-04	-4.70685e-04	-3.33000e-04	-2.09837e-04	-1.16587e-04	-5.23733e-05	-1.22638e-05	 1.04548e-05	 2.30040e-05	 3.14312e-05	 3.87665e-05	 4.46263e-05	 4.69437e-05	 4.46202e-05	 3.87560e-05	 3.14164e-05	 2.29914e-05	 1.04473e-05	-1.22697e-05	-5.23781e-05	-1.16590e-04	-2.09844e-04	-3.33004e-04	-4.70745e-04
