    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71	          73	          75	          77	          79
    	Angle ->    	 3.69290e-08	 1.57077e-01	 3.14156e-01	 4.71250e-01	 6.28321e-01	 7.85398e-01	 9.42476e-01	 1.09955e+00	 1.25664e+00	 1.41372e+00	 1.57080e+00	 1.72787e+00	 1.88495e+00	 2.04205e+00	 2.19912e+00	 2.35619e+00	 2.51327e+00	 2.67034e+00	 2.82744e+00	 2.98452e+00	 3.14159e+00	 3.29867e+00	 3.45575e+00	 3.61284e+00	 3.76991e+00	 3.92699e+00	 4.08407e+00	 4.24114e+00	 4.39823e+00	 4.55531e+00	 4.71239e+00	 4.86947e+00	 5.02654e+00	 5.18364e+00	 5.34071e+00	 5.49779e+00	 5.65486e+00	 5.81194e+00	 5.96903e+00	 6.12611e+00
DOF 	DOF        
U  2	1.000027e-01	-5.28963e-06	-5.27681e-06	-5.18098e-06	-4.72233e-06	-4.00761e-06	-3.15574e-06	-2.18838e-06	-1.15856e-06	-1.34346e-07	 7.86468e-07	 1.50217e-06	 1.92518e-06	 1.99717e-06	 1.70295e-06	 1.07725e-06	 2.01031e-07	-8.04082e-07	-1.79668e-06	-2.63322e-06	-3.19109e-06	-3.38783e-06	-3.19425e-06	-2.63921e-06	-1.80512e-06	-8.14354e-07	 1.89756e-07	 1.06596e-06	 1.69282e-06	 1.98899e-06	 1.91920e-06	 1.49833e-06	 7.84904e-07	-1.33601e-07	-1.15561e-06	-2.18361e-06	-3.15068e-06	-4.00347e-06	-4.71962e-06	-5.17956e-06	-5.27626e-06
UR 0	1.000027e-01	-2.89440e-04	-2.59517e-04	-2.00497e-04	-1.45925e-04	-1.01894e-04	-6.71850e-05	-4.01917e-05	-1.88476e-05	-3.59313e-06	 6.54178e-06	 1.23487e-05	 1.45536e-05	 1.38941e-05	 1.11968e-05	 7.33933e-06	 3.14289e-06	-7.38908e-07	-3.89320e-06	-6.13461e-06	-7.44500e-06	-7.87361e-06	-7.45116e-06	-6.14541e-06	-3.90723e-06	-7.54204e-07	 3.12505e-06	 7.31763e-06	 1.11730e-05	 1.38691e-05	 1.45237e-05	 1.23020e-05	 6.45937e-06	-3.73109e-06	-1.90638e-05	-4.05130e-05	-6.74958e-05	-1.02142e-04	-1.46095e-04	-2.00608e-04	-2.59578e-04
UR 1	1.000027e-01	 5.29724e-09	-3.90322e-05	-6.99571e-05	-8.87785e-05	-9.49450e-05	-9.47960e-05	-9.18162e-05	-8.58086e-05	-7.91010e-05	-7.20288e-05	-6.47822e-05	-5.75411e-05	-5.05511e-05	-4.39915e-05	-3.78851e-05	-3.20870e-05	-2.63377e-05	-2.03644e-05	-1.39707e-05	-7.14206e-06	-3.42371e-08	 7.07617e-06	 1.39079e-05	 2.03054e-05	 2.62888e-05	 3.20522e-05	 3.78757e-05	 4.40229e-05	 5.06194e-05	 5.76486e-05	 6.49365e-05	 7.22355e-05	 7.93678e-05	 8.61370e-05	 9.22142e-05	 9.51185e-05	 9.51614e-05	 8.88972e-05	 7.00157e-05	 3.90562e-05
UR 2	1.000027e-01	 2.66756e-08	-1.60833e-02	-1.07482e-02	-3.31379e-03	 6.21916e-04	 1.62642e-03	 1.38849e-03	 9.59281e-04	 6.84241e-04	 5.62249e-04	 5.11840e-04	 4.75979e-04	 4.33532e-04	 3.83143e-04	 3.28881e-04	 2.73254e-04	 2.17832e-04	 1.63279e-04	 1.08767e-04	 5.42975e-05	 5.46092e-08	-5.41383e-05	-1.08692e-04	-1.63402e-04	-2.18022e-04	-2.73389e-04	-3.28904e-04	-3.83063e-04	-4.33458e-04	-4.75997e-04	-5.11891e-04	-5.62338e-04	-6.84301e-04	-9.59252e-04	-1.38838e-03	-1.62628e-03	-6.21794e-04	 3.31382e-03	 1.07481e-02	 1.60832e-02
U  0	2.000020e-01	 0.00000e+00	 7.95669e-05	 3.55832e-04	 5.73407e-04	 6.04182e-04	 5.12253e-04	 3.93819e-04	 2.96238e-04	 2.24190e-04	 1.67546e-04	 1.18482e-04	 7.48184e-05	 3.74991e-05	 7.96079e-06	-1.31087e-05	-2.58317e-05	-3.08466e-05	-2.93064e-05	-2.25492e-05	-1.21875e-05	 2.26014e-09	 1.21931e-05	 2.25489e-05	 2.93049e-05	 3.08486e-05	 2.58297e-05	 1.31082e-05	-7.95308e-06	-3.75060e-05	-7.48212e-05	-1.18484e-04	-1.67547e-04	-2.24189e-04	-2.96233e-04	-3.93820e-04	-5.12254e-04	-6.04185e-04	-5.73407e-04	-3.55832e-04	-7.95657e-05
U  1	2.000020e-01	 3.20301e-03	 2.07675e-03	 7.64455e-04	 1.72636e-04	 8.97186e-05	 1.76136e-04	 2.60982e-04	 3.06541e-04	 3.23140e-04	 3.23997e-04	 3.15357e-04	 2.99414e-04	 2.77639e-04	 2.51925e-04	 2.24432e-04	 1.97208e-04	 1.72204e-04	 1.50924e-04	 1.34754e-04	 1.24680e-04	 1.21216e-04	 1.24672e-04	 1.34764e-04	 1.50931e-04	 1.72203e-04	 1.97210e-04	 2.24434e-04	 2.51923e-04	 2.77642e-04	 2.99416e-04	 3.15359e-04	 3.23999e-04	 3.23142e-04	 3.06544e-04	 2.60984e-04	 1.76136e-04	 8.97178e-05	 1.72631e-04	 7.64460e-04	 2.07675e-03
U  2	2.000020e-01	-1.38743e-05	-1.36495e-05	-1.29940e-05	-1.11437e-05	-8.74106e-06	-6.33438e-06	-3.98136e-06	-1.75479e-06	 2.85770e-07	 2.01378e-06	 3.28495e-06	 3.96829e-06	 3.97502e-06	 3.28887e-06	 1.98200e-06	 2.10893e-07	-1.79115e-06	-3.75306e-06	-5.39914e-06	-6.49349e-06	-6.87729e-06	-6.49447e-06	-5.40134e-06	-3.75721e-06	-1.79805e-06	 2.00733e-07	 1.96900e-06	 3.27441e-06	 3.96088e-06	 3.95597e-06	 3.27588e-06	 2.00937e-06	 2.86689e-07	-1.74854e-06	-3.97077e-06	-6.32266e-06	-8.73080e-06	-1.11363e-05	-1.29895e-05	-1.36472e-05
UR 0	2.000020e-01	-6.04058e-04	-5.41876e-04	-4.21843e-04	-3.15778e-04	-2.29151e-04	-1.58197e-04	-1.01014e-04	-5.26961e-05	-1.74696e-05	 6.62029e-06	 2.11930e-05	 2.77764e-05	 2.79563e-05	 2.35158e-05	 1.63396e-05	 8.18712e-06	 4.69532e-07	-5.89195e-06	-1.04609e-05	-1.31532e-05	-1.40292e-05	-1.31381e-05	-1.04275e-05	-5.84404e-06	 5.22337e-07	 8.23488e-06	 1.63748e-05	 2.35337e-05	 2.79522e-05	 2.77377e-05	 2.11083e-05	 6.46815e-06	-1.77096e-05	-5.30503e-05	-1.01519e-04	-1.58664e-04	-2.29502e-04	-3.15972e-04	-4.21944e-04	-5.41963e-04
UR 1	2.000020e-01	 2.45386e-08	-8.33446e-05	-1.59987e-04	-2.13682e-04	-2.30989e-04	-2.30422e-04	-2.22535e-04	-2.04585e-04	-1.85258e-04	-1.65565e-04	-1.46076e-04	-1.27272e-04	-1.09702e-04	-9.37208e-05	-7.93358e-05	-6.61750e-05	-5.36295e-05	-4.10575e-05	-2.79637e-05	-1.42119e-05	-1.03599e-08	 1.41919e-05	 2.79407e-05	 4.10252e-05	 5.35876e-05	 6.61249e-05	 7.93023e-05	 9.37317e-05	 1.09758e-04	 1.27382e-04	 1.46254e-04	 1.65835e-04	 1.85620e-04	 2.05049e-04	 2.23121e-04	 2.30898e-04	 2.31306e-04	 2.13852e-04	 1.60075e-04	 8.34058e-05
UR 2	2.000020e-01	 1.15365e-07	-3.22341e-02	-2.15406e-02	-6.63664e-03	 1.23202e-03	 3.22282e-03	 2.73315e-03	 1.86842e-03	 1.31945e-03	 1.08018e-03	 9.84795e-04	 9.17851e-04	 8.36956e-04	 7.39834e-04	 6.35062e-04	 5.27603e-04	 4.20673e-04	 3.15362e-04	 2.09979e-04	 1.04770e-04	 4.82705e-08	-1.04614e-04	-2.09907e-04	-3.15461e-04	-4.20870e-04	-5.27763e-04	-6.35069e-04	-7.39775e-04	-8.36880e-04	-9.17848e-04	-9.84840e-04	-1.08026e-03	-1.31953e-03	-1.86841e-03	-2.73304e-03	-3.22266e-03	-1.23188e-03	 6.63667e-03	 2.15408e-02	 3.22340e-02
