    	Node label->	           1	           3	           5	           7	           9	          11	          13	          15	          17	          19	          21	          23	          25	          27	          29	          31	          33	          35	          37	          39	          41	          43	          45	          47	          49	          51	          53	          55	          57	          59	          61	          63	          65	          67	          69	          71
    	Angle ->    	 2.97892e-07	 1.74535e-01	 3.49081e-01	 5.23596e-01	 6.98145e-01	 8.72652e-01	 1.04720e+00	 1.22172e+00	 1.39626e+00	 1.57080e+00	 1.74533e+00	 1.91988e+00	 2.09439e+00	 2.26894e+00	 2.44345e+00	 2.61800e+00	 2.79251e+00	 2.96706e+00	 3.14159e+00	 3.31613e+00	 3.49067e+00	 3.66519e+00	 3.83974e+00	 4.01424e+00	 4.18879e+00	 4.36331e+00	 4.53785e+00	 4.71239e+00	 4.88692e+00	 5.06147e+00	 5.23598e+00	 5.41053e+00	 5.58504e+00	 5.75959e+00	 5.93411e+00	 6.10865e+00
DOF 	DOF        
U  2	1.000003e-01	 1.87446e-05	 1.67950e-05	 1.16861e-05	 5.12385e-06	-1.23786e-06	-6.18011e-06	-9.05345e-06	-9.74131e-06	-8.57529e-06	-6.18126e-06	-3.30076e-06	-6.22103e-07	 1.35432e-06	 2.39183e-06	 2.52545e-06	 2.01082e-06	 1.22798e-06	 5.64818e-07	 3.06767e-07	 5.59162e-07	 1.21814e-06	 1.99964e-06	 2.51650e-06	 2.38806e-06	 1.35726e-06	-6.12416e-07	-3.28538e-06	-6.16227e-06	-8.55483e-06	-9.72139e-06	-9.03620e-06	-6.16620e-06	-1.22691e-06	 5.13231e-06	 1.16919e-05	 1.67980e-05
UR 0	1.000003e-01	-4.49456e-04	-3.76876e-04	-2.43913e-04	-1.24763e-04	-3.95580e-05	 1.23810e-05	 3.86863e-05	 4.82809e-05	 4.99258e-05	 4.99536e-05	 5.09766e-05	 5.22212e-05	 5.10953e-05	 4.51048e-05	 3.34516e-05	 1.77433e-05	 1.64904e-06	-1.04375e-05	-1.49655e-05	-1.05280e-05	 1.48650e-06	 1.75478e-05	 3.32559e-05	 4.49305e-05	 5.09547e-05	 5.21164e-05	 5.09084e-05	 4.99083e-05	 4.98964e-05	 4.82799e-05	 3.87447e-05	 1.24690e-05	-3.94778e-05	-1.24726e-04	-2.43901e-04	-3.76876e-04
UR 1	1.000003e-01	 2.57881e-08	 3.58390e-06	 2.94324e-05	 6.80801e-05	 1.04236e-04	 1.26904e-04	 1.31142e-04	 1.16058e-04	 8.57258e-05	 4.79922e-05	 1.15516e-05	-1.67118e-05	-3.31257e-05	-3.78240e-05	-3.37657e-05	-2.51200e-05	-1.56065e-05	-7.22539e-06	-5.34947e-08	 7.11447e-06	 1.54905e-05	 2.50165e-05	 3.36936e-05	 3.77921e-05	 3.31341e-05	 1.67606e-05	-1.14370e-05	-4.78806e-05	-8.56046e-05	-1.15964e-04	-1.31127e-04	-1.26918e-04	-1.04238e-04	-6.80474e-05	-2.93825e-05	-3.53082e-06
UR 2	1.000003e-01	-8.72110e-09	-6.50071e-03	-3.48933e-03	-5.25371e-04	 5.75382e-04	 6.18554e-04	 4.15675e-04	 2.76352e-04	 2.21092e-04	 2.01495e-04	 1.86137e-04	 1.66593e-04	 1.43499e-04	 1.19309e-04	 9.52156e-05	 7.13510e-05	 4.76251e-05	 2.38967e-05	-7.63849e-09	-2.38845e-05	-4.76180e-05	-7.13203e-05	-9.51563e-05	-1.19199e-04	-1.43409e-04	-1.66535e-04	-1.86204e-04	-2.01501e-04	-2.21115e-04	-2.76337e-04	-4.15605e-04	-6.18478e-04	-5.75405e-04	 5.25397e-04	 3.48930e-03	 6.50072e-03
U  0	2.000007e-01	 0.00000e+00	 4.75624e-05	 1.83433e-04	 2.58822e-04	 2.42498e-04	 1.89092e-04	 1.40457e-04	 1.05490e-04	 7.88830e-05	 5.58622e-05	 3.53544e-05	 1.81186e-05	 4.94294e-06	-3.96285e-06	-8.75641e-06	-9.97948e-06	-8.33098e-06	-4.68489e-06	-4.27115e-09	 4.67511e-06	 8.32287e-06	 9.97232e-06	 8.75144e-06	 3.96179e-06	-4.95011e-06	-1.81230e-05	-3.53597e-05	-5.58669e-05	-7.88831e-05	-1.05488e-04	-1.40453e-04	-1.89095e-04	-2.42497e-04	-2.58817e-04	-1.83431e-04	-4.75612e-05
U  1	2.000007e-01	 1.30439e-03	 7.72361e-04	 2.18854e-04	 3.52020e-05	 4.74609e-05	 9.38705e-05	 1.22315e-04	 1.33468e-04	 1.35649e-04	 1.32822e-04	 1.26177e-04	 1.16567e-04	 1.05111e-04	 9.29976e-05	 8.13981e-05	 7.12600e-05	 6.34101e-05	 5.84302e-05	 5.67309e-05	 5.84304e-05	 6.34091e-05	 7.12593e-05	 8.13935e-05	 9.29909e-05	 1.05108e-04	 1.16563e-04	 1.26175e-04	 1.32819e-04	 1.35647e-04	 1.33465e-04	 1.22315e-04	 9.38668e-05	 4.74585e-05	 3.52017e-05	 2.18852e-04	 7.72359e-04
U  2	2.000007e-01	 4.97239e-05	 4.49787e-05	 3.22635e-05	 1.56784e-05	-7.07912e-07	-1.37741e-05	-2.17771e-05	-2.42984e-05	-2.20569e-05	-1.65374e-05	-9.55339e-06	-2.82201e-06	 2.37686e-06	 5.39518e-06	 6.24595e-06	 5.48464e-06	 3.97841e-06	 2.62656e-06	 2.09471e-06	 2.62871e-06	 3.98466e-06	 5.49785e-06	 6.26844e-06	 5.42736e-06	 2.41668e-06	-2.77834e-06	-9.51039e-06	-1.64994e-05	-2.20269e-05	-2.42789e-05	-2.17677e-05	-1.37726e-05	-7.10432e-07	 1.56750e-05	 3.22609e-05	 4.49768e-05
UR 0	2.000007e-01	-1.05270e-03	-8.89327e-04	-5.90246e-04	-3.14859e-04	-1.08949e-04	 1.98678e-05	 8.69761e-05	 1.12547e-04	 1.17798e-04	 1.18586e-04	 1.21931e-04	 1.26412e-04	 1.25799e-04	 1.13763e-04	 8.80011e-05	 5.20869e-05	 1.47000e-05	-1.35677e-05	-2.41641e-05	-1.36719e-05	 1.45432e-05	 5.19465e-05	 8.79137e-05	 1.13728e-04	 1.25813e-04	 1.26474e-04	 1.22033e-04	 1.18712e-04	 1.17948e-04	 1.12742e-04	 8.72437e-05	 2.01467e-05	-1.08718e-04	-3.14733e-04	-5.90219e-04	-8.89335e-04
UR 1	2.000007e-01	-1.22304e-08	 1.86722e-05	 8.25506e-05	 1.75593e-04	 2.66775e-04	 3.26384e-04	 3.41301e-04	 3.07927e-04	 2.35404e-04	 1.42487e-04	 5.06999e-05	-2.22731e-05	-6.66668e-05	-8.20812e-05	-7.53960e-05	-5.67553e-05	-3.53557e-05	-1.63050e-05	 1.65381e-08	 1.63399e-05	 3.54047e-05	 5.68497e-05	 7.55558e-05	 8.22954e-05	 6.69089e-05	 2.25274e-05	-5.04195e-05	-1.42266e-04	-2.35259e-04	-3.07904e-04	-3.41425e-04	-3.26547e-04	-2.66909e-04	-1.75670e-04	-8.25844e-05	-1.86964e-05
UR 2	2.000007e-01	 4.71934e-08	-1.30165e-02	-6.98421e-03	-1.05028e-03	 1.14887e-03	 1.23124e-03	 8.23424e-04	 5.44685e-04	 4.35123e-04	 3.96871e-04	 3.67090e-04	 3.28524e-04	 2.83079e-04	 2.35293e-04	 1.87759e-04	 1.40604e-04	 9.38227e-05	 4.70546e-05	 2.40477e-08	-4.71074e-05	-9.37522e-05	-1.40603e-04	-1.87653e-04	-2.35237e-04	-2.82988e-04	-3.28568e-04	-3.67094e-04	-3.96922e-04	-4.35069e-04	-5.44709e-04	-8.23321e-04	-1.23121e-03	-1.14884e-03	 1.05026e-03	 6.98415e-03	 1.30166e-02
