    	Node label->	           1	           2	           3	           4	           5	           6	           7	           8	           9	          10	          11	          12	          13	          14	          15	          16	          17	          18	          19	          20	          21	          22	          23	          24	          25	          26	          27	          28	          29	          30	          31	          32	          33	          34	          35	          36	          37	          38	          39	          40	          41	          42	          43	          44	          45	          46	          47	          48	          49	          50	          51	          52	          53	          54	          55	          56	          57	          58	          59	          60	          61	          62	          63	          64
    	Angle ->    	 6.28319e+00	 9.81756e-02	 1.96345e-01	 2.94528e-01	 3.92701e-01	 4.90882e-01	 5.89049e-01	 6.87226e-01	 7.85398e-01	 8.83570e-01	 9.81747e-01	 1.07991e+00	 1.17810e+00	 1.27627e+00	 1.37445e+00	 1.47262e+00	 1.57080e+00	 1.66897e+00	 1.76714e+00	 1.86532e+00	 1.96350e+00	 2.06168e+00	 2.15985e+00	 2.25802e+00	 2.35619e+00	 2.45437e+00	 2.55254e+00	 2.65071e+00	 2.74889e+00	 2.84706e+00	 2.94525e+00	 3.04342e+00	 3.14159e+00	 3.23977e+00	 3.33794e+00	 3.43612e+00	 3.53429e+00	 3.63247e+00	 3.73064e+00	 3.82882e+00	 3.92699e+00	 4.02516e+00	 4.12334e+00	 4.22151e+00	 4.31969e+00	 4.41786e+00	 4.51604e+00	 4.61421e+00	 4.71239e+00	 4.81056e+00	 4.90873e+00	 5.00692e+00	 5.10509e+00	 5.20327e+00	 5.30144e+00	 5.39961e+00	 5.49779e+00	 5.59596e+00	 5.69414e+00	 5.79230e+00	 5.89048e+00	 5.98866e+00	 6.08684e+00	 6.18501e+00
DOF 	DOF        
U  2	1.000018e-01	 9.35313e-06	 8.84342e-06	 7.42518e-06	 5.32989e-06	 2.84797e-06	 2.68119e-07	-2.14271e-06	-4.16882e-06	-5.65697e-06	-6.52152e-06	-6.74523e-06	-6.37249e-06	-5.49728e-06	-4.24901e-06	-2.77577e-06	-1.22910e-06	 2.51224e-07	 1.54720e-06	 2.57051e-06	 3.26645e-06	 3.61376e-06	 3.62131e-06	 3.32444e-06	 2.77725e-06	 2.04528e-06	 1.20058e-06	 3.13613e-07	-5.49354e-07	-1.33099e-06	-1.98365e-06	-2.47116e-06	-2.76785e-06	-2.85914e-06	-2.74119e-06	-2.42043e-06	-1.91330e-06	-1.24682e-06	-4.58143e-07	 4.04493e-07	 1.28360e-06	 2.11328e-06	 2.82410e-06	 3.34563e-06	 3.61463e-06	 3.57972e-06	 3.20808e-06	 2.49325e-06	 1.45839e-06	 1.59356e-07	-1.31516e-06	-2.84758e-06	-4.29928e-06	-5.52071e-06	-6.36612e-06	-6.70903e-06	-6.45807e-06	-5.57106e-06	-4.06745e-06	-2.03420e-06	 3.74948e-07	 2.94478e-06	 5.40937e-06	 7.48159e-06	 8.87263e-06
UR 0	1.000018e-01	-1.63122e-04	-1.54328e-04	-1.34228e-04	-1.10842e-04	-8.82701e-05	-6.75124e-05	-4.86543e-05	-3.17130e-05	-1.68652e-05	-4.26505e-06	 5.98039e-06	 1.38783e-05	 1.95201e-05	 2.30770e-05	 2.47890e-05	 2.49448e-05	 2.38561e-05	 2.18327e-05	 1.91661e-05	 1.61114e-05	 1.28809e-05	 9.63850e-06	 6.50883e-06	 3.57097e-06	 8.74572e-07	-1.54615e-06	-3.67301e-06	-5.49429e-06	-6.99776e-06	-8.17275e-06	-9.01000e-06	-9.49782e-06	-9.63049e-06	-9.40783e-06	-8.83540e-06	-7.92189e-06	-6.68074e-06	-5.12320e-06	-3.26022e-06	-1.10455e-06	 1.33089e-06	 4.02618e-06	 6.94600e-06	 1.00363e-05	 1.32203e-05	 1.63759e-05	 1.93424e-05	 2.19118e-05	 2.38328e-05	 2.48191e-05	 2.45644e-05	 2.27615e-05	 1.91277e-05	 1.34263e-05	 5.48778e-06	-4.77957e-06	-1.73826e-05	-3.22105e-05	-4.91117e-05	-6.79164e-05	-8.86076e-05	-1.11104e-04	-1.34400e-04	-1.54415e-04
UR 1	1.000018e-01	 2.50507e-07	 1.88340e-06	 4.44970e-06	 7.63132e-06	 1.05653e-05	 1.25039e-05	 1.32248e-05	 1.28242e-05	 1.14223e-05	 9.16175e-06	 6.19653e-06	 2.71710e-06	-1.08882e-06	-5.03285e-06	-8.93490e-06	-1.26249e-05	-1.59532e-05	-1.87830e-05	-2.10086e-05	-2.25546e-05	-2.33841e-05	-2.34940e-05	-2.29244e-05	-2.17474e-05	-2.00602e-05	-1.79709e-05	-1.55954e-05	-1.30386e-05	-1.03886e-05	-7.71159e-06	-5.04276e-06	-2.39537e-06	 2.29910e-07	 2.84298e-06	 5.45972e-06	 8.08737e-06	 1.07139e-05	 1.33028e-05	 1.57875e-05	 1.80800e-05	 2.00775e-05	 2.16680e-05	 2.27486e-05	 2.32278e-05	 2.30388e-05	 2.21443e-05	 2.05509e-05	 1.82971e-05	 1.54588e-05	 1.21437e-05	 8.48604e-06	 4.63649e-06	 7.61862e-07	-2.95939e-06	-6.34390e-06	-9.20919e-06	-1.13670e-05	-1.26677e-05	-1.29737e-05	-1.21730e-05	-1.01710e-05	-7.18884e-06	-3.97496e-06	-1.38906e-06
UR 2	1.000018e-01	 2.94567e-09	-4.68481e-03	-3.25938e-03	-1.11283e-03	 5.90065e-05	 3.65596e-04	 2.95948e-04	 1.70230e-04	 9.58307e-05	 7.15924e-05	 7.07897e-05	 7.41506e-05	 7.47622e-05	 7.21408e-05	 6.80729e-05	 6.39098e-05	 6.00046e-05	 5.63136e-05	 5.25505e-05	 4.85414e-05	 4.46930e-05	 4.11111e-05	 3.74272e-05	 3.38111e-05	 2.99632e-05	 2.60984e-05	 2.25281e-05	 1.89188e-05	 1.52590e-05	 1.13986e-05	 7.44760e-06	 3.57671e-06	 2.09309e-08	-3.56858e-06	-7.42542e-06	-1.14033e-05	-1.52565e-05	-1.88793e-05	-2.25864e-05	-2.61486e-05	-2.99847e-05	-3.38760e-05	-3.74914e-05	-4.10875e-05	-4.46391e-05	-4.85409e-05	-5.25271e-05	-5.62888e-05	-6.00052e-05	-6.39310e-05	-6.80619e-05	-7.21036e-05	-7.47355e-05	-7.41829e-05	-7.08565e-05	-7.15910e-05	-9.58139e-05	-1.70236e-04	-2.95989e-04	-3.65620e-04	-5.89758e-05	 1.11290e-03	 3.25941e-03	 4.68481e-03
U  0	2.000006e-01	 0.00000e+00	 1.47224e-05	 8.21647e-05	 1.41059e-04	 1.57533e-04	 1.43438e-04	 1.21500e-04	 1.04135e-04	 9.28788e-05	 8.48039e-05	 7.72734e-05	 6.92150e-05	 6.07751e-05	 5.21825e-05	 4.38844e-05	 3.60611e-05	 2.87768e-05	 2.21358e-05	 1.61332e-05	 1.08377e-05	 6.28279e-06	 2.39843e-06	-6.74352e-07	-3.03183e-06	-4.68339e-06	-5.69842e-06	-6.10523e-06	-5.98434e-06	-5.34916e-06	-4.36327e-06	-3.07641e-06	-1.58807e-06	-4.56638e-10	 1.58747e-06	 3.07566e-06	 4.36153e-06	 5.34868e-06	 5.97891e-06	 6.10738e-06	 5.70005e-06	 4.68281e-06	 3.02891e-06	 6.69927e-07	-2.39166e-06	-6.28578e-06	-1.08376e-05	-1.61336e-05	-2.21356e-05	-2.87770e-05	-3.60635e-05	-4.38858e-05	-5.21850e-05	-6.07726e-05	-6.92214e-05	-7.72712e-05	-8.48034e-05	-9.28786e-05	-1.04136e-04	-1.21503e-04	-1.43435e-04	-1.57535e-04	-1.41059e-04	-8.21645e-05	-1.47217e-05
U  1	2.000006e-01	 1.09192e-03	 7.42012e-04	 2.62160e-04	 1.77487e-05	-3.33196e-05	-7.31017e-06	 2.61587e-05	 4.68918e-05	 5.69237e-05	 6.20836e-05	 6.56720e-05	 6.86350e-05	 7.08538e-05	 7.22251e-05	 7.26525e-05	 7.21934e-05	 7.09474e-05	 6.90174e-05	 6.65080e-05	 6.35306e-05	 6.02010e-05	 5.65920e-05	 5.28835e-05	 4.91426e-05	 4.54838e-05	 4.19811e-05	 3.87439e-05	 3.58311e-05	 3.34304e-05	 3.14321e-05	 2.99790e-05	 2.91003e-05	 2.87862e-05	 2.90975e-05	 2.99771e-05	 3.14325e-05	 3.34280e-05	 3.58407e-05	 3.87401e-05	 4.19784e-05	 4.54841e-05	 4.91448e-05	 5.28872e-05	 5.65887e-05	 6.02022e-05	 6.35305e-05	 6.65077e-05	 6.90168e-05	 7.09467e-05	 7.21922e-05	 7.26512e-05	 7.22238e-05	 7.08539e-05	 6.86299e-05	 6.56731e-05	 6.20830e-05	 5.69235e-05	 4.68906e-05	 2.61538e-05	-7.30627e-06	-3.33264e-05	 1.77509e-05	 2.62161e-04	 7.42010e-04
U  2	2.000006e-01	 2.90762e-05	 2.76496e-05	 2.35332e-05	 1.73334e-05	 9.85692e-06	 1.93767e-06	-5.62205e-06	-1.21448e-05	-1.71167e-05	-2.02178e-05	-2.13251e-05	-2.05114e-05	-1.80121e-05	-1.41893e-05	-9.48743e-06	-4.38393e-06	 6.55840e-07	 5.21593e-06	 8.96006e-06	 1.16510e-05	 1.31589e-05	 1.34569e-05	 1.26176e-05	 1.07916e-05	 8.18703e-06	 5.05520e-06	 1.65960e-06	-1.73474e-06	-4.88283e-06	-7.56820e-06	-9.61613e-06	-1.08962e-05	-1.13298e-05	-1.08898e-05	-9.60401e-06	-7.55124e-06	-4.86179e-06	-1.71072e-06	 1.68522e-06	 5.08049e-06	 8.20982e-06	 1.08092e-05	 1.26287e-05	 1.34607e-05	 1.31552e-05	 1.16412e-05	 8.94560e-06	 5.19933e-06	 6.39597e-07	-4.39762e-06	-9.49694e-06	-1.41941e-05	-1.80118e-05	-2.05072e-05	-2.13183e-05	-2.02098e-05	-1.71087e-05	-1.21374e-05	-5.61714e-06	 1.93958e-06	 9.85636e-06	 1.73310e-05	 2.35312e-05	 2.76478e-05
UR 0	2.000006e-01	-3.81798e-04	-3.62709e-04	-3.18842e-04	-2.66052e-04	-2.13485e-04	-1.63147e-04	-1.15836e-04	-7.20692e-05	-3.26825e-05	 1.57826e-06	 3.01018e-05	 5.26087e-05	 6.90778e-05	 7.97474e-05	 8.50916e-05	 8.57604e-05	 8.25178e-05	 7.61715e-05	 6.75080e-05	 5.72505e-05	 4.60272e-05	 3.43494e-05	 2.26351e-05	 1.11967e-05	 2.75606e-07	-9.91755e-06	-1.92179e-05	-2.74616e-05	-3.44891e-05	-4.01466e-05	-4.43017e-05	-4.68383e-05	-4.76856e-05	-4.68192e-05	-4.42653e-05	-4.00954e-05	-3.44246e-05	-2.73837e-05	-1.91266e-05	-9.81187e-06	 3.95220e-07	 1.13232e-05	 2.27606e-05	 3.44632e-05	 4.61202e-05	 5.73190e-05	 6.75469e-05	 7.61760e-05	 8.24916e-05	 8.57091e-05	 8.50247e-05	 7.96732e-05	 6.90072e-05	 5.25469e-05	 3.00527e-05	 1.54012e-06	-3.27105e-05	-7.20808e-05	-1.15828e-04	-1.63126e-04	-2.13459e-04	-2.66033e-04	-3.18810e-04	-3.62688e-04
UR 1	2.000006e-01	-1.41906e-08	 1.39389e-05	 2.84781e-05	 4.27170e-05	 5.50298e-05	 6.36434e-05	 6.79536e-05	 6.82060e-05	 6.47482e-05	 5.80176e-05	 4.84919e-05	 3.67599e-05	 2.34151e-05	 9.06695e-06	-5.66579e-06	-2.01801e-05	-3.39005e-05	-4.62897e-05	-5.68765e-05	-6.52837e-05	-7.12530e-05	-7.46478e-05	-7.54776e-05	-7.38768e-05	-7.00851e-05	-6.44233e-05	-5.72591e-05	-4.89553e-05	-3.98433e-05	-3.02072e-05	-2.02552e-05	-1.01353e-05	 5.44446e-08	 1.02414e-05	 2.03549e-05	 3.03029e-05	 3.99353e-05	 4.90425e-05	 5.73347e-05	 6.44784e-05	 7.01123e-05	 7.38729e-05	 7.54439e-05	 7.45882e-05	 7.11736e-05	 6.51890e-05	 5.67746e-05	 4.61885e-05	 3.38060e-05	 2.00982e-05	 5.59867e-06	-9.11402e-06	-2.34430e-05	-3.67658e-05	-4.84787e-05	-5.79908e-05	-6.47112e-05	-6.81593e-05	-6.79014e-05	-6.35980e-05	-5.50002e-05	-4.27072e-05	-2.84903e-05	-1.39632e-05
UR 2	2.000006e-01	 4.06731e-08	-9.37660e-03	-6.52370e-03	-2.22622e-03	 1.19040e-04	 7.31357e-04	 5.90408e-04	 3.37738e-04	 1.88774e-04	 1.40804e-04	 1.39339e-04	 1.45886e-04	 1.47254e-04	 1.42362e-04	 1.34427e-04	 1.26180e-04	 1.18399e-04	 1.10989e-04	 1.03554e-04	 9.58709e-05	 8.84295e-05	 8.12154e-05	 7.38800e-05	 6.67198e-05	 5.91037e-05	 5.15851e-05	 4.44899e-05	 3.71903e-05	 2.98542e-05	 2.23417e-05	 1.47234e-05	 7.28339e-06	 4.35023e-08	-7.26033e-06	-1.47169e-05	-2.23360e-05	-2.98696e-05	-3.71789e-05	-4.44891e-05	-5.16305e-05	-5.91670e-05	-6.67618e-05	-7.39041e-05	-8.11793e-05	-8.84116e-05	-9.58746e-05	-1.03510e-04	-1.10957e-04	-1.18429e-04	-1.26184e-04	-1.34371e-04	-1.42333e-04	-1.47209e-04	-1.45900e-04	-1.39417e-04	-1.40813e-04	-1.88785e-04	-3.37761e-04	-5.90427e-04	-7.31361e-04	-1.18978e-04	 2.22626e-03	 6.52375e-03	 9.37661e-03
